item_id,download_link
goheung-0203,http://urisori.co.kr/sound/origin/jn/goheung/goheung-0203.mp3
euiseong-0708,http://urisori.co.kr/sound/origin/gb/euiseong/euiseong-0708.mp3
gumi-0104,http://urisori.co.kr/sound/origin/gb/gumi/gumi-0104.mp3
jincheon-0207,http://urisori.co.kr/sound/origin/cb/jincheon/jincheon-0207.mp3
sangju-0120,http://urisori.co.kr/sound/origin/gb/sangju/sangju-0120.mp3
jinyang-0522,http://urisori.co.kr/sound/origin/gn/jinyang/jinyang-0522.mp3
gimje-0503,http://urisori.co.kr/sound/origin/jb/gimje/gimje-0503.mp3
sangju-1444,http://urisori.co.kr/sound/origin/gb/sangju/sangju-1444.mp3
haenam-0136,http://urisori.co.kr/sound/origin/jn/haenam/haenam-0136.mp3
jinyang-0425,http://urisori.co.kr/sound/origin/gn/jinyang/jinyang-0425.mp3
jangseong-0537,http://urisori.co.kr/sound/origin/jn/jangseong/jangseong-0537.mp3
goheung-0512,http://urisori.co.kr/sound/origin/jn/goheung/goheung-0512.mp3
wanju-0431,http://urisori.co.kr/sound/origin/jb/wanju/wanju-0431.mp3
yeongdong-0104,http://urisori.co.kr/sound/origin/cb/yeongdong/yeongdong-0104.mp3
geoje-0619,http://urisori.co.kr/sound/origin/gn/geoje/geoje-0619.mp3
haman-0307,http://urisori.co.kr/sound/origin/gn/haman/haman-0307.mp3
hongcheon-0501,http://urisori.co.kr/sound/origin/gw/hongcheon/hongcheon-0501.mp3
yeongwol-0501,http://urisori.co.kr/sound/origin/gw/yeongwol/yeongwol-0501.mp3
hongcheon-1306,http://urisori.co.kr/sound/origin/gw/hongcheon/hongcheon-1306.mp3
sangju-1034,http://urisori.co.kr/sound/origin/gb/sangju/sangju-1034.mp3
okgu-0211,http://urisori.co.kr/sound/origin/jb/okgu/okgu-0211.mp3
yeocheon-0216,http://urisori.co.kr/sound/origin/jn/yeocheon/yeocheon-0216.mp3
cheolwon-1105,http://urisori.co.kr/sound/origin/gw/cheolwon/cheolwon-1105.mp3
wonju-1102,http://urisori.co.kr/sound/origin/gw/wonju/wonju-1102.mp3
chilgok-0446,http://urisori.co.kr/sound/origin/gb/chilgok/chilgok-0446.mp3
yangsan-0228,http://urisori.co.kr/sound/origin/gn/yangsan/yangsan-0228.mp3
geumreung-0521,http://urisori.co.kr/sound/origin/gb/geumreung/geumreung-0521.mp3
namjeju-0508,http://urisori.co.kr/sound/origin/jj/namjeju/namjeju-0508.mp3
jeomchon-0107,http://urisori.co.kr/sound/origin/gb/jeomchon/jeomchon-0107.mp3
sancheong-0603,http://urisori.co.kr/sound/origin/gn/sancheong/sancheong-0603.mp3
gyeongju-0413,http://urisori.co.kr/sound/origin/gb/gyeongju/gyeongju-0413.mp3
cheongsong-0416,http://urisori.co.kr/sound/origin/gb/cheongsong/cheongsong-0416.mp3
euiryeong-0208,http://urisori.co.kr/sound/origin/gn/euiryeong/euiryeong-0208.mp3
yeongil-0719,http://urisori.co.kr/sound/origin/gb/yeongil/yeongil-0719.mp3
jincheon-0510,http://urisori.co.kr/sound/origin/cb/jincheon/jincheon-0510.mp3
bukjeju-1406,http://urisori.co.kr/sound/origin/jj/bukjeju/bukjeju-1406.mp3
tongyeong-0420,http://urisori.co.kr/sound/origin/gn/tongyeong/tongyeong-0420.mp3
yeongwol-0110,http://urisori.co.kr/sound/origin/gw/yeongwol/yeongwol-0110.mp3
gimje-0323,http://urisori.co.kr/sound/origin/jb/gimje/gimje-0323.mp3
sancheong-0609,http://urisori.co.kr/sound/origin/gn/sancheong/sancheong-0609.mp3
hwacheon-0217,http://urisori.co.kr/sound/origin/gw/hwacheon/hwacheon-0217.mp3
jangsu-0353,http://urisori.co.kr/sound/origin/jb/jangsu/jangsu-0353.mp3
jungwon-0326,http://urisori.co.kr/sound/origin/cb/jungwon/jungwon-0326.mp3
sangju-0605,http://urisori.co.kr/sound/origin/gb/sangju/sangju-0605.mp3
hongseong-0127,http://urisori.co.kr/sound/origin/cn/hongseong/hongseong-0127.mp3
chuncheon-0714,http://urisori.co.kr/sound/origin/gw/chuncheon/chuncheon-0714.mp3
geochang-0609,http://urisori.co.kr/sound/origin/gn/geochang/geochang-0609.mp3
taean-0404,http://urisori.co.kr/sound/origin/cn/taean/taean-0404.mp3
dangjin-0501,http://urisori.co.kr/sound/origin/cn/dangjin/dangjin-0501.mp3
samcheok-0704,http://urisori.co.kr/sound/origin/gw/samcheok/samcheok-0704.mp3
yangyang-1612,http://urisori.co.kr/sound/origin/gw/yangyang/yangyang-1612.mp3
cheongdo-0511,http://urisori.co.kr/sound/origin/gb/cheongdo/cheongdo-0511.mp3
seonsan-0225,http://urisori.co.kr/sound/origin/gb/seonsan/seonsan-0225.mp3
changnyeong-0320,http://urisori.co.kr/sound/origin/gn/changnyeong/changnyeong-0320.mp3
hapcheon-0514,http://urisori.co.kr/sound/origin/gn/hapcheon/hapcheon-0514.mp3
samcheok-1010,http://urisori.co.kr/sound/origin/gw/samcheok/samcheok-1010.mp3
daegu-0331,http://urisori.co.kr/sound/origin/gb/daegu/daegu-0331.mp3
seongju-0662,http://urisori.co.kr/sound/origin/gb/seongju/seongju-0662.mp3
yeongil-0655,http://urisori.co.kr/sound/origin/gb/yeongil/yeongil-0655.mp3
geumreung-0439,http://urisori.co.kr/sound/origin/gb/geumreung/geumreung-0439.mp3
chuncheon-0107,http://urisori.co.kr/sound/origin/gw/chuncheon/chuncheon-0107.mp3
yeongdeok-0526,http://urisori.co.kr/sound/origin/gb/yeongdeok/yeongdeok-0526.mp3
changnyeong-0203,http://urisori.co.kr/sound/origin/gn/changnyeong/changnyeong-0203.mp3
sangju-1121,http://urisori.co.kr/sound/origin/gb/sangju/sangju-1121.mp3
daegu-0430,http://urisori.co.kr/sound/origin/gb/daegu/daegu-0430.mp3
yecheon-0316,http://urisori.co.kr/sound/origin/gb/yecheon/yecheon-0316.mp3
naju-0409,http://urisori.co.kr/sound/origin/jn/naju/naju-0409.mp3
bonghwa-0126,http://urisori.co.kr/sound/origin/gb/bonghwa/bonghwa-0126.mp3
yeongju-0109,http://urisori.co.kr/sound/origin/gb/yeongju/yeongju-0109.mp3
jinan-0113,http://urisori.co.kr/sound/origin/jb/jinan/jinan-0113.mp3
inje-0214,http://urisori.co.kr/sound/origin/gw/inje/inje-0214.mp3
seungju-0322,http://urisori.co.kr/sound/origin/jn/seungju/seungju-0322.mp3
geumreung-0313,http://urisori.co.kr/sound/origin/gb/geumreung/geumreung-0313.mp3
yeongcheon-0216,http://urisori.co.kr/sound/origin/gb/yeongcheon/yeongcheon-0216.mp3
ulsan-0706,http://urisori.co.kr/sound/origin/gn/ulsan/ulsan-0706.mp3
gunwi-0225,http://urisori.co.kr/sound/origin/gb/gunwi/gunwi-0225.mp3
jeongeup-0457,http://urisori.co.kr/sound/origin/jb/jeongeup/jeongeup-0457.mp3
andong-0808,http://urisori.co.kr/sound/origin/gb/andong/andong-0808.mp3
gangjin-0318,http://urisori.co.kr/sound/origin/jn/gangjin/gangjin-0318.mp3
gapyeong-0307,http://urisori.co.kr/sound/origin/gg/gapyeong/gapyeong-0307.mp3
cheongwon-0314,http://urisori.co.kr/sound/origin/cb/cheongwon/cheongwon-0314.mp3
incheon-0236,http://urisori.co.kr/sound/origin/gg/incheon/incheon-0236.mp3
muan-0143,http://urisori.co.kr/sound/origin/jn/muan/muan-0143.mp3
eumseong-0204,http://urisori.co.kr/sound/origin/cb/eumseong/eumseong-0204.mp3
haenam-0344,http://urisori.co.kr/sound/origin/jn/haenam/haenam-0344.mp3
yeongdeok-0121,http://urisori.co.kr/sound/origin/gb/yeongdeok/yeongdeok-0121.mp3
sinan-0912,http://urisori.co.kr/sound/origin/jn/sinan/sinan-0912.mp3
