item_id,Filename
Pod_0,Vinnytsia_001_Oi khodyv Son kolo vikon
Pod_1,Vinnytsia_002_Oi khodyt Son kolo vikon
Pod_2,Vinnytsia_003_Oi khodyt Son kolo vikon
Pod_3,Vinnytsia_004_Oi khodyt Son kolo vikon
Pod_4,"Vinnytsia_005_A-a, a-a, liuli"
Pod_5,"Vinnytsia_006_Oi nu, liuli, liuli"
Pod_6,Vinnytsia_007_Kotyku sirenkii
Pod_7,Vinnytsia_008_Kotyku sirenkyi
Pod_8,"Vinnytsia_009_A-a, kotochok"
Pod_10,Vinnytsia_011_Upav kit iz vorit
Pod_11,"Vinnytsia_012_Koty dva, koty dva"
Pod_12,"Vinnytsia_013_Liuli, liuli, liulechki"
Pod_13,"Vinnytsia_014_A-a, a-a, dytyna"
Pod_14,"Vinnytsia_015_Oi nu, dytia, spaty"
Pod_15,"Vinnytsia_016_Liuli, liuli"
Pod_16,Vinnytsia_017_Ladky-ladusi
Pod_17,"Vinnytsia_018_Idy, idy, doshchiku"
Pod_18,Vinnytsia_019_Bila kvochka chubarochka
Pod_19,"Vinnytsia_020_Koliad, koliad, koliadnytsia"
Pod_20,"Vinnytsia_021_Koliad, koliad, koliadnytsia"
Pod_21,Vinnytsia_022_Bihla telychka
Pod_23,Vinnytsia_024_Shchadrik-vedrik
Pod_24,Vinnytsia_025_A Sus Khrystos narodyvsia
Pod_25,Vinnytsia_026_Na dvori bila khmara vietsia
Pod_26,Kmeln_001_Oi khodyt Son kolo vikon
Pod_27,Kmeln_002_Oi khodyt Son kolo vikon
Pod_28,"Kmeln_003_Baiu, bai, baiu, bai"
Pod_29,"Kmeln_004_Liuli, liuli, liuliechky"
Pod_30,"Kmeln_007_Kit, kit, kotochok"
Pod_31,Kmeln_009_Pishla kytsia po vodytsiu
Pod_32,"Kmeln_010_Oi spy, dytia, kolyshu tia"
Pod_33,"Kmeln_011_Oi spy, dytia, kolyshu tia"
Pod_34,"Kmeln_012_Oi spy, dytia, kolyshu tia"
Pod_35,"Kmeln_015_Liuliu, liuli, liuliu"
Pod_36,"Kmeln_016_Liuliu, liuliu, staryi huliu"
Pod_37,"Kmeln_017_Liuliu, liuliu, liulochky"
Pod_38,"Kmeln_020_Tosi, tosi"
Pod_39,"Kmeln_025_Kar, kar, vorona"
Pod_40,Kmeln_026_Siad sobi kolo mene
Pod_41,"Kmeln_027_Yide, yide pan, pan"
Pod_42,Kmeln_028_Ta y prosyla baranchyka vivtsia
Pod_43,"Kmeln_029_Shcho ty, didu, robysh"
Pod_44,Kmeln_030_Stoliaryky-molodtsi
Pod_45,"Kmeln_ballads_442_Vohdai, po tim botsi"
Pod_46,"Kmeln_ballads_444_Oi ziidy, ziidy"
Pod_47,"Kmeln_ballads_444_v_Oi ziidy, ziidy"
Pod_48,Kmeln_ballads_445_Oi de zh zhe ty nochuvav
Pod_49,Kmeln_ballads_446_Oi chyie zh to pole
Pod_50,Kmeln_ballads_447_Oi chyie zh to voly
Pod_51,Kmeln_ballads_449_Oi na hori zhyto
Pod_52,Kmeln_ballads_450_Oi u misti Rusalymi
Pod_53,Kmeln_ballads_451_Khodyt Ivan ponad Dunai
Pod_54,Kmeln_ballads_452_Nastupaie chorna khmara
Pod_55,Kmeln_ballads_453_Oi vizmu ya
Pod_56,Kmeln_ballads_454_Oi vidchyny
Pod_57,Kmeln_ballads_455_Oi orav ya
Pod_58,Kmeln_ballads_456_Orav zhe ya
Pod_59,Kmeln_ballads_457_Oi horav ya
Pod_60,Kmeln_ballads_458_Oi po hori Serbyn khodyt
Pod_61,Kmeln_ballads_459_Nadletila zozulenka
Pod_62,Kmeln_ballads_460_Oi vyshenko-chereshenko
Pod_64,Kmeln_ballads_463_Kolo mlyna kreminyna
Pod_65,Kmeln_ballads_464_Oi shob ne moroz
Pod_66,Kmeln_ballads_466_Pislav mene mii mylenkyi
Pod_67,Kmeln_ballads_467_Na horodi barvinets
Pod_71,"Kmeln_ballads_471_Pokyn, Yasiu, matir"
Pod_72,Kmeln_ballads_472_A v nashii kraini
Pod_73,Kmeln_ballads_474_Oi tam kolo brodu
Pod_75,Kmeln_ballads_478_Oi na hori
Pod_76,Kmeln_ballads_479_Oi na hori
Pod_84,Kmeln_ballads_487_Po sadochku khozhu
Pod_85,"Kmeln_ballads_489_V sadu, vyshnevomu sadochku"
Pod_86,Kmeln_ballads_490_y Oi z-pid mosta hlyboko
Pod_87,"Kmeln_ballads_491_Oi daleko, daleko"
Pod_88,Kmeln_ballads_492_Slavnyi horod Lebedyn
Pod_89,"Kmeln_ballads_493_Oi ziishov misiats, ziishov yasnyi"
Pod_90,Kmeln_ballads_495_Kotyvsia misiats iz-za khmary
Pod_91,"Kmeln_ballads_498_Oi v sadu, v sadu"
Pod_92,Kmeln_ballads_499_Oi pid horoiu
Pod_93,Kmeln_ballads_499v_Oi pid horoiu
Pod_94,Kmeln_ballads_501_Oi khodyla divchynonka
Pod_95,Kmeln_ballads_502_Oi na stavu
Pod_96,Kmeln_ballads_503_Oi siadu ya krai vykontsia
Pod_97,"Kmeln_ballads_504_Oi Vasyliu, Vasylenku"
Pod_98,"Kmeln_ballads_505_Oi kazala-s, divchynonko"
Pod_99,"Kmeln_ballads_505v_Oi kazala-s, divchynonko"
Pod_100,Kmeln_ballads_506_chereshenka ta y vyshenka
Pod_101,Kmeln_ballads_507_chereshenka - ne vyshenka
Pod_102,Kmeln_ballads_509_Kalyna-malyna
Pod_103,Kmeln_ballads_511_Pry dolyni na okhoti
Pod_104,Kmeln_ballads_512_Chervona ruzha
Pod_105,Kmeln_ballads_513_Oi vyikhav kozachenko
Pod_106,Kmeln_ballads_514_Oi vyikhav kozachenko
Pod_107,Kmeln_ballads_516_Oi koly b ya znala
Pod_108,Kmeln_ballads_517v_Oi koly b ya znala
Pod_109,Kmeln_ballads_518_Oi koly b ya znala
Pod_110,"Kmeln_ballads_519_Oi slaba ya, mii mylenkyi"
Pod_111,"Kmeln_ballads_519v_Oi slaba ya, mii mylenkyi"
Pod_112,"Kmeln_ballads_521_Oi ty, osin dovhaia"
Pod_114,Kmeln_ballads_524v1_Oi na hori sosna
Pod_115,Kmeln_ballads_526_A divchyna Halka
Pod_116,Kmeln_ballads_527_Oi u poli na rozdolli
Pod_117,Kmeln_ballads_528_Oi dva bratchyky
Pod_118,Kmeln_ballads_529_Yikhav kozak z Ukrainy
Pod_119,"Kmeln_ballads_530_Svity, misiachenku"
Pod_120,Kmeln_ballads_533_Ya dumala
Pod_123,Kmeln_ballads_534_Ya dumala
Pod_124,Kmeln_ballads_535_Ya zh dumala
Pod_125,Kmeln_ballads_536_Tykhyi Dunai
Pod_126,Kmeln_ballads_537_Tykhyi Dunai
Pod_127,Kmeln_ballads_539_Oi u sadochku
Pod_128,Kmeln_ballads_540_Zashumiv teren
Pod_129,Kmeln_ballads_541v_Kosyt Vasyl sino
Pod_130,Kmeln_ballads_542_i V zelenii dubyni
Pod_131,Kmeln_ballads_543_Oi u chystim poli
