id	assigned_topic	topic_label	label
Pod_0	1877	1877_zombie_walkers_zombies_walking	children_children
Pod_1	159	159_windows_vista_os_pc	children_children
Pod_2	159	159_windows_vista_os_pc	children_children
Pod_3	159	159_windows_vista_os_pc	children_children
Pod_4	1617	1617_literature_tales_adventures_books	children_children
Pod_5	111	111_flags_flag_flagpole_commonwealth	children_children
Pod_6	334	334_boulevard_celebrity_fame_celebrities	children_children
Pod_7	334	334_boulevard_celebrity_fame_celebrities	children_children
Pod_8	646	646_boots_sequels_sequel_premiered	children_children
Pod_10	2154	2154_studios_lions_acquisitions_paramount	children_children
Pod_11	2043	2043_broadway_musicals_theatre_cat	children_children
Pod_12	519	519_chains_albums_album_toured	children_children
Pod_13	519	519_chains_albums_album_toured	children_children
Pod_14	522	522_fertility_overpopulation_childbearing_adoptions	children_children
Pod_15	893	893_paternal_stepfather_nazi_illegitimate	children_children
Pod_16	845	845_murdered_strangled_killed_unconscious	children_children
Pod_17	1199	1199_borscht_recipes_recipe_cuisines	children_children
Pod_18	1877	1877_zombie_walkers_zombies_walking	children_children
Pod_19	1813	1813_honeys_honey_honeydew_bees	children_children
Pod_20	1460	1460_aunt_uncle_breakfast_mammy	children_children
Pod_21	1542	1542_1852_novels_novel_cabin	children_children
Pod_23	2163	2163_sausage_sausages_bun_chili	children_children
Pod_24	349	349_kiss_toured_concerts_tour	children_children
Pod_25	1028	1028_probability_probabilities_doors_car	children_children
Pod_26	159	159_windows_vista_os_pc	children_children
Pod_27	522	522_fertility_overpopulation_childbearing_adoptions	children_children
Pod_28	0	0_goalscorer_scored_goals_goal	children_children
Pod_29	1210	1210_slaughterhouse_novelist_novels_writer	children_children
Pod_30	415	415_deforestation_reforestation_forestry_forests	children_children
Pod_31	700	700_homeless_homelessness_shelters_shelter	children_children
Pod_32	550	550_punk_indie_genre_genres	children_children
Pod_33	1012	1012_violinist_violin_violins_albums	children_children
Pod_34	1863	1863_rap_rock_album_band	children_children
Pod_35	441	441_woman_wonder_goddess_feminist	children_children
Pod_36	177	177_dementia_dementias_neurodegenerative_parkinsonism	children_children
Pod_37	2	2_married_divorced_couple_remarried	children_children
Pod_38	1777	1777_boar_boars_pigs_pig	children_children
Pod_39	790	790_degree_bachelor_diploma_qualification	children_children
Pod_40	349	349_kiss_toured_concerts_tour	children_children
Pod_41	1756	1756_horse_horses_cavalry_rode	children_children
Pod_42	877	877_stratosphere_meteorological_stratospheric_climatic	children_children
Pod_43	1956	1956_ashes_wickets_cricket_innings	children_children
Pod_44	594	594_hammer_rapper_rappers_rap	children_children
Pod_45	1704	1704_gypsy_disorder_seizure_investigators	Non-ritual_Ballad
Pod_46	2322	2322_moon_drummer_drums_drummers	Non-ritual_Ballad
Pod_47	231	231_bighorn_1876_bull_elk	Non-ritual_Ballad
Pod_48	1126	1126_racing_speed_chases_racer	Non-ritual_Ballad
Pod_49	1756	1756_horse_horses_cavalry_rode	Non-ritual_Ballad
Pod_50	1901	1901_sat_exams_exam_admissions	Non-ritual_Ballad
Pod_51	369	369_novel_scout_rye_nonfiction	Non-ritual_Ballad
Pod_52	1353	1353_cherry_blossom_cherries_blossoms	Non-ritual_Ballad
Pod_53	1409	1409_missionaries_charity_nuns_orphanages	Non-ritual_Ballad
Pod_54	93	93_goaltender_puck_goalie_hockey	Non-ritual_Ballad
Pod_55	1819	1819_javelin_athlete_badminton_olympic	Non-ritual_Ballad
Pod_56	1756	1756_horse_horses_cavalry_rode	Non-ritual_Ballad
Pod_57	800	800_buzz_toy_toys_woody	Non-ritual_Ballad
Pod_58	800	800_buzz_toy_toys_woody	Non-ritual_Ballad
Pod_59	506	506_soprano_mafia_joey_carmine	Non-ritual_Ballad
Pod_60	1597	1597_brewery_beers_breweries_tents	Non-ritual_Ballad
Pod_61	1863	1863_rap_rock_album_band	Non-ritual_Ballad
Pod_62	334	334_boulevard_celebrity_fame_celebrities	Non-ritual_Ballad
Pod_64	956	956_patients_inpatients_physicians_physician	Non-ritual_Ballad
Pod_65	361	361_flash_comics_episodes_storylines	Non-ritual_Ballad
Pod_66	1637	1637_donkey_fairy_godmother_dragon	Non-ritual_Ballad
Pod_67	666	666_nonfiction_bestseller_novelist_autobiography	Non-ritual_Ballad
Pod_71	938	938_ford_presidency_presidential_presidents	Non-ritual_Ballad
Pod_72	1409	1409_missionaries_charity_nuns_orphanages	Non-ritual_Ballad
Pod_73	1528	1528_halo_chief_343_master	Non-ritual_Ballad
Pod_75	1704	1704_gypsy_disorder_seizure_investigators	Non-ritual_Ballad
Pod_76	1704	1704_gypsy_disorder_seizure_investigators	Non-ritual_Ballad
Pod_84	640	640_defamation_lawsuit_sued_libel	Non-ritual_Ballad
Pod_85	1013	1013_law_jurisprudence_judicial_statutes	Non-ritual_Ballad
Pod_86	1623	1623_reliance_shareholders_shareholder_chairman	Non-ritual_Ballad
Pod_87	1623	1623_reliance_shareholders_shareholder_chairman	Non-ritual_Ballad
Pod_88	1597	1597_brewery_beers_breweries_tents	Non-ritual_Ballad
Pod_89	1915	1915_fate_fates_doctor_doctorate	Non-ritual_Ballad
Pod_90	1100	1100_hill_silent_sequel_remake	Non-ritual_Ballad
Pod_91	248	248_species_wildlife_fauna_birds	Non-ritual_Ballad
Pod_92	1901	1901_sat_exams_exam_admissions	Non-ritual_Ballad
Pod_93	334	334_boulevard_celebrity_fame_celebrities	Non-ritual_Ballad
Pod_94	1877	1877_zombie_walkers_zombies_walking	Non-ritual_Ballad
Pod_95	1550	1550_dew_cola_flavors_soda	Non-ritual_Ballad
Pod_96	1810	1810_conquered_tribes_ancient_steppes	Non-ritual_Ballad
Pod_97	1756	1756_horse_horses_cavalry_rode	Non-ritual_Ballad
Pod_98	1581	1581_mix_albums_little_remix	Non-ritual_Ballad
Pod_99	1060	1060_fort_battle_1836_surrender	Non-ritual_Ballad
Pod_100	666	666_nonfiction_bestseller_novelist_autobiography	Non-ritual_Ballad
Pod_101	1353	1353_cherry_blossom_cherries_blossoms	Non-ritual_Ballad
Pod_102	1756	1756_horse_horses_cavalry_rode	Non-ritual_Ballad
Pod_103	1877	1877_zombie_walkers_zombies_walking	Non-ritual_Ballad
Pod_104	1581	1581_mix_albums_little_remix	Non-ritual_Ballad
Pod_105	2053	2053_concert_concerts_tour_theater	Non-ritual_Ballad
Pod_106	2053	2053_concert_concerts_tour_theater	Non-ritual_Ballad
Pod_107	734	734_executives_stockholders_accounting_shareholders	Non-ritual_Ballad
Pod_108	1013	1013_law_jurisprudence_judicial_statutes	Non-ritual_Ballad
Pod_109	627	627_labour_children_labor_poverty	Non-ritual_Ballad
Pod_110	1353	1353_cherry_blossom_cherries_blossoms	Non-ritual_Ballad
Pod_111	1353	1353_cherry_blossom_cherries_blossoms	Non-ritual_Ballad
Pod_112	666	666_nonfiction_bestseller_novelist_autobiography	Non-ritual_Ballad
Pod_114	1132	1132_burning_burners_organizers_attendees	Non-ritual_Ballad
Pod_115	2190	2190_wiggle_band_entertainers_concert	Non-ritual_Ballad
Pod_116	572	572_prix_qualifying_podium_laps	Non-ritual_Ballad
Pod_117	415	415_deforestation_reforestation_forestry_forests	Non-ritual_Ballad
Pod_118	1446	1446_happiness_wellbeing_unhappiness_happier	Non-ritual_Ballad
Pod_119	1528	1528_halo_chief_343_master	Non-ritual_Ballad
Pod_120	519	519_chains_albums_album_toured	Non-ritual_Ballad
Pod_123	1756	1756_horse_horses_cavalry_rode	Non-ritual_Ballad
Pod_124	1756	1756_horse_horses_cavalry_rode	Non-ritual_Ballad
Pod_125	2275	2275_irrigation_sea_waters_salinity	Non-ritual_Ballad
Pod_126	1756	1756_horse_horses_cavalry_rode	Non-ritual_Ballad
Pod_127	1813	1813_honeys_honey_honeydew_bees	Non-ritual_Ballad
Pod_128	1819	1819_javelin_athlete_badminton_olympic	Non-ritual_Ballad
Pod_129	522	522_fertility_overpopulation_childbearing_adoptions	Non-ritual_Ballad
Pod_130	441	441_woman_wonder_goddess_feminist	Non-ritual_Ballad
Pod_131	522	522_fertility_overpopulation_childbearing_adoptions	Non-ritual_Ballad
