rank,topic_col,topic_id,coefficient,favours,mean_prob_cs,std_prob_cs,mean_prob_et,std_prob_et,mean_diff (b - a)
1,topic_136,136,1.38419,et,0.0,0.0,0.027619,0.119411,0.027619
2,topic_115,115,-1.090041,cs,0.092662,0.241538,0.0,0.0,-0.092662
3,topic_101,101,0.896635,et,0.010006,0.064607,0.122277,0.274237,0.112271
4,topic_57,57,-0.653958,cs,0.042124,0.168206,0.0,0.0,-0.042124
5,topic_85,85,-0.582294,cs,0.052989,0.19565,0.0,0.0,-0.052989
6,topic_120,120,-0.558882,cs,0.045198,0.192439,0.000562,0.005562,-0.044636
7,topic_30,30,-0.476363,cs,0.00403,0.034944,0.0,0.0,-0.00403
8,topic_129,129,-0.470574,cs,0.02884,0.136692,0.002463,0.024385,-0.026377
9,topic_105,105,-0.358892,cs,0.024816,0.13546,0.002242,0.022196,-0.022574
10,topic_112,112,0.353678,et,0.0,0.0,0.023318,0.114522,0.023318
11,topic_75,75,-0.325051,cs,0.02081,0.112806,0.0,0.0,-0.02081
12,topic_130,130,-0.312513,cs,0.02045,0.113319,0.000592,0.005859,-0.019858
13,topic_60,60,-0.291867,cs,0.035779,0.144038,0.010489,0.076098,-0.02529
14,topic_86,86,0.286676,et,0.006543,0.044394,0.032662,0.165791,0.026119
15,topic_133,133,-0.279646,cs,0.067388,0.191514,0.015709,0.106146,-0.051679
16,topic_93,93,-0.279174,cs,0.016147,0.106773,0.0,0.0,-0.016147
17,topic_73,73,-0.268746,cs,0.018197,0.095936,0.003531,0.024907,-0.014666
18,topic_84,84,0.268124,et,0.0,0.0,0.025135,0.144174,0.025135
19,topic_118,118,-0.265243,cs,0.019621,0.099101,0.005325,0.04127,-0.014296
20,topic_106,106,-0.263494,cs,0.002568,0.024566,0.0,0.0,-0.002568
