rank,topic_col,topic_id,coefficient,favours,mean_prob_cs,std_prob_cs,mean_prob_ko,std_prob_ko,mean_diff (b - a)
1,topic_44,44,2.364435,ko,0.0,0.0,0.138594,0.235302,0.138594
2,topic_143,143,0.79569,ko,0.000296,0.004291,0.034508,0.154839,0.034212
3,topic_117,117,0.732057,ko,0.0,0.0,0.031297,0.104765,0.031297
4,topic_76,76,0.70062,ko,0.0,0.0,0.055452,0.150107,0.055452
5,topic_85,85,-0.634533,cs,0.052989,0.19565,0.001461,0.018068,-0.051528
6,topic_57,57,-0.545067,cs,0.042124,0.168206,0.000511,0.011182,-0.041613
7,topic_104,104,0.510186,ko,0.0,0.0,0.010408,0.073595,0.010408
8,topic_55,55,0.48163,ko,0.001936,0.016449,0.018147,0.094474,0.016211
9,topic_141,141,0.440216,ko,0.0,0.0,0.002732,0.02285,0.002732
10,topic_144,144,0.440063,ko,0.004789,0.054797,0.043788,0.150167,0.038999
11,topic_131,131,0.4224,ko,0.0,0.0,0.007888,0.066648,0.007888
12,topic_92,92,0.396654,ko,0.0,0.0,0.009312,0.074741,0.009312
13,topic_64,64,0.392223,ko,0.0,0.0,0.065089,0.139603,0.065089
14,topic_29,29,0.378396,ko,0.0,0.0,0.003669,0.041823,0.003669
15,topic_60,60,-0.368297,cs,0.035779,0.144038,0.003098,0.03039,-0.032681
16,topic_120,120,-0.359107,cs,0.045198,0.192439,0.002895,0.026391,-0.042303
17,topic_105,105,-0.291848,cs,0.024816,0.13546,0.000345,0.007553,-0.024471
18,topic_133,133,-0.289913,cs,0.067388,0.191514,0.015034,0.075882,-0.052354
19,topic_28,28,0.285197,ko,0.0,0.0,0.004318,0.030126,0.004318
20,topic_38,38,0.282016,ko,0.001608,0.021383,0.013892,0.087192,0.012284
