rank,topic_col,topic_id,coefficient,favours,mean_prob_cs,std_prob_cs,mean_prob_nl,std_prob_nl,mean_diff (b - a)
1,topic_114,114,2.06664,nl,0.0,0.0,0.214225,0.270266,0.214225
2,topic_43,43,0.867433,nl,0.002059,0.029841,0.107643,0.163225,0.105584
3,topic_57,57,-0.726373,cs,0.042124,0.168206,0.002395,0.021154,-0.039728
4,topic_123,123,0.713289,nl,0.00501,0.049563,0.081401,0.216323,0.076392
5,topic_121,121,0.60188,nl,0.0,0.0,0.060842,0.150817,0.060842
6,topic_101,101,-0.498118,cs,0.010006,0.064607,0.0,0.0,-0.010006
7,topic_73,73,-0.486253,cs,0.018197,0.095936,0.000201,0.002442,-0.017996
8,topic_23,23,0.482508,nl,0.004896,0.068706,0.126957,0.185202,0.122061
9,topic_60,60,-0.474079,cs,0.035779,0.144038,0.000846,0.00757,-0.034933
10,topic_81,81,0.416166,nl,0.0,0.0,0.013167,0.069811,0.013167
11,topic_62,62,0.343852,nl,0.004847,0.044926,0.040823,0.163574,0.035976
12,topic_105,105,-0.313012,cs,0.024816,0.13546,0.0,0.0,-0.024816
13,topic_137,137,-0.263944,cs,0.019206,0.112797,0.000319,0.003875,-0.018888
14,topic_120,120,-0.245639,cs,0.045198,0.192439,0.001808,0.021996,-0.04339
15,topic_115,115,-0.194082,cs,0.092662,0.241538,0.013113,0.090988,-0.079549
16,topic_93,93,-0.193222,cs,0.016147,0.106773,0.0,0.0,-0.016147
17,topic_133,133,-0.192743,cs,0.067388,0.191514,0.011312,0.060099,-0.056076
18,topic_111,111,0.191221,nl,0.00037,0.005362,0.005608,0.050346,0.005238
19,topic_116,116,0.172081,nl,0.0,0.0,0.006711,0.081648,0.006711
20,topic_130,130,-0.16819,cs,0.02045,0.113319,0.0,0.0,-0.02045
