rank,topic_col,topic_id,coefficient,favours,mean_prob_cs,std_prob_cs,mean_prob_uk,std_prob_uk,mean_diff (b - a)
1,topic_57,57,-0.419527,cs,0.042124,0.168206,0.0,0.0,-0.042124
2,topic_115,115,-0.341695,cs,0.092662,0.241538,0.024087,0.125958,-0.068575
3,topic_124,124,-0.316471,cs,0.075271,0.214025,0.016511,0.104996,-0.05876
4,topic_85,85,-0.312894,cs,0.052989,0.19565,0.005925,0.055691,-0.047065
5,topic_133,133,-0.258384,cs,0.067388,0.191514,0.019099,0.128433,-0.048289
6,topic_105,105,-0.245559,cs,0.024816,0.13546,0.0,0.0,-0.024816
7,topic_75,75,-0.212215,cs,0.02081,0.112806,0.00029,0.004638,-0.02052
8,topic_120,120,-0.196517,cs,0.045198,0.192439,0.014977,0.110445,-0.030221
9,topic_142,142,-0.190587,cs,0.029704,0.144789,0.004131,0.06236,-0.025572
10,topic_60,60,-0.180341,cs,0.035779,0.144038,0.009028,0.079365,-0.026751
11,topic_93,93,-0.171407,cs,0.016147,0.106773,0.0,0.0,-0.016147
12,topic_88,88,-0.132798,cs,0.011629,0.10035,0.0,0.0,-0.011629
13,topic_129,129,-0.119562,cs,0.02884,0.136692,0.011187,0.081032,-0.017653
14,topic_139,139,-0.105202,cs,0.011164,0.082602,0.001184,0.018941,-0.00998
15,topic_30,30,-0.102657,cs,0.00403,0.034944,0.000451,0.007209,-0.00358
16,topic_73,73,-0.096058,cs,0.018197,0.095936,0.005699,0.054753,-0.012497
17,topic_125,125,-0.085331,cs,0.006888,0.07211,0.0,0.0,-0.006888
18,topic_126,126,-0.079623,cs,0.008462,0.077568,0.001024,0.013334,-0.007438
19,topic_134,134,-0.064303,cs,0.006004,0.05647,0.000489,0.007819,-0.005516
20,topic_138,138,0.055698,uk,0.002152,0.023472,0.016118,0.113333,0.013966
