rank,topic_col,topic_id,coefficient,favours,mean_prob_ko,std_prob_ko,mean_prob_et,std_prob_et,mean_diff (b - a)
1,topic_44,44,-2.126059,ko,0.138594,0.235302,0.003142,0.031101,-0.135453
2,topic_115,115,-1.891251,ko,0.102633,0.256235,0.0,0.0,-0.102633
3,topic_55,55,-1.630039,ko,0.018147,0.094474,0.0,0.0,-0.018147
4,topic_136,136,1.319602,et,0.000427,0.006927,0.027619,0.119411,0.027192
5,topic_101,101,1.294084,et,0.006488,0.048023,0.122277,0.274237,0.115789
6,topic_76,76,-0.881053,ko,0.055452,0.150107,0.0,0.0,-0.055452
7,topic_143,143,-0.844337,ko,0.034508,0.154839,0.0,0.0,-0.034508
8,topic_104,104,-0.734742,ko,0.010408,0.073595,0.0,0.0,-0.010408
9,topic_64,64,-0.717455,ko,0.065089,0.139603,0.0,0.0,-0.065089
10,topic_139,139,0.691956,et,0.000382,0.008361,0.042658,0.133522,0.042276
11,topic_92,92,-0.654996,ko,0.009312,0.074741,0.0,0.0,-0.009312
12,topic_84,84,0.481616,et,0.0,0.0,0.025135,0.144174,0.025135
13,topic_28,28,-0.480584,ko,0.004318,0.030126,0.0,0.0,-0.004318
14,topic_38,38,-0.452998,ko,0.013892,0.087192,0.0,0.0,-0.013892
15,topic_117,117,-0.39801,ko,0.031297,0.104765,0.001643,0.016264,-0.029654
16,topic_118,118,-0.397785,ko,0.013984,0.083435,0.005325,0.04127,-0.008659
17,topic_83,83,-0.381402,ko,0.019942,0.074561,0.0,0.0,-0.019942
18,topic_130,130,-0.380513,ko,0.006824,0.062214,0.000592,0.005859,-0.006232
19,topic_97,97,-0.347943,ko,0.002383,0.025615,0.0,0.0,-0.002383
20,topic_100,100,-0.336742,ko,0.008504,0.069552,0.018026,0.080675,0.009522
