rank,topic_col,topic_id,coefficient,favours,mean_prob_ko,std_prob_ko,mean_prob_nl,std_prob_nl,mean_diff (b - a)
1,topic_44,44,-1.541879,ko,0.138594,0.235302,0.003046,0.02131,-0.135548
2,topic_114,114,1.50155,nl,0.000304,0.006647,0.214225,0.270266,0.213921
3,topic_43,43,0.976671,nl,0.000292,0.006394,0.107643,0.163225,0.107351
4,topic_23,23,0.891914,nl,0.000504,0.011023,0.126957,0.185202,0.126454
5,topic_123,123,0.645628,nl,0.00104,0.019963,0.081401,0.216323,0.080361
6,topic_144,144,-0.591618,ko,0.043788,0.150167,0.002818,0.031511,-0.04097
7,topic_131,131,-0.473125,ko,0.007888,0.066648,0.0,0.0,-0.007888
8,topic_85,85,0.465093,nl,0.001461,0.018068,0.026084,0.11236,0.024622
9,topic_76,76,-0.458615,ko,0.055452,0.150107,0.0,0.0,-0.055452
10,topic_143,143,-0.449481,ko,0.034508,0.154839,0.00544,0.034544,-0.029068
11,topic_134,134,-0.438734,ko,0.012922,0.085046,0.0,0.0,-0.012922
12,topic_117,117,-0.401022,ko,0.031297,0.104765,0.0,0.0,-0.031297
13,topic_64,64,-0.367059,ko,0.065089,0.139603,0.0,0.0,-0.065089
14,topic_55,55,-0.36451,ko,0.018147,0.094474,0.000278,0.003385,-0.017869
15,topic_115,115,-0.333561,ko,0.102633,0.256235,0.013113,0.090988,-0.08952
16,topic_62,62,0.300237,nl,0.001433,0.023738,0.040823,0.163574,0.03939
17,topic_81,81,0.295842,nl,0.001554,0.019869,0.013167,0.069811,0.011612
18,topic_38,38,-0.278855,ko,0.013892,0.087192,0.0,0.0,-0.013892
19,topic_104,104,-0.250547,ko,0.010408,0.073595,0.0,0.0,-0.010408
20,topic_137,137,-0.226049,ko,0.013082,0.091226,0.000319,0.003875,-0.012764
