rank,topic_col,topic_id,coefficient,favours,mean_prob_ko,std_prob_ko,mean_prob_uk,std_prob_uk,mean_diff (b - a)
1,topic_44,44,-1.015728,ko,0.138594,0.235302,0.004509,0.062624,-0.134086
2,topic_115,115,-0.584266,ko,0.102633,0.256235,0.024087,0.125958,-0.078546
3,topic_144,144,-0.490383,ko,0.043788,0.150167,0.002903,0.037331,-0.040885
4,topic_64,64,-0.475765,ko,0.065089,0.139603,0.0,0.0,-0.065089
5,topic_76,76,-0.44719,ko,0.055452,0.150107,0.0,0.0,-0.055452
6,topic_117,117,-0.411664,ko,0.031297,0.104765,0.0,0.0,-0.031297
7,topic_143,143,-0.345284,ko,0.034508,0.154839,0.003891,0.062257,-0.030617
8,topic_134,134,-0.208098,ko,0.012922,0.085046,0.000489,0.007819,-0.012433
9,topic_28,28,-0.202993,ko,0.004318,0.030126,0.0,0.0,-0.004318
10,topic_104,104,-0.195944,ko,0.010408,0.073595,0.0,0.0,-0.010408
11,topic_92,92,-0.19032,ko,0.009312,0.074741,0.0,0.0,-0.009312
12,topic_116,116,-0.184293,ko,0.011425,0.08627,0.0,0.0,-0.011425
13,topic_83,83,-0.174289,ko,0.019942,0.074561,0.0,0.0,-0.019942
14,topic_131,131,-0.162003,ko,0.007888,0.066648,0.0,0.0,-0.007888
15,topic_95,95,-0.156403,ko,0.006159,0.057102,0.0,0.0,-0.006159
16,topic_107,107,-0.145813,ko,0.008301,0.071999,0.00113,0.018072,-0.007171
17,topic_32,32,0.133616,uk,0.0,0.0,0.002569,0.024018,0.002569
18,topic_125,125,-0.12042,ko,0.007985,0.07511,0.0,0.0,-0.007985
19,topic_29,29,-0.107116,ko,0.003669,0.041823,0.0,0.0,-0.003669
20,topic_70,70,-0.101915,ko,0.004784,0.046449,0.0,0.0,-0.004784
