rank,topic_col,topic_id,coefficient,favours,mean_prob_nl,std_prob_nl,mean_prob_et,std_prob_et,mean_diff (b - a)
1,topic_114,114,-1.341151,nl,0.214225,0.270266,0.0,0.0,-0.214225
2,topic_23,23,-0.956182,nl,0.126957,0.185202,0.0,0.0,-0.126957
3,topic_43,43,-0.823364,nl,0.107643,0.163225,0.0,0.0,-0.107643
4,topic_123,123,-0.767828,nl,0.081401,0.216323,0.0,0.0,-0.081401
5,topic_101,101,0.762732,et,0.0,0.0,0.122277,0.274237,0.122277
6,topic_125,125,-0.570835,nl,0.028243,0.109795,0.0,0.0,-0.028243
7,topic_121,121,-0.522541,nl,0.060842,0.150817,0.0,0.0,-0.060842
8,topic_62,62,-0.47075,nl,0.040823,0.163574,0.0,0.0,-0.040823
9,topic_139,139,0.461889,et,0.0,0.0,0.042658,0.133522,0.042658
10,topic_85,85,-0.331784,nl,0.026084,0.11236,0.0,0.0,-0.026084
11,topic_136,136,0.306205,et,0.000272,0.003306,0.027619,0.119411,0.027347
12,topic_86,86,0.277229,et,0.0,0.0,0.032662,0.165791,0.032662
13,topic_127,127,-0.274672,nl,0.034022,0.100052,0.013544,0.0615,-0.020478
14,topic_75,75,-0.26454,nl,0.004093,0.027911,0.0,0.0,-0.004093
15,topic_115,115,-0.250904,nl,0.013113,0.090988,0.0,0.0,-0.013113
16,topic_116,116,-0.183958,nl,0.006711,0.081648,0.003218,0.031855,-0.003494
17,topic_144,144,0.169703,et,0.002818,0.031511,0.028841,0.148498,0.026023
18,topic_111,111,-0.168792,nl,0.005608,0.050346,0.0,0.0,-0.005608
19,topic_142,142,-0.164669,nl,0.012637,0.101606,0.017613,0.081555,0.004976
20,topic_118,118,-0.159726,nl,0.012768,0.067954,0.005325,0.04127,-0.007443
