rank,topic_col,topic_id,coefficient,favours,mean_prob_uk,std_prob_uk,mean_prob_et,std_prob_et,mean_diff (b - a)
1,topic_136,136,1.389398,et,0.000196,0.003128,0.027619,0.119411,0.027423
2,topic_139,139,0.65628,et,0.001184,0.018941,0.042658,0.133522,0.041475
3,topic_115,115,-0.548801,uk,0.024087,0.125958,0.0,0.0,-0.024087
4,topic_101,101,0.541217,et,0.014308,0.111035,0.122277,0.274237,0.107969
5,topic_118,118,-0.395372,uk,0.016597,0.095144,0.005325,0.04127,-0.011272
6,topic_144,144,0.354954,et,0.002903,0.037331,0.028841,0.148498,0.025938
7,topic_56,56,0.341831,et,0.0,0.0,0.00435,0.025759,0.00435
8,topic_112,112,0.335363,et,0.001276,0.020421,0.023318,0.114522,0.022042
9,topic_84,84,0.332058,et,0.0,0.0,0.025135,0.144174,0.025135
10,topic_123,123,-0.294095,uk,0.017258,0.125155,0.0,0.0,-0.017258
11,topic_117,117,0.215779,et,0.0,0.0,0.001643,0.016264,0.001643
12,topic_120,120,-0.193071,uk,0.014977,0.110445,0.000562,0.005562,-0.014415
13,topic_86,86,0.191822,et,0.009688,0.092851,0.032662,0.165791,0.022975
14,topic_129,129,-0.179301,uk,0.011187,0.081032,0.002463,0.024385,-0.008724
15,topic_99,99,0.171897,et,0.0,0.0,0.010101,0.099995,0.010101
16,topic_94,94,-0.166643,uk,0.011673,0.10741,0.0,0.0,-0.011673
17,topic_127,127,-0.16166,uk,0.022711,0.115989,0.013544,0.0615,-0.009167
18,topic_130,130,-0.146793,uk,0.009717,0.093002,0.000592,0.005859,-0.009125
19,topic_40,40,0.14464,et,0.0,0.0,0.004418,0.043736,0.004418
20,topic_33,33,-0.141629,uk,0.005553,0.063007,0.0,0.0,-0.005553
