rank,topic_col,topic_id,coefficient,favours,mean_prob_uk,std_prob_uk,mean_prob_nl,std_prob_nl,mean_diff (b - a)
1,topic_114,114,2.726454,nl,0.000412,0.006585,0.214225,0.270266,0.213814
2,topic_23,23,1.732899,nl,0.000457,0.007313,0.126957,0.185202,0.1265
3,topic_125,125,1.018172,nl,0.0,0.0,0.028243,0.109795,0.028243
4,topic_121,121,0.894882,nl,0.000698,0.011169,0.060842,0.150817,0.060144
5,topic_96,96,-0.502008,uk,0.00689,0.062269,0.002566,0.031211,-0.004324
6,topic_123,123,0.470789,nl,0.017258,0.125155,0.081401,0.216323,0.064144
7,topic_62,62,0.417409,nl,0.003891,0.062257,0.040823,0.163574,0.036932
8,topic_75,75,0.402167,nl,0.00029,0.004638,0.004093,0.027911,0.003803
9,topic_43,43,0.381958,nl,0.003891,0.062257,0.107643,0.163225,0.103752
10,topic_57,57,0.317227,nl,0.0,0.0,0.002395,0.021154,0.002395
11,topic_99,99,0.249824,nl,0.0,0.0,0.006711,0.081648,0.006711
12,topic_116,116,0.249824,nl,0.0,0.0,0.006711,0.081648,0.006711
13,topic_137,137,-0.21563,uk,0.020069,0.138381,0.000319,0.003875,-0.019751
14,topic_101,101,-0.2128,uk,0.014308,0.111035,0.0,0.0,-0.014308
15,topic_138,138,-0.201034,uk,0.016118,0.113333,0.001634,0.01322,-0.014485
16,topic_20,20,0.198193,nl,0.0,0.0,0.001864,0.022672,0.001864
17,topic_122,122,-0.193276,uk,0.010473,0.091155,0.001875,0.022809,-0.008598
18,topic_142,142,0.177862,nl,0.004131,0.06236,0.012637,0.101606,0.008506
19,topic_120,120,-0.175869,uk,0.014977,0.110445,0.001808,0.021996,-0.013169
20,topic_86,86,-0.15023,uk,0.009688,0.092851,0.0,0.0,-0.009688
