id,assigned_topic,topic_label,top_topic_prob
Erb_1809,101,101_little maiden_golden maiden_little dove_farmer wife,0.6371571
Erb_1811,124,124_horse god_little horse_altar_wife little,0.75446796
Erb_1814,124,124_horse god_little horse_altar_wife little,1.0
Erb_1815,75,75_maidens young_honzíček_men maidens_roses,0.2804722
Erb_1816,130,130_mourn_hurts mother_little soldier_thorns,0.4323666
Erb_1817,115,115_joyful wedding_dear mother_little horses_mother gave,0.62091786
Erb_1818,0,0_midsummer_mother grave_hay_rise dear,0.0
Erb_1819,0,0_midsummer_mother grave_hay_rise dear,0.0
Erb_1820,137,137_horses_rye_buns_buy horse,1.0
Erb_1821,57,57_dear jeníček_scripture_marries_harshly,1.0
Erb_1823,124,124_horse god_little horse_altar_wife little,0.4653906
Erb_1824,0,0_midsummer_mother grave_hay_rise dear,0.0
Erb_1827,85,85_violet_comfort heart_peacock feathers_little heart,1.0
Erb_1828,0,0_midsummer_mother grave_hay_rise dear,0.0
Erb_1829,0,0_midsummer_mother grave_hay_rise dear,0.0
Erb_1831,57,57_dear jeníček_scripture_marries_harshly,0.94324213
Erb_1833,133,133_little horses_whip_poppy_love little,0.22714509
Erb_1834,57,57_dear jeníček_scripture_marries_harshly,0.78437936
Erb_1836,75,75_maidens young_honzíček_men maidens_roses,0.2848379
Erb_1838,0,0_midsummer_mother grave_hay_rise dear,0.0
Erb_1839,0,0_midsummer_mother grave_hay_rise dear,0.0
Erb_1840,142,142_little bouquet_dear ones_soldiers_little feet,0.53602874
Erb_1843,0,0_midsummer_mother grave_hay_rise dear,0.0
Erb_1844,0,0_midsummer_mother grave_hay_rise dear,0.0
Erb_1848,85,85_violet_comfort heart_peacock feathers_little heart,1.0
Erb_1858,142,142_little bouquet_dear ones_soldiers_little feet,1.0
Erb_1860,60,60_bridesmaid_bridesmaids_farewell dear_little wine,1.0
Erb_1861,124,124_horse god_little horse_altar_wife little,0.80212635
Erb_1864,140,140_hay_pasture_little grandmother_grass little,1.0
Erb_1865,124,124_horse god_little horse_altar_wife little,0.8610639
Erb_1866,115,115_joyful wedding_dear mother_little horses_mother gave,0.39371037
Erb_1867,115,115_joyful wedding_dear mother_little horses_mother gave,0.42801356
Erb_1868,115,115_joyful wedding_dear mother_little horses_mother gave,0.75595754
Erb_1872,88,88_mother poor_poor mother_dear parents_mother raised,1.0
Erb_1873,93,93_poor maiden_fair maiden_white maiden_wove wreath,1.0
Erb_1874,17,17_dear maiden_joy sorrow_lordly_duty,0.39139172
Erb_1875,88,88_mother poor_poor mother_dear parents_mother raised,1.0
Erb_1876,0,0_midsummer_mother grave_hay_rise dear,0.0
Erb_1877,120,120_gentle little_dear brothers_fly little_dear daddy,1.0
Erb_1878,124,124_horse god_little horse_altar_wife little,0.6876104
Erb_1879,57,57_dear jeníček_scripture_marries_harshly,0.6829022
Erb_1882,124,124_horse god_little horse_altar_wife little,0.38381797
Erb_1883,129,129_beloved dear_loved faithfully_silent dear_dear andulka,0.5145591
Erb_1884,0,0_midsummer_mother grave_hay_rise dear,0.0
Erb_1887,93,93_poor maiden_fair maiden_white maiden_wove wreath,0.40017843
Erb_1890,124,124_horse god_little horse_altar_wife little,1.0
Erb_1893,101,101_little maiden_golden maiden_little dove_farmer wife,0.35032758
Erb_1894,105,105_beautiful hay_hay cutter_washed head_wool,0.54697573
Erb_1895,57,57_dear jeníček_scripture_marries_harshly,0.5655041
Erb_1896,85,85_violet_comfort heart_peacock feathers_little heart,1.0
Erb_1897,115,115_joyful wedding_dear mother_little horses_mother gave,0.5728936
Erb_1898,115,115_joyful wedding_dear mother_little horses_mother gave,0.42231458
Erb_1905,53,53_rice field_yangsan_weed field_weed fields,0.3856735
Erb_1907,133,133_little horses_whip_poppy_love little,0.7517792
Erb_1909,72,72_sail sea_sail_sailor_sailed,1.0
Erb_1910,118,118_golden maiden_little wreath_nightingale_dove dear,1.0
Erb_1915,85,85_violet_comfort heart_peacock feathers_little heart,0.9226322
Erb_1917,139,139_tree apple_apple tree_tree seen_barley field,0.30495256
Erb_1918,134,134_ran away_nanynka_chasing_wounds,0.25499433
Erb_1924,133,133_little horses_whip_poppy_love little,0.50188154
Erb_1928,129,129_beloved dear_loved faithfully_silent dear_dear andulka,0.43537956
Erb_1929,101,101_little maiden_golden maiden_little dove_farmer wife,0.44742164
Erb_1930,75,75_maidens young_honzíček_men maidens_roses,1.0
Erb_1931,115,115_joyful wedding_dear mother_little horses_mother gave,1.0
Erb_1932,57,57_dear jeníček_scripture_marries_harshly,1.0
Erb_1934,103,103_dog went_went herd_whistled_nest forest,0.31896156
Erb_1940,133,133_little horses_whip_poppy_love little,0.50538707
Erb_1942,129,129_beloved dear_loved faithfully_silent dear_dear andulka,0.29952744
Erb_1943,75,75_maidens young_honzíček_men maidens_roses,1.0
