id,assigned_topic,topic_label,top_topic_prob
Erb_1809,0,0_praise_sorrow_god_soul,0.0
Erb_1811,0,0_praise_sorrow_god_soul,0.0
Erb_1814,0,0_praise_sorrow_god_soul,0.0
Erb_1815,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1816,0,0_praise_sorrow_god_soul,0.0
Erb_1817,0,0_praise_sorrow_god_soul,0.0
Erb_1818,0,0_praise_sorrow_god_soul,0.0
Erb_1819,0,0_praise_sorrow_god_soul,0.0
Erb_1820,0,0_praise_sorrow_god_soul,0.0
Erb_1821,0,0_praise_sorrow_god_soul,0.0
Erb_1823,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1824,0,0_praise_sorrow_god_soul,0.0
Erb_1827,0,0_praise_sorrow_god_soul,0.0
Erb_1828,0,0_praise_sorrow_god_soul,0.0
Erb_1829,0,0_praise_sorrow_god_soul,0.0
Erb_1831,0,0_praise_sorrow_god_soul,0.0
Erb_1833,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1834,21,21_bark_shouts_trees_flee,0.65655947
Erb_1836,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1838,0,0_praise_sorrow_god_soul,0.0
Erb_1839,0,0_praise_sorrow_god_soul,0.0
Erb_1840,23,23_spindle_spinning_rooster_spin,0.5649724
Erb_1843,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1844,0,0_praise_sorrow_god_soul,0.0
Erb_1848,0,0_praise_sorrow_god_soul,0.0
Erb_1858,0,0_praise_sorrow_god_soul,0.0
Erb_1860,0,0_praise_sorrow_god_soul,0.0
Erb_1861,0,0_praise_sorrow_god_soul,0.0
Erb_1864,0,0_praise_sorrow_god_soul,0.0
Erb_1865,0,0_praise_sorrow_god_soul,0.0
Erb_1866,25,25_little wine_heaven_drink little_lord god,0.79793584
Erb_1867,0,0_praise_sorrow_god_soul,0.0
Erb_1868,0,0_praise_sorrow_god_soul,0.0
Erb_1872,0,0_praise_sorrow_god_soul,0.0
Erb_1873,0,0_praise_sorrow_god_soul,0.0
Erb_1874,0,0_praise_sorrow_god_soul,0.0
Erb_1875,0,0_praise_sorrow_god_soul,0.0
Erb_1876,0,0_praise_sorrow_god_soul,0.0
Erb_1877,0,0_praise_sorrow_god_soul,0.0
Erb_1878,0,0_praise_sorrow_god_soul,0.0
Erb_1879,0,0_praise_sorrow_god_soul,0.0
Erb_1882,0,0_praise_sorrow_god_soul,0.0
Erb_1883,0,0_praise_sorrow_god_soul,0.0
Erb_1884,12,12_dear maiden_praise_roses_joyful,1.0
Erb_1887,18,18_want farmer_pepíček_praises_horses,1.0
Erb_1890,0,0_praise_sorrow_god_soul,0.0
Erb_1893,0,0_praise_sorrow_god_soul,0.0
Erb_1894,0,0_praise_sorrow_god_soul,0.0
Erb_1895,0,0_praise_sorrow_god_soul,0.0
Erb_1896,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1897,0,0_praise_sorrow_god_soul,0.0
Erb_1898,27,27_shines brightly_praise_worthy praise_praise lord,1.0
Erb_1905,0,0_praise_sorrow_god_soul,0.0
Erb_1907,0,0_praise_sorrow_god_soul,0.0
Erb_1909,0,0_praise_sorrow_god_soul,0.0
Erb_1910,0,0_praise_sorrow_god_soul,0.0
Erb_1915,0,0_praise_sorrow_god_soul,0.0
Erb_1917,0,0_praise_sorrow_god_soul,0.0
Erb_1918,12,12_dear maiden_praise_roses_joyful,1.0
Erb_1924,0,0_praise_sorrow_god_soul,0.0
Erb_1928,0,0_praise_sorrow_god_soul,0.0
Erb_1929,0,0_praise_sorrow_god_soul,0.0
Erb_1930,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1931,0,0_praise_sorrow_god_soul,0.0
Erb_1932,0,0_praise_sorrow_god_soul,0.0
Erb_1934,26,26_beautiful hay_mowed hay_hay_sheepfold,1.0
Erb_1940,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1942,0,0_praise_sorrow_god_soul,0.0
Erb_1943,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1944,26,26_beautiful hay_mowed hay_hay_sheepfold,1.0
Erb_1945,0,0_praise_sorrow_god_soul,0.0
Erb_1946,0,0_praise_sorrow_god_soul,0.0
Erb_1948,0,0_praise_sorrow_god_soul,0.0
Erb_1950,0,0_praise_sorrow_god_soul,0.0
Erb_1951,0,0_praise_sorrow_god_soul,0.0
Erb_1952,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1955,0,0_praise_sorrow_god_soul,0.0
Erb_1957,0,0_praise_sorrow_god_soul,0.0
Erb_1958,0,0_praise_sorrow_god_soul,0.0
Erb_1959,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1967,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1968,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1969,0,0_praise_sorrow_god_soul,0.0
Erb_1970,0,0_praise_sorrow_god_soul,0.0
Erb_1972,25,25_little wine_heaven_drink little_lord god,1.0
Erb_1973,0,0_praise_sorrow_god_soul,0.0
Erb_1974,0,0_praise_sorrow_god_soul,0.0
Erb_1978,0,0_praise_sorrow_god_soul,0.0
Erb_1979,0,0_praise_sorrow_god_soul,0.0
Erb_1980,0,0_praise_sorrow_god_soul,0.0
Erb_1981,0,0_praise_sorrow_god_soul,0.0
Erb_1982,0,0_praise_sorrow_god_soul,0.0
Erb_1984,0,0_praise_sorrow_god_soul,0.0
Erb_1987,0,0_praise_sorrow_god_soul,0.0
Erb_1988,0,0_praise_sorrow_god_soul,0.0
Erb_1989,0,0_praise_sorrow_god_soul,0.0
Erb_1991,0,0_praise_sorrow_god_soul,0.0
Erb_1992,0,0_praise_sorrow_god_soul,0.0
Erb_1993,0,0_praise_sorrow_god_soul,0.0
Erb_1994,0,0_praise_sorrow_god_soul,0.0
Erb_1995,0,0_praise_sorrow_god_soul,0.0
Erb_1997,0,0_praise_sorrow_god_soul,0.0
Erb_1999,0,0_praise_sorrow_god_soul,0.0
Erb_2003,0,0_praise_sorrow_god_soul,0.0
Erb_2004,0,0_praise_sorrow_god_soul,0.0
Erb_2005,26,26_beautiful hay_mowed hay_hay_sheepfold,1.0
Erb_2009,0,0_praise_sorrow_god_soul,0.0
Erb_2013,0,0_praise_sorrow_god_soul,0.0
Erb_2016,0,0_praise_sorrow_god_soul,0.0
Erb_2017,0,0_praise_sorrow_god_soul,0.0
Erb_2018,0,0_praise_sorrow_god_soul,0.0
Erb_2020,0,0_praise_sorrow_god_soul,0.0
Erb_2022,0,0_praise_sorrow_god_soul,0.0
Erb_2023,0,0_praise_sorrow_god_soul,0.0
Erb_2024,0,0_praise_sorrow_god_soul,0.0
Erb_2025,0,0_praise_sorrow_god_soul,0.0
Erb_2026,26,26_beautiful hay_mowed hay_hay_sheepfold,1.0
Erb_2027,0,0_praise_sorrow_god_soul,0.0
Erb_2034,0,0_praise_sorrow_god_soul,0.0
Erb_2036,0,0_praise_sorrow_god_soul,0.0
Erb_2039,0,0_praise_sorrow_god_soul,0.0
Erb_2040,0,0_praise_sorrow_god_soul,0.0
Erb_2041,0,0_praise_sorrow_god_soul,0.0
Erb_2044,25,25_little wine_heaven_drink little_lord god,1.0
Erb_2048,0,0_praise_sorrow_god_soul,0.0
Erb_2049,0,0_praise_sorrow_god_soul,0.0
Erb_2051,0,0_praise_sorrow_god_soul,0.0
Erb_2052,0,0_praise_sorrow_god_soul,0.0
Erb_2054,0,0_praise_sorrow_god_soul,0.0
Erb_2055,0,0_praise_sorrow_god_soul,0.0
Erb_2056,21,21_bark_shouts_trees_flee,0.51307595
Erb_2057,0,0_praise_sorrow_god_soul,0.0
Erb_2058,0,0_praise_sorrow_god_soul,0.0
Erb_2059,0,0_praise_sorrow_god_soul,0.0
Erb_2060,0,0_praise_sorrow_god_soul,0.0
Erb_2061,25,25_little wine_heaven_drink little_lord god,1.0
Erb_2062,0,0_praise_sorrow_god_soul,0.0
Erb_2063,25,25_little wine_heaven_drink little_lord god,0.6967969
Erb_2065,0,0_praise_sorrow_god_soul,0.0
Erb_2067,0,0_praise_sorrow_god_soul,0.0
Erb_2068,0,0_praise_sorrow_god_soul,0.0
Erb_2069,0,0_praise_sorrow_god_soul,0.0
Erb_2070,0,0_praise_sorrow_god_soul,0.0
Erb_2072,0,0_praise_sorrow_god_soul,0.0
Erb_2074,0,0_praise_sorrow_god_soul,0.0
Erb_2075,18,18_want farmer_pepíček_praises_horses,1.0
