id	assigned_topic	topic_label	lang
Erb_1809	0	0_fate_weaving_wind_song	cs
Erb_1811	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_1814	27	27_parting_maiden_fair maiden_wreath	cs
Erb_1815	35	35_honzíček_monastery_maidens young_set beloved	cs
Erb_1816	0	0_fate_weaving_wind_song	cs
Erb_1817	0	0_fate_weaving_wind_song	cs
Erb_1818	0	0_fate_weaving_wind_song	cs
Erb_1819	0	0_fate_weaving_wind_song	cs
Erb_1820	0	0_fate_weaving_wind_song	cs
Erb_1821	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1823	0	0_fate_weaving_wind_song	cs
Erb_1824	0	0_fate_weaving_wind_song	cs
Erb_1827	0	0_fate_weaving_wind_song	cs
Erb_1828	0	0_fate_weaving_wind_song	cs
Erb_1829	0	0_fate_weaving_wind_song	cs
Erb_1831	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1833	35	35_honzíček_monastery_maidens young_set beloved	cs
Erb_1834	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1836	35	35_honzíček_monastery_maidens young_set beloved	cs
Erb_1838	0	0_fate_weaving_wind_song	cs
Erb_1839	0	0_fate_weaving_wind_song	cs
Erb_1840	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_1843	0	0_fate_weaving_wind_song	cs
Erb_1844	0	0_fate_weaving_wind_song	cs
Erb_1848	27	27_parting_maiden_fair maiden_wreath	cs
Erb_1858	0	0_fate_weaving_wind_song	cs
Erb_1860	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_1861	27	27_parting_maiden_fair maiden_wreath	cs
Erb_1864	0	0_fate_weaving_wind_song	cs
Erb_1865	34	34_maids_husband home_husband_heaven	cs
Erb_1866	34	34_maids_husband home_husband_heaven	cs
Erb_1867	0	0_fate_weaving_wind_song	cs
Erb_1868	0	0_fate_weaving_wind_song	cs
Erb_1872	0	0_fate_weaving_wind_song	cs
Erb_1873	0	0_fate_weaving_wind_song	cs
Erb_1874	0	0_fate_weaving_wind_song	cs
