id	assigned_topic	topic_label	lang
Erb_1809	10	10_wheat_barley_rye_pea	cs
Erb_1811	18	18_hats_hat_cap_hay	cs
Erb_1814	0	0_servant_cat_wreath_horse	cs
Erb_1815	2	2_beer_beer drink_drank_eating	cs
Erb_1816	14	14_herd_dog_tail_turning	cs
Erb_1817	9	9_wedding_crows_crow_married	cs
Erb_1818	0	0_servant_cat_wreath_horse	cs
Erb_1819	10	10_wheat_barley_rye_pea	cs
Erb_1820	10	10_wheat_barley_rye_pea	cs
Erb_1821	9	9_wedding_crows_crow_married	cs
Erb_1823	18	18_hats_hat_cap_hay	cs
Erb_1824	10	10_wheat_barley_rye_pea	cs
Erb_1827	0	0_servant_cat_wreath_horse	cs
Erb_1828	0	0_servant_cat_wreath_horse	cs
Erb_1829	14	14_herd_dog_tail_turning	cs
Erb_1831	6	6_sparrow_cabbage_pea_chirp	cs
Erb_1833	12	12_march_thirty_month_june	cs
Erb_1834	11	11_apples_tree_sisters_wine	cs
Erb_1836	5	5_matchmaker_vodka_melody_wedding	cs
Erb_1838	6	6_sparrow_cabbage_pea_chirp	cs
Erb_1839	0	0_servant_cat_wreath_horse	cs
Erb_1840	9	9_wedding_crows_crow_married	cs
Erb_1843	0	0_servant_cat_wreath_horse	cs
Erb_1844	14	14_herd_dog_tail_turning	cs
Erb_1848	8	8_june_march_saint_day	cs
Erb_1858	0	0_servant_cat_wreath_horse	cs
Erb_1860	9	9_wedding_crows_crow_married	cs
Erb_1861	10	10_wheat_barley_rye_pea	cs
Erb_1864	9	9_wedding_crows_crow_married	cs
Erb_1865	11	11_apples_tree_sisters_wine	cs
Erb_1866	1	1_nicholas_saint_blessed_god	cs
Erb_1867	0	0_servant_cat_wreath_horse	cs
Erb_1868	9	9_wedding_crows_crow_married	cs
Erb_1872	0	0_servant_cat_wreath_horse	cs
Erb_1873	0	0_servant_cat_wreath_horse	cs
Erb_1874	9	9_wedding_crows_crow_married	cs
Erb_1875	5	5_matchmaker_vodka_melody_wedding	cs
Erb_1876	3	3_oxen_gentlemen_peasants_plow	cs
Erb_1877	5	5_matchmaker_vodka_melody_wedding	cs
Erb_1878	13	13_bake_basket_bells_eggs	cs
Erb_1879	4	4_servants_thousand_soul_book	cs
Erb_1882	15	15_bow_fall_sail_singing	cs
Erb_1883	5	5_matchmaker_vodka_melody_wedding	cs
Erb_1884	6	6_sparrow_cabbage_pea_chirp	cs
Erb_1887	5	5_matchmaker_vodka_melody_wedding	cs
Erb_1890	17	17_crooked_tavern_trembles_straight	cs
Erb_1893	18	18_hats_hat_cap_hay	cs
Erb_1894	18	18_hats_hat_cap_hay	cs
Erb_1895	1	1_nicholas_saint_blessed_god	cs
Erb_1896	17	17_crooked_tavern_trembles_straight	cs
Erb_1897	16	16_wolf_bear_anne_leg	cs
Erb_1898	11	11_apples_tree_sisters_wine	cs
Erb_1905	3	3_oxen_gentlemen_peasants_plow	cs
Erb_1907	17	17_crooked_tavern_trembles_straight	cs
Erb_1909	4	4_servants_thousand_soul_book	cs
Erb_1910	3	3_oxen_gentlemen_peasants_plow	cs
Erb_1915	6	6_sparrow_cabbage_pea_chirp	cs
Erb_1917	11	11_apples_tree_sisters_wine	cs
Erb_1918	18	18_hats_hat_cap_hay	cs
Erb_1924	9	9_wedding_crows_crow_married	cs
Erb_1928	3	3_oxen_gentlemen_peasants_plow	cs
Erb_1929	9	9_wedding_crows_crow_married	cs
Erb_1930	7	7_legs_calf_reed_nest	cs
Erb_1931	0	0_servant_cat_wreath_horse	cs
Erb_1932	12	12_march_thirty_month_june	cs
Erb_1934	6	6_sparrow_cabbage_pea_chirp	cs
Erb_1940	8	8_june_march_saint_day	cs
Erb_1942	0	0_servant_cat_wreath_horse	cs
Erb_1943	1	1_nicholas_saint_blessed_god	cs
Erb_1944	15	15_bow_fall_sail_singing	cs
Erb_1945	8	8_june_march_saint_day	cs
Erb_1946	8	8_june_march_saint_day	cs
Erb_1948	15	15_bow_fall_sail_singing	cs
Erb_1950	0	0_servant_cat_wreath_horse	cs
Erb_1951	17	17_crooked_tavern_trembles_straight	cs
Erb_1952	1	1_nicholas_saint_blessed_god	cs
Erb_1955	0	0_servant_cat_wreath_horse	cs
Erb_1957	15	15_bow_fall_sail_singing	cs
Erb_1958	11	11_apples_tree_sisters_wine	cs
Erb_1959	11	11_apples_tree_sisters_wine	cs
Erb_1967	11	11_apples_tree_sisters_wine	cs
Erb_1968	1	1_nicholas_saint_blessed_god	cs
Erb_1969	13	13_bake_basket_bells_eggs	cs
Erb_1970	13	13_bake_basket_bells_eggs	cs
Erb_1972	1	1_nicholas_saint_blessed_god	cs
Erb_1973	10	10_wheat_barley_rye_pea	cs
Erb_1974	6	6_sparrow_cabbage_pea_chirp	cs
Erb_1978	15	15_bow_fall_sail_singing	cs
Erb_1979	0	0_servant_cat_wreath_horse	cs
Erb_1980	14	14_herd_dog_tail_turning	cs
Erb_1981	0	0_servant_cat_wreath_horse	cs
Erb_1982	9	9_wedding_crows_crow_married	cs
Erb_1984	13	13_bake_basket_bells_eggs	cs
Erb_1987	18	18_hats_hat_cap_hay	cs
Erb_1988	16	16_wolf_bear_anne_leg	cs
Erb_1989	0	0_servant_cat_wreath_horse	cs
Erb_1991	0	0_servant_cat_wreath_horse	cs
Erb_1992	0	0_servant_cat_wreath_horse	cs
Erb_1993	13	13_bake_basket_bells_eggs	cs
Erb_1994	0	0_servant_cat_wreath_horse	cs
Erb_1995	6	6_sparrow_cabbage_pea_chirp	cs
Erb_1997	10	10_wheat_barley_rye_pea	cs
Erb_1999	3	3_oxen_gentlemen_peasants_plow	cs
Erb_2003	3	3_oxen_gentlemen_peasants_plow	cs
Erb_2004	0	0_servant_cat_wreath_horse	cs
Erb_2005	11	11_apples_tree_sisters_wine	cs
Erb_2009	9	9_wedding_crows_crow_married	cs
Erb_2013	7	7_legs_calf_reed_nest	cs
Erb_2016	0	0_servant_cat_wreath_horse	cs
Erb_2017	0	0_servant_cat_wreath_horse	cs
Erb_2018	13	13_bake_basket_bells_eggs	cs
Erb_2020	18	18_hats_hat_cap_hay	cs
Erb_2022	0	0_servant_cat_wreath_horse	cs
Erb_2023	0	0_servant_cat_wreath_horse	cs
Erb_2024	0	0_servant_cat_wreath_horse	cs
Erb_2025	0	0_servant_cat_wreath_horse	cs
Erb_2026	0	0_servant_cat_wreath_horse	cs
Erb_2027	12	12_march_thirty_month_june	cs
Erb_2034	18	18_hats_hat_cap_hay	cs
Erb_2036	12	12_march_thirty_month_june	cs
Erb_2039	14	14_herd_dog_tail_turning	cs
Erb_2040	9	9_wedding_crows_crow_married	cs
Erb_2041	17	17_crooked_tavern_trembles_straight	cs
Erb_2044	9	9_wedding_crows_crow_married	cs
Erb_2048	4	4_servants_thousand_soul_book	cs
Erb_2049	4	4_servants_thousand_soul_book	cs
Erb_2051	7	7_legs_calf_reed_nest	cs
Erb_2052	12	12_march_thirty_month_june	cs
Erb_2054	3	3_oxen_gentlemen_peasants_plow	cs
Erb_2055	18	18_hats_hat_cap_hay	cs
Erb_2056	18	18_hats_hat_cap_hay	cs
Erb_2057	18	18_hats_hat_cap_hay	cs
Erb_2058	10	10_wheat_barley_rye_pea	cs
Erb_2059	18	18_hats_hat_cap_hay	cs
Erb_2060	11	11_apples_tree_sisters_wine	cs
Erb_2061	10	10_wheat_barley_rye_pea	cs
Erb_2062	4	4_servants_thousand_soul_book	cs
Erb_2063	18	18_hats_hat_cap_hay	cs
Erb_2065	18	18_hats_hat_cap_hay	cs
Erb_2067	16	16_wolf_bear_anne_leg	cs
Erb_2068	0	0_servant_cat_wreath_horse	cs
Erb_2069	13	13_bake_basket_bells_eggs	cs
Erb_2070	18	18_hats_hat_cap_hay	cs
Erb_2072	13	13_bake_basket_bells_eggs	cs
Erb_2074	0	0_servant_cat_wreath_horse	cs
Erb_2075	15	15_bow_fall_sail_singing	cs
Erb_2077	0	0_servant_cat_wreath_horse	cs
Erb_2082	0	0_servant_cat_wreath_horse	cs
Erb_2083	0	0_servant_cat_wreath_horse	cs
Erb_2084	0	0_servant_cat_wreath_horse	cs
Erb_2086	5	5_matchmaker_vodka_melody_wedding	cs
Erb_2088	5	5_matchmaker_vodka_melody_wedding	cs
Erb_2089	0	0_servant_cat_wreath_horse	cs
Erb_2090	17	17_crooked_tavern_trembles_straight	cs
Erb_2091	4	4_servants_thousand_soul_book	cs
Erb_2092	5	5_matchmaker_vodka_melody_wedding	cs
Erb_2093	0	0_servant_cat_wreath_horse	cs
Erb_2095	11	11_apples_tree_sisters_wine	cs
Erb_2097	9	9_wedding_crows_crow_married	cs
Erb_2099	1	1_nicholas_saint_blessed_god	cs
Erb_2100	9	9_wedding_crows_crow_married	cs
Erb_2102	9	9_wedding_crows_crow_married	cs
Erb_2104	9	9_wedding_crows_crow_married	cs
Erb_2106	14	14_herd_dog_tail_turning	cs
Erb_2107	9	9_wedding_crows_crow_married	cs
Erb_2108	9	9_wedding_crows_crow_married	cs
Erb_2109	9	9_wedding_crows_crow_married	cs
Erb_2110	1	1_nicholas_saint_blessed_god	cs
Erb_2112	17	17_crooked_tavern_trembles_straight	cs
Erb_2113	13	13_bake_basket_bells_eggs	cs
Erb_2114	4	4_servants_thousand_soul_book	cs
Erb_2116	8	8_june_march_saint_day	cs
Erb_2117	3	3_oxen_gentlemen_peasants_plow	cs
Erb_2119	16	16_wolf_bear_anne_leg	cs
Erb_2120	16	16_wolf_bear_anne_leg	cs
Erb_2121	3	3_oxen_gentlemen_peasants_plow	cs
Erb_2124	16	16_wolf_bear_anne_leg	cs
Erb_2126	16	16_wolf_bear_anne_leg	cs
Erb_2127	16	16_wolf_bear_anne_leg	cs
Erb_2128	9	9_wedding_crows_crow_married	cs
Erb_2130	4	4_servants_thousand_soul_book	cs
Erb_2131	13	13_bake_basket_bells_eggs	cs
Erb_2134	10	10_wheat_barley_rye_pea	cs
Erb_2135	13	13_bake_basket_bells_eggs	cs
Erb_2137	5	5_matchmaker_vodka_melody_wedding	cs
Erb_2138	0	0_servant_cat_wreath_horse	cs
Erb_2141	9	9_wedding_crows_crow_married	cs
Erb_2143	9	9_wedding_crows_crow_married	cs
Erb_2145	9	9_wedding_crows_crow_married	cs
Erb_2146	5	5_matchmaker_vodka_melody_wedding	cs
Erb_2150	13	13_bake_basket_bells_eggs	cs
Erb_2151	3	3_oxen_gentlemen_peasants_plow	cs
Erb_2153	5	5_matchmaker_vodka_melody_wedding	cs
Erb_2154	7	7_legs_calf_reed_nest	cs
Erb_2159	13	13_bake_basket_bells_eggs	cs
Erb_2160	13	13_bake_basket_bells_eggs	cs
Erb_2163	5	5_matchmaker_vodka_melody_wedding	cs
Erb_2166	6	6_sparrow_cabbage_pea_chirp	cs
Erb_2169	5	5_matchmaker_vodka_melody_wedding	cs
Erb_2170	8	8_june_march_saint_day	cs
Erb_2171	9	9_wedding_crows_crow_married	cs
Erb_2175	6	6_sparrow_cabbage_pea_chirp	cs
Erb_2177	10	10_wheat_barley_rye_pea	cs
Erb_2180	17	17_crooked_tavern_trembles_straight	cs
THB_40	4	4_servants_thousand_soul_book	cs
THB_100	0	0_servant_cat_wreath_horse	cs
THB_101	8	8_june_march_saint_day	cs
THB_102	13	13_bake_basket_bells_eggs	cs
THB_103	11	11_apples_tree_sisters_wine	cs
THB_104	11	11_apples_tree_sisters_wine	cs
THB_105	14	14_herd_dog_tail_turning	cs
h21305000012	13	13_bake_basket_bells_eggs	et
e000151070015	17	17_crooked_tavern_trembles_straight	et
eys0617770000	14	14_herd_dog_tail_turning	et
eys0617830287	9	9_wedding_crows_crow_married	et
h21304930008	17	17_crooked_tavern_trembles_straight	et
e000076970008	10	10_wheat_barley_rye_pea	et
eys0807390339	14	14_herd_dog_tail_turning	et
h21305400049	7	7_legs_calf_reed_nest	et
e000093390023	18	18_hats_hat_cap_hay	et
e000099700006	14	14_herd_dog_tail_turning	et
e000138100007	12	12_march_thirty_month_june	et
eys0910530166	11	11_apples_tree_sisters_wine	et
h21400660083	9	9_wedding_crows_crow_married	et
eks1500010001	14	14_herd_dog_tail_turning	et
h31703830047	14	14_herd_dog_tail_turning	et
e000093890060	4	4_servants_thousand_soul_book	et
e000123260005	13	13_bake_basket_bells_eggs	et
e000598850000	17	17_crooked_tavern_trembles_straight	et
e000613860003	14	14_herd_dog_tail_turning	et
