id,assigned_topic,topic_label,top_topic_prob
Erb_1809,10,10_wheat_barley_rye_pea,0.3097689
Erb_1811,18,18_hats_hat_cap_hay,0.37968075
Erb_1814,0,0_servant_cat_wreath_horse,0.0
Erb_1815,2,2_beer_beer drink_drank_eating,0.787395
Erb_1816,14,14_herd_dog_tail_turning,0.66509736
Erb_1817,9,9_wedding_crows_crow_married,0.48282963
Erb_1818,0,0_servant_cat_wreath_horse,0.0
Erb_1819,10,10_wheat_barley_rye_pea,1.0
Erb_1820,10,10_wheat_barley_rye_pea,1.0
Erb_1821,9,9_wedding_crows_crow_married,0.50465995
Erb_1823,18,18_hats_hat_cap_hay,0.34850034
Erb_1824,10,10_wheat_barley_rye_pea,1.0
Erb_1827,0,0_servant_cat_wreath_horse,0.0
Erb_1828,0,0_servant_cat_wreath_horse,0.0
Erb_1829,14,14_herd_dog_tail_turning,0.5141704
Erb_1831,6,6_sparrow_cabbage_pea_chirp,0.64112395
Erb_1833,12,12_march_thirty_month_june,0.29698172
Erb_1834,11,11_apples_tree_sisters_wine,0.6254784
Erb_1836,5,5_matchmaker_vodka_melody_wedding,1.0
Erb_1838,6,6_sparrow_cabbage_pea_chirp,1.0
Erb_1839,0,0_servant_cat_wreath_horse,0.0
Erb_1840,9,9_wedding_crows_crow_married,0.55617875
Erb_1843,0,0_servant_cat_wreath_horse,0.0
Erb_1844,14,14_herd_dog_tail_turning,0.2958297
Erb_1848,8,8_june_march_saint_day,0.5113189
Erb_1858,0,0_servant_cat_wreath_horse,0.0
Erb_1860,9,9_wedding_crows_crow_married,1.0
Erb_1861,10,10_wheat_barley_rye_pea,0.28173155
Erb_1864,9,9_wedding_crows_crow_married,1.0
Erb_1865,11,11_apples_tree_sisters_wine,1.0
Erb_1866,1,1_nicholas_saint_blessed_god,0.42480326
Erb_1867,0,0_servant_cat_wreath_horse,0.0
Erb_1868,9,9_wedding_crows_crow_married,0.4087379
Erb_1872,0,0_servant_cat_wreath_horse,0.0
Erb_1873,0,0_servant_cat_wreath_horse,0.0
Erb_1874,9,9_wedding_crows_crow_married,0.8538142
Erb_1875,5,5_matchmaker_vodka_melody_wedding,1.0
Erb_1876,3,3_oxen_gentlemen_peasants_plow,0.5156201
Erb_1877,5,5_matchmaker_vodka_melody_wedding,1.0
Erb_1878,13,13_bake_basket_bells_eggs,0.7807621
Erb_1879,4,4_servants_thousand_soul_book,0.757885
Erb_1882,15,15_bow_fall_sail_singing,1.0
Erb_1883,5,5_matchmaker_vodka_melody_wedding,1.0
Erb_1884,6,6_sparrow_cabbage_pea_chirp,0.3189338
Erb_1887,5,5_matchmaker_vodka_melody_wedding,1.0
Erb_1890,17,17_crooked_tavern_trembles_straight,0.50390345
Erb_1893,18,18_hats_hat_cap_hay,0.6114725
Erb_1894,18,18_hats_hat_cap_hay,0.79625833
Erb_1895,1,1_nicholas_saint_blessed_god,0.52895075
Erb_1896,17,17_crooked_tavern_trembles_straight,1.0
Erb_1897,16,16_wolf_bear_anne_leg,1.0
Erb_1898,11,11_apples_tree_sisters_wine,0.44098327
Erb_1905,3,3_oxen_gentlemen_peasants_plow,0.6695461
Erb_1907,17,17_crooked_tavern_trembles_straight,0.31966153
Erb_1909,4,4_servants_thousand_soul_book,1.0
Erb_1910,3,3_oxen_gentlemen_peasants_plow,0.4408221
Erb_1915,6,6_sparrow_cabbage_pea_chirp,0.38205728
Erb_1917,11,11_apples_tree_sisters_wine,0.6437674
Erb_1918,18,18_hats_hat_cap_hay,0.23760179
Erb_1924,9,9_wedding_crows_crow_married,0.37668046
Erb_1928,3,3_oxen_gentlemen_peasants_plow,0.33966112
Erb_1929,9,9_wedding_crows_crow_married,0.6070505
Erb_1930,7,7_legs_calf_reed_nest,0.34463367
Erb_1931,0,0_servant_cat_wreath_horse,0.0
Erb_1932,12,12_march_thirty_month_june,1.0
Erb_1934,6,6_sparrow_cabbage_pea_chirp,0.33611277
Erb_1940,8,8_june_march_saint_day,0.41592777
Erb_1942,0,0_servant_cat_wreath_horse,0.0
Erb_1943,1,1_nicholas_saint_blessed_god,0.40901706
Erb_1944,15,15_bow_fall_sail_singing,0.5566828
Erb_1945,8,8_june_march_saint_day,0.64014405
Erb_1946,8,8_june_march_saint_day,1.0
Erb_1948,15,15_bow_fall_sail_singing,0.5601651
Erb_1950,0,0_servant_cat_wreath_horse,0.0
Erb_1951,17,17_crooked_tavern_trembles_straight,0.6239336
Erb_1952,1,1_nicholas_saint_blessed_god,0.45384836
Erb_1955,0,0_servant_cat_wreath_horse,0.0
Erb_1957,15,15_bow_fall_sail_singing,1.0
Erb_1958,11,11_apples_tree_sisters_wine,0.95869964
Erb_1959,11,11_apples_tree_sisters_wine,0.3739533
Erb_1967,11,11_apples_tree_sisters_wine,0.29425585
Erb_1968,1,1_nicholas_saint_blessed_god,1.0
Erb_1969,13,13_bake_basket_bells_eggs,0.6928213
Erb_1970,13,13_bake_basket_bells_eggs,1.0
Erb_1972,1,1_nicholas_saint_blessed_god,1.0
