model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
RBF_SVM,wedding,42,0.1316,0.119,0.125,0.881,love,0.2857
RBF_SVM,carols,10,0.2,0.1,0.1333,0.9,love,0.4
RBF_SVM,children,18,0.1818,0.2222,0.2,0.7778,business_and_civil,0.1667
RBF_SVM,young_people,159,0.4062,0.1635,0.2332,0.8365,love,0.3585
RBF_SVM,entertainment_and_dance,83,0.3333,0.1928,0.2443,0.8072,love,0.2169
RBF_SVM,military,16,0.2051,0.5,0.2909,0.5,love,0.1875
RBF_SVM,social_life,25,0.2759,0.32,0.2963,0.68,love,0.24
RBF_SVM,business_and_civil,77,0.2703,0.3896,0.3191,0.6104,love,0.1558
RBF_SVM,love,73,0.2469,0.5479,0.3404,0.4521,young_people,0.1781
RBF_SVM,calendar,62,0.5106,0.3871,0.4404,0.6129,business_and_civil,0.2258
