model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
Linear_SVM,DĚTSKÉ,18,0.0,0.0,0.0,1.0,Písně věku mládeneckého a panenského,0.9444
Linear_SVM,KOLEDY,9,0.0,0.0,0.0,1.0,Písně věku mládeneckého a panenského,0.8889
Linear_SVM,SVATEBNÍ,41,0.0,0.0,0.0,1.0,Písně věku mládeneckého a panenského,0.9268
Linear_SVM,Písně společenské,25,0.0,0.0,0.0,1.0,Písně věku mládeneckého a panenského,0.96
Linear_SVM,VOJENSKÉ,18,0.0,0.0,0.0,1.0,Písně věku mládeneckého a panenského,0.9444
Linear_SVM,MILOSTNÉ,74,0.1429,0.0135,0.0247,0.9865,Písně věku mládeneckého a panenského,0.973
Linear_SVM,"Písně o stavích, živnostech a jiných stránkách života občanského",77,0.3333,0.013,0.025,0.987,Písně věku mládeneckého a panenského,0.9091
Linear_SVM,ŽERTOVNÉ A TANEČNÍ,82,0.3333,0.0488,0.0851,0.9512,Písně věku mládeneckého a panenského,0.9146
Linear_SVM,Písně a říkadla výroční,62,0.6875,0.1774,0.2821,0.8226,Písně věku mládeneckého a panenského,0.8226
Linear_SVM,Písně věku mládeneckého a panenského,159,0.2941,0.9748,0.4519,0.0252,ŽERTOVNÉ A TANEČNÍ,0.0189
