model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
RBF_SVM,wedding,42,0.0789,0.0714,0.075,0.9286,love,0.2857
RBF_SVM,carols,10,0.1667,0.1,0.125,0.9,love,0.4
RBF_SVM,entertainment_and_dance,83,0.24,0.1446,0.1805,0.8554,love,0.241
RBF_SVM,young_people,159,0.3818,0.1321,0.1963,0.8679,love,0.3459
RBF_SVM,children,18,0.2,0.2222,0.2105,0.7778,business_and_civil,0.2222
RBF_SVM,business_and_civil,77,0.2281,0.3377,0.2723,0.6623,calendar,0.1688
RBF_SVM,military,16,0.2105,0.5,0.2963,0.5,love,0.25
RBF_SVM,love,73,0.2375,0.5205,0.3262,0.4795,business_and_civil,0.1507
RBF_SVM,social_life,25,0.3103,0.36,0.3333,0.64,business_and_civil,0.2
RBF_SVM,calendar,62,0.4,0.3548,0.3761,0.6452,business_and_civil,0.1935
