model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
Linear_SVM,marriage,47,1.0,0.0213,0.0417,0.9787,youth_life,0.7234
Linear_SVM,home_and_childhood,41,0.6667,0.0976,0.1702,0.9024,youth_life,0.6829
Linear_SVM,work,79,0.6296,0.2152,0.3208,0.7848,youth_life,0.5949
Linear_SVM,children,36,0.8889,0.2222,0.3556,0.7778,youth_life,0.5556
Linear_SVM,social_relationships,80,0.619,0.325,0.4262,0.675,youth_life,0.425
Linear_SVM,entertainment,107,0.4412,0.4206,0.4306,0.5794,youth_life,0.4579
Linear_SVM,youth_life,143,0.3058,0.8811,0.4541,0.1189,entertainment,0.0629
Linear_SVM,worry,42,0.75,0.3571,0.4839,0.6429,youth_life,0.4762
Linear_SVM,nature,75,0.6327,0.4133,0.5,0.5867,youth_life,0.3867
Linear_SVM,calendar,60,0.7381,0.5167,0.6078,0.4833,youth_life,0.4167
