model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
Linear_SVM,marriage,47,1.0,0.0213,0.0417,0.9787,youth_life,0.7021
Linear_SVM,home_and_childhood,41,0.8,0.0976,0.1739,0.9024,youth_life,0.6829
Linear_SVM,children,36,0.7778,0.1944,0.3111,0.8056,youth_life,0.5278
Linear_SVM,work,79,0.6061,0.2532,0.3571,0.7468,youth_life,0.557
Linear_SVM,social_relationships,80,0.5686,0.3625,0.4427,0.6375,youth_life,0.325
Linear_SVM,worry,42,0.8125,0.3095,0.4483,0.6905,youth_life,0.5
Linear_SVM,youth_life,143,0.3187,0.8601,0.465,0.1399,entertainment,0.0629
Linear_SVM,entertainment,107,0.4602,0.486,0.4727,0.514,youth_life,0.3925
Linear_SVM,nature,75,0.5965,0.4533,0.5152,0.5467,youth_life,0.3467
Linear_SVM,calendar,60,0.7949,0.5167,0.6263,0.4833,youth_life,0.4
