model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
RBF_SVM,work,79,0.3281,0.5316,0.4058,0.4684,youth_life,0.1772
RBF_SVM,marriage,47,0.4194,0.5532,0.4771,0.4468,youth_life,0.1702
RBF_SVM,social_relationships,80,0.5965,0.425,0.4964,0.575,work,0.175
RBF_SVM,entertainment,107,0.5581,0.4486,0.4974,0.5514,youth_life,0.215
RBF_SVM,home_and_childhood,41,0.5429,0.4634,0.5,0.5366,youth_life,0.1951
RBF_SVM,nature,75,0.5692,0.4933,0.5286,0.5067,work,0.2133
RBF_SVM,youth_life,143,0.5212,0.6014,0.5584,0.3986,work,0.1259
RBF_SVM,children,36,0.6316,0.6667,0.6486,0.3333,nature,0.1111
RBF_SVM,worry,42,0.7353,0.5952,0.6579,0.4048,work,0.1429
RBF_SVM,calendar,60,0.85,0.5667,0.68,0.4333,work,0.1
