model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
Linear_SVM,marriage,47,0.5,0.0213,0.0408,0.9787,youth_life,0.4255
Linear_SVM,home_and_childhood,41,0.5714,0.1951,0.2909,0.8049,youth_life,0.439
Linear_SVM,children,36,0.8,0.2222,0.3478,0.7778,youth_life,0.2222
Linear_SVM,work,79,0.4333,0.3291,0.3741,0.6709,youth_life,0.3165
Linear_SVM,social_relationships,80,0.443,0.4375,0.4403,0.5625,entertainment,0.225
Linear_SVM,entertainment,107,0.3797,0.5607,0.4528,0.4393,youth_life,0.2243
Linear_SVM,youth_life,143,0.4177,0.6923,0.5211,0.3077,entertainment,0.1748
Linear_SVM,worry,42,0.76,0.4524,0.5672,0.5476,youth_life,0.1905
Linear_SVM,nature,75,0.5789,0.5867,0.5828,0.4133,youth_life,0.16
Linear_SVM,calendar,60,0.7347,0.6,0.6606,0.4,youth_life,0.2167
