model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
RBF_SVM,work,79,0.3228,0.519,0.3981,0.481,youth_life,0.1392
RBF_SVM,marriage,47,0.3582,0.5106,0.4211,0.4894,youth_life,0.1702
RBF_SVM,entertainment,107,0.5181,0.4019,0.4526,0.5981,youth_life,0.2056
RBF_SVM,social_relationships,80,0.5246,0.4,0.4539,0.6,work,0.175
RBF_SVM,home_and_childhood,41,0.5405,0.4878,0.5128,0.5122,youth_life,0.1707
RBF_SVM,youth_life,143,0.5065,0.5455,0.5253,0.4545,work,0.1189
RBF_SVM,nature,75,0.5846,0.5067,0.5429,0.4933,work,0.2
RBF_SVM,worry,42,0.6757,0.5952,0.6329,0.4048,work,0.1429
RBF_SVM,children,36,0.6154,0.6667,0.64,0.3333,youth_life,0.1111
RBF_SVM,calendar,60,0.85,0.5667,0.68,0.4333,youth_life,0.1333
