model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
RBF_SVM,Work_fishing,63,0.3402,0.5238,0.4125,0.4762,Work_agricultural,0.2857
RBF_SVM,Lament_eosayong,59,0.4853,0.5593,0.5197,0.4407,Work_agricultural,0.2542
RBF_SVM,Work_construction,93,0.4921,0.6667,0.5662,0.3333,Work_agricultural,0.1398
RBF_SVM,Ritual_funeral,117,0.5515,0.641,0.5929,0.359,Work_agricultural,0.1709
RBF_SVM,Lament_lament,116,0.5833,0.6034,0.5932,0.3966,Work_agricultural,0.1724
RBF_SVM,Entertainment_children,45,0.6087,0.6222,0.6154,0.3778,Work_agricultural,0.2
RBF_SVM,etc_minstrel,49,0.7105,0.551,0.6207,0.449,Work_agricultural,0.2041
RBF_SVM,Work_artisan,145,0.7521,0.6276,0.6842,0.3724,Work_agricultural,0.1793
RBF_SVM,Lullaby_lullaby,134,0.7214,0.7537,0.7372,0.2463,Work_agricultural,0.1119
RBF_SVM,Work_agricultural,732,0.7791,0.7036,0.7394,0.2964,Ritual_funeral,0.056
