model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
Linear_SVM,Lament_eosayong,59,0.4545,0.0847,0.1429,0.9153,Work_agricultural,0.2542
Linear_SVM,Work_fishing,63,0.5417,0.2063,0.2989,0.7937,Work_agricultural,0.5238
Linear_SVM,Entertainment_children,45,0.8667,0.2889,0.4333,0.7111,Work_agricultural,0.3111
Linear_SVM,Ritual_funeral,117,0.3738,0.6581,0.4768,0.3419,Work_agricultural,0.2137
Linear_SVM,Work_construction,93,0.6667,0.4086,0.5067,0.5914,Work_agricultural,0.3011
Linear_SVM,Lament_lament,116,0.4718,0.5776,0.5194,0.4224,Work_agricultural,0.1724
Linear_SVM,etc_minstrel,49,0.8636,0.3878,0.5352,0.6122,Work_agricultural,0.2653
Linear_SVM,Work_artisan,145,0.4934,0.7724,0.6022,0.2276,Work_agricultural,0.1034
Linear_SVM,Lullaby_lullaby,134,0.6755,0.7612,0.7158,0.2388,Work_agricultural,0.097
Linear_SVM,Work_agricultural,732,0.7479,0.7131,0.7301,0.2869,Ritual_funeral,0.0956
