model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
RBF_SVM,Work_construction,93,0.3121,0.5269,0.392,0.4731,Work_agricultural,0.2151
RBF_SVM,Work_fishing,63,0.3671,0.4603,0.4085,0.5397,Work_agricultural,0.3175
RBF_SVM,Lament_eosayong,59,0.3434,0.5763,0.4304,0.4237,Work_agricultural,0.2203
RBF_SVM,Ritual_funeral,117,0.4429,0.5299,0.4825,0.4701,Work_agricultural,0.2051
RBF_SVM,Lament_lament,116,0.5339,0.5431,0.5385,0.4569,Work_agricultural,0.1724
RBF_SVM,Entertainment_children,45,0.5897,0.5111,0.5476,0.4889,Work_agricultural,0.2
RBF_SVM,etc_minstrel,49,0.6842,0.5306,0.5977,0.4694,Work_agricultural,0.1224
RBF_SVM,Work_artisan,145,0.6917,0.6345,0.6619,0.3655,Work_agricultural,0.1724
RBF_SVM,Lullaby_lullaby,134,0.6822,0.6567,0.6692,0.3433,Work_agricultural,0.1567
RBF_SVM,Work_agricultural,732,0.7456,0.6325,0.6844,0.3675,Work_construction,0.0751
