model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
Linear_SVM,anti-marriage,9,0.0,0.0,0.0,1.0,children,1.0
Linear_SVM,birthday,15,0.0,0.0,0.0,1.0,children,0.9333
Linear_SVM,christmas,5,0.0,0.0,0.0,1.0,children,1.0
Linear_SVM,lullaby,8,0.0,0.0,0.0,1.0,children,1.0
Linear_SVM,st_nicholas,10,0.0,0.0,0.0,1.0,children,1.0
Linear_SVM,work_soldier,16,0.0,0.0,0.0,1.0,children,0.875
Linear_SVM,work,27,0.3333,0.037,0.0667,0.963,children,0.8519
Linear_SVM,work_sea,37,0.5,0.1081,0.1778,0.8919,children,0.8919
Linear_SVM,wedding,97,0.6786,0.5876,0.6298,0.4124,children,0.3918
Linear_SVM,children,298,0.6385,0.9128,0.7514,0.0872,wedding,0.0705
