model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
RBF_SVM,birthday,15,0.0873,0.7333,0.156,0.2667,children,0.2
RBF_SVM,christmas,5,0.1875,0.6,0.2857,0.4,children,0.2
RBF_SVM,work,27,0.25,0.4074,0.3099,0.5926,birthday,0.3333
RBF_SVM,anti-marriage,9,0.5,0.3333,0.4,0.6667,birthday,0.4444
RBF_SVM,wedding,97,0.6333,0.3918,0.4841,0.6082,children,0.268
RBF_SVM,work_soldier,16,0.5,0.5,0.5,0.5,birthday,0.25
RBF_SVM,lullaby,8,0.4545,0.625,0.5263,0.375,birthday,0.125
RBF_SVM,children,298,0.7746,0.4497,0.569,0.5503,birthday,0.2483
RBF_SVM,work_sea,37,0.5439,0.8378,0.6596,0.1622,birthday,0.0541
RBF_SVM,st_nicholas,10,0.6923,0.9,0.7826,0.1,children,0.1
