model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
Linear_SVM,Non-ritual_Lyrical,31,0.0,0.0,0.0,1.0,Non-ritual_Ballad,0.7419
Linear_SVM,Non-ritual_Romance,5,0.0,0.0,0.0,1.0,Calendar-ritual_spring,0.4
Linear_SVM,Non-ritual_Humorous,16,0.0,0.0,0.0,1.0,Non-ritual_Ballad,0.5625
Linear_SVM,Non-ritual_Social-domestic,8,0.0,0.0,0.0,1.0,Non-ritual_Ballad,0.875
Linear_SVM,children_children,8,0.0,0.0,0.0,1.0,Non-ritual_Ballad,0.5
Linear_SVM,Calendar-ritual_Summer,38,0.5517,0.4211,0.4776,0.5789,Non-ritual_Ballad,0.2632
Linear_SVM,Non-ritual_Ballad,60,0.3923,0.85,0.5368,0.15,Family-ritual_wedding,0.0667
Linear_SVM,Family-ritual_wedding,52,0.58,0.5577,0.5686,0.4423,Calendar-ritual_spring,0.1731
Linear_SVM,Calendar-ritual_winter,44,0.6765,0.5227,0.5897,0.4773,Non-ritual_Ballad,0.25
Linear_SVM,Calendar-ritual_spring,55,0.5946,0.8,0.6822,0.2,Non-ritual_Ballad,0.1091
