model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
Linear_SVM,Non-ritual_Romance,5,0.0,0.0,0.0,1.0,Non-ritual_Lyrical,0.4
Linear_SVM,Non-ritual_Humorous,16,0.0,0.0,0.0,1.0,Calendar-ritual_Summer,0.3125
Linear_SVM,Non-ritual_Social-domestic,8,0.0,0.0,0.0,1.0,Non-ritual_Ballad,0.25
Linear_SVM,Non-ritual_Lyrical,31,0.2708,0.4194,0.3291,0.5806,Non-ritual_Ballad,0.2903
Linear_SVM,Family-ritual_wedding,52,0.4545,0.3846,0.4167,0.6154,Calendar-ritual_winter,0.2308
Linear_SVM,Calendar-ritual_Summer,38,0.4082,0.5263,0.4598,0.4737,Calendar-ritual_spring,0.2105
Linear_SVM,Non-ritual_Ballad,60,0.52,0.4333,0.4727,0.5667,Non-ritual_Lyrical,0.2667
Linear_SVM,children_children,8,1.0,0.375,0.5455,0.625,Calendar-ritual_winter,0.375
Linear_SVM,Calendar-ritual_spring,55,0.5238,0.6,0.5593,0.4,Calendar-ritual_Summer,0.1273
Linear_SVM,Calendar-ritual_winter,44,0.5167,0.7045,0.5962,0.2955,Calendar-ritual_Summer,0.0909
