model,label,support,precision,recall,f1,confusion_rate,top_confused_with,top_confused_pct
RBF_SVM,Non-ritual_Romance,5,0.0,0.0,0.0,1.0,Calendar-ritual_winter,0.4
RBF_SVM,Non-ritual_Social-domestic,8,0.0,0.0,0.0,1.0,Non-ritual_Ballad,0.75
RBF_SVM,Non-ritual_Humorous,16,0.5,0.25,0.3333,0.75,Family-ritual_wedding,0.3125
RBF_SVM,Non-ritual_Lyrical,31,0.3784,0.4516,0.4118,0.5484,Non-ritual_Ballad,0.3226
RBF_SVM,Calendar-ritual_Summer,38,0.5789,0.5789,0.5789,0.4211,Family-ritual_wedding,0.1579
RBF_SVM,Family-ritual_wedding,52,0.5763,0.6538,0.6126,0.3462,Calendar-ritual_winter,0.1154
RBF_SVM,Non-ritual_Ballad,60,0.5402,0.7833,0.6395,0.2167,Non-ritual_Lyrical,0.1667
RBF_SVM,Calendar-ritual_winter,44,0.7105,0.6136,0.6585,0.3864,Non-ritual_Ballad,0.1818
RBF_SVM,Calendar-ritual_spring,55,0.7805,0.5818,0.6667,0.4182,Family-ritual_wedding,0.1455
RBF_SVM,children_children,8,1.0,0.5,0.6667,0.5,Non-ritual_Ballad,0.25
