assigned_topic,topic_label,n_errors,most_confused_true,most_confused_pred,n_total,error_rate
9,9_path afterlife_afterlife long_afterlife far_gate afterlife,1,ko (1),uk (1),1,1.0
29,29_rice field_seedling_plant seedlings_seedlings,3,ko (3),uk (2),3,1.0
24,24_lullaby lullaby_lullaby sleep_sleeps lullaby_sleep lullaby,1,ko (1),uk (1),1,1.0
78,78_beloved girl_wife beautiful_heartfelt_making love,6,et (2),et (3),6,1.0
72,72_sail sea_sail_sailor_sailed,1,cs (1),uk (1),1,1.0
135,135_slave_little hop_child lullaby_sisters,5,uk (2),et (3),5,1.0
136,136_barking_young maiden_flea_little bell,3,et (3),uk (2),3,1.0
91,91_autumn_summer autumn_weary_autumn winter,2,ko (2),uk (2),2,1.0
99,99_beloved little_beloved girl_lord little_dear andulka,4,cs (1),ko (1),4,1.0
88,88_mother poor_poor mother_dear parents_mother raised,2,cs (2),uk (2),2,1.0
87,87_chinese characters_seven characters_characters_looking characters,2,ko (2),uk (2),2,1.0
84,84_forest dear_little birds_alder forest_maidens,2,et (2),uk (2),2,1.0
79,79_altars_dear life_wretched_beloved comes,1,ko (1),uk (1),1,1.0
126,126_poor maiden_orphans_dear andulka_garden little,1,cs (1),uk (1),1,1.0
110,110_comfort heart_dwell_perished_beloved walking,1,uk (1),cs (1),1,1.0
41,41_ilgwangdan_namsan_hyeo_diyeocha,5,ko (4),uk (3),6,0.8333333333333334
134,134_ran away_nanynka_chasing_wounds,8,ko (5),cs (6),10,0.8
130,130_mourn_hurts mother_little soldier_thorns,7,ko (3),cs (4),9,0.7777777777777778
81,81_candles_generous evening_solemnly_father dear,3,nl (2),et (2),4,0.75
118,118_golden maiden_little wreath_nightingale_dove dear,16,ko (8),cs (11),22,0.7272727272727273
125,125_joy sorrow_melody unknown_comfort heart_grant happiness,5,ko (3),nl (3),7,0.7142857142857143
138,138_korean folk_white feathers_home bowed_raft,5,ko (3),uk (3),7,0.7142857142857143
139,139_tree apple_apple tree_tree seen_barley field,7,cs (4),et (4),10,0.7
137,137_horses_rye_buns_buy horse,10,cs (3),uk (7),15,0.6666666666666666
111,111_lord praise_praise_praise lord_cheerful song,2,nl (1),uk (1),3,0.6666666666666666
53,53_rice field_yangsan_weed field_weed fields,2,cs (1),uk (2),3,0.6666666666666666
107,107_confess_nuns_love girl_wounds,2,cs (1),ko (1),3,0.6666666666666666
73,73_bagpipes_maids_home wife_men little,4,ko (2),cs (4),7,0.5714285714285714
60,60_bridesmaid_bridesmaids_farewell dear_little wine,7,uk (3),cs (4),13,0.5384615384615384
129,129_beloved dear_loved faithfully_silent dear_dear andulka,8,uk (4),cs (5),15,0.5333333333333333
0,0_midsummer_mother grave_hay_rise dear,173,ko (72),uk (173),329,0.5258358662613982
128,128_die young_green trees_want die_andong,1,nl (1),uk (1),2,0.5
96,96_god born_sailing sea_miracle_bethlehem,1,ko (1),uk (1),2,0.5
100,100_did spruce_spruce old_dry spruce_forest dry,3,ko (1),ko (2),6,0.5
65,65_saint nicholas_nicholas saint_nicholas good_bring little,2,uk (1),et (1),4,0.5
34,34_joy_leaving dear_dear golden_dear mother,1,nl (1),uk (1),2,0.5
33,33_northern fairy_fairy_nang river_nan river,1,uk (1),et (1),2,0.5
103,103_dog went_went herd_whistled_nest forest,8,ko (5),et (8),16,0.5
141,141_yangsan_jade railing_northern fairy_loom jade,1,ko (1),nl (1),2,0.5
116,116_lullaby_lullaby lullaby_lullaby baby_child lullaby,3,ko (2),nl (2),6,0.5
122,122_mocking_squirrel_laughed_don laugh,3,uk (2),et (2),6,0.5
112,112_tended herd_plow_slave tended_manor,2,et (1),uk (1),4,0.5
127,127_candle_candles_naughty_home morning,10,ko (4),uk (5),22,0.45454545454545453
140,140_hay_pasture_little grandmother_grass little,4,cs (1),cs (3),9,0.4444444444444444
124,124_horse god_little horse_altar_wife little,15,ko (5),cs (13),34,0.4411764705882353
142,142_little bouquet_dear ones_soldiers_little feet,7,ko (3),cs (6),16,0.4375
115,115_joyful wedding_dear mother_little horses_mother gave,38,cs (16),ko (22),88,0.4318181818181818
94,94_little roses_bells_little lady_ran away,2,nl (1),cs (1),5,0.4
86,86_little stars_little honzík_little sun_ladybug,2,uk (2),et (2),5,0.4
55,55_jinju_mandarin ducks_mandarin_geogyeo body,4,uk (3),ko (3),11,0.36363636363636365
133,133_little horses_whip_poppy_love little,10,ko (4),cs (10),28,0.35714285714285715
101,101_little maiden_golden maiden_little dove_farmer wife,8,uk (4),et (6),23,0.34782608695652173
93,93_poor maiden_fair maiden_white maiden_wove wreath,1,cs (1),uk (1),3,0.3333333333333333
131,131_good harvest_harvest_seedlings rice_field harvest,1,ko (1),uk (1),3,0.3333333333333333
95,95_lullaby lullaby_lullaby_lullaby sleeping_sleeps lullaby,1,ko (1),uk (1),3,0.3333333333333333
123,123_praise joyful_joyful spirit_joy rejoice_celebration,6,uk (4),nl (5),20,0.3
62,62_delights_love faithfulness_bride bridegroom_love beloved,2,uk (1),nl (2),7,0.2857142857142857
85,85_violet_comfort heart_peacock feathers_little heart,4,nl (2),cs (4),15,0.26666666666666666
120,120_gentle little_dear brothers_fly little_dear daddy,4,uk (3),cs (4),15,0.26666666666666666
70,70_pines wet_wet pines_pines dry_water cattle,1,ko (1),cs (1),4,0.25
38,38_dear jeníček_dove little_rye little_grove dear,2,uk (1),ko (1),9,0.2222222222222222
83,83_lament fate_precious time_school song_door mother,1,ko (1),uk (1),5,0.2
121,121_hymn_praise honor_heaven blessing_charms,2,ko (2),nl (2),10,0.2
144,144_horseback_farmer_emperor_bowing,5,et (2),ko (4),27,0.18518518518518517
75,75_maidens young_honzíček_men maidens_roses,1,ko (1),cs (1),6,0.16666666666666666
43,43_joyful wedding_dear bride_bridegroom bride_groom bride,1,uk (1),nl (1),14,0.07142857142857142
143,143_crow_fate life_fate_good fate,1,uk (1),ko (1),19,0.05263157894736842
23,23_welcome wedding_dear bride_wedding celebration_wedding,1,cs (1),nl (1),21,0.047619047619047616
44,44_sister law_brother married_brother law_life married,1,uk (1),ko (1),96,0.010416666666666666
