assigned_topic,topic_label,n_errors,most_confused_true,most_confused_pred,n_total,error_rate
1,1_gyeongsang_river_spirit_moon,1,ko (1),uk (1),1,1.0
5,5_horses_grazing_maidens_clover,2,cs (1),uk (2),2,1.0
17,17_mocking_squirrel_don laugh_laugh,16,ko (7),uk (9),20,0.8
9,9_wreath_wreaths_wreath wreath_periwinkle,37,ko (11),et (21),47,0.7872340425531915
12,12_orphans_trees_plowed field_wilderness,3,et (3),uk (3),4,0.75
15,15_slave_goats_ants_feathers,12,ko (4),nl (7),16,0.75
0,0_dear_sorrow_wish_weaving,320,ko (133),uk (320),470,0.6808510638297872
7,7_street_streets_fence_corner,16,ko (13),et (16),24,0.6666666666666666
18,18_farmer_rye_oats_horses,83,ko (33),cs (66),132,0.6287878787878788
10,10_young cossack_cossack_horseback_love young,5,ko (3),uk (4),8,0.625
3,3_saint nicholas_saint_nicholas_holy evening,6,nl (5),uk (5),11,0.5454545454545454
14,14_gyeongsang_jeolla_country_blow,65,ko (21),ko (39),121,0.5371900826446281
13,13_september_thirty_march_summer,38,ko (11),ko (25),73,0.5205479452054794
6,6_poplar_eyebrows_bright_boast,12,ko (5),uk (7),26,0.46153846153846156
16,16_song praise_cheerful song_sing song_sing,18,cs (8),nl (18),52,0.34615384615384615
11,11_little horses_horses_maids_altar,15,uk (6),cs (14),48,0.3125
2,2_married life_sister_husband_mother law,6,nl (4),ko (4),138,0.043478260869565216
