assigned_topic,topic_label,n_errors,most_confused_true,most_confused_pred,n_total,error_rate
5,5_drowned_small tears_young cossack_sorrow,2,uk (2),ko (2),2,1.0
13,13_takes wife_father law_mother law_horse,1,et (1),ko (1),1,1.0
14,14_young maiden_maiden young_maiden hears_maidens,3,et (3),ko (3),3,1.0
23,23_battle_cheerful_trumpets_soldiers,2,et (1),ko (2),2,1.0
32,32_mary_little jesus_christ born_given mother,2,et (2),ko (2),2,1.0
36,36_village maiden_singing forest_meadow_golden bird,3,uk (2),ko (3),3,1.0
35,35_honzíček_monastery_maidens young_set beloved,33,et (12),cs (19),52,0.6346153846153846
15,15_bridegroom_altar_bridesmaids_maid,5,cs (2),uk (3),8,0.625
21,21_young lad_stallions_crying young_village,5,et (4),ko (4),8,0.625
0,0_fate_weaving_wind_song,404,uk (206),ko (404),671,0.6020864381520119
29,29_bridesmaid_bridesmaids_bid farewell_little kiss,45,ko (27),cs (42),82,0.5487804878048781
30,30_saint nicholas_nicholas saint_nicholas good_child golden,6,uk (3),uk (3),11,0.5454545454545454
34,34_maids_husband home_husband_heaven,25,ko (10),cs (25),47,0.5319148936170213
28,28_shepherdess_shepherd_sheep_wolf,2,et (2),ko (2),4,0.5
24,24_lullaby baby_baby lullaby_lullaby little_lullaby,3,uk (2),ko (3),10,0.3
18,18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby,9,et (4),ko (9),35,0.2571428571428571
11,11_sails_ashore_ship_weaving,2,ko (2),uk (2),8,0.25
26,26_love sorrow_married dear_god dear_great sorrow,7,ko (3),cs (6),29,0.2413793103448276
31,31_lullaby_lullaby lullaby_lullaby little_lullaby baby,1,ko (1),uk (1),5,0.2
22,22_little bird_golden bird_hare_mandarin duck,1,ko (1),uk (1),6,0.16666666666666666
33,33_lullaby lullaby_lullaby_lullaby baby_sleep lullaby,4,uk (4),ko (4),42,0.09523809523809523
20,20_bridegroom bride_bride_wedding_wedding feast,9,uk (4),nl (7),100,0.09
27,27_parting_maiden_fair maiden_wreath,1,ko (1),cs (1),14,0.07142857142857142
19,19_lullaby lullaby_lullaby_lullaby baby_baby sleeps,1,uk (1),ko (1),47,0.02127659574468085
