component,explained_variance_ratio,cumulative_variance
1,0.016047437,0.016047437
2,0.011112068,0.027159505
3,0.010013542,0.037173048
4,0.009667221,0.04684027
5,0.00927672,0.05611699
6,0.0082886405,0.064405635
7,0.008172326,0.07257796
8,0.008072366,0.08065033
9,0.007900034,0.08855037
10,0.0078096366,0.096360005
11,0.007755457,0.104115464
12,0.0075591113,0.11167458
13,0.007286147,0.11896072
14,0.007093272,0.12605399
15,0.0069019385,0.13295592
16,0.006757777,0.1397137
17,0.006603738,0.14631744
18,0.006417478,0.15273492
19,0.0062975627,0.15903248
20,0.0061756917,0.16520818
21,0.0059280843,0.17113626
22,0.0058059385,0.1769422
23,0.0056773787,0.18261957
24,0.005662502,0.18828207
25,0.005592865,0.19387494
26,0.005425325,0.19930026
27,0.005148377,0.20444864
28,0.0050504724,0.2094991
29,0.0049883346,0.21448743
30,0.0049349205,0.21942236
31,0.0048768143,0.22429916
32,0.004778526,0.22907768
33,0.004746971,0.23382466
34,0.0046871635,0.23851182
35,0.0046324716,0.24314429
36,0.0045911153,0.24773541
37,0.0045582154,0.25229362
38,0.004410523,0.25670415
39,0.004368452,0.2610726
40,0.004306395,0.265379
41,0.0042487555,0.26962778
42,0.004216951,0.27384472
43,0.004198774,0.27804348
44,0.004154363,0.28219783
45,0.004085597,0.28628343
46,0.004015173,0.2902986
47,0.003946043,0.29424465
48,0.0038902736,0.29813492
49,0.003847204,0.30198213
50,0.0038193336,0.30580148
51,0.0037803927,0.30958188
52,0.003725106,0.313307
53,0.0036933073,0.3170003
54,0.0036772217,0.32067752
55,0.0036355963,0.3243131
56,0.0035702162,0.32788333
57,0.0035341189,0.33141744
58,0.0035261232,0.33494356
59,0.0035044607,0.33844802
60,0.0034444602,0.34189248
61,0.003390828,0.3452833
62,0.0033173938,0.3486007
63,0.0032546034,0.35185528
64,0.0032274881,0.35508278
65,0.0031951456,0.35827792
66,0.0031722968,0.36145023
67,0.0031417124,0.36459193
68,0.0031123038,0.36770424
69,0.00308934,0.37079358
70,0.003064259,0.37385783
71,0.0030572272,0.37691507
72,0.003030247,0.3799453
73,0.003027519,0.38297284
74,0.0029769093,0.38594973
75,0.002931858,0.3888816
76,0.0029231121,0.3918047
77,0.0029023993,0.39470708
78,0.0028847181,0.3975918
79,0.002864945,0.40045676
80,0.0028347003,0.40329146
81,0.0028140529,0.40610552
82,0.0028022435,0.40890777
83,0.0027939477,0.4117017
84,0.002758872,0.41446057
85,0.0027165285,0.4171771
86,0.0026989952,0.4198761
87,0.0026832856,0.42255938
88,0.0026617264,0.42522112
89,0.002637301,0.4278584
90,0.0026201394,0.43047854
91,0.0026020505,0.43308058
92,0.0025593233,0.43563992
93,0.0025357907,0.4381757
94,0.0025055958,0.4406813
95,0.00247249,0.4431538
96,0.002459761,0.44561356
97,0.0024513442,0.4480649
98,0.0024419136,0.4505068
99,0.0024225963,0.4529294
100,0.0024037717,0.45533317
101,0.0023850347,0.4577182
102,0.0023675456,0.46008575
103,0.0023452733,0.462431
104,0.0023278394,0.46475884
105,0.002310111,0.46706894
106,0.0022947958,0.46936375
107,0.0022851836,0.47164893
108,0.0022524334,0.47390136
