id,assigned_topic,topic_label,top_topic_prob
HPod_1,0,0_sorrow_loved_wreath_orphan,0.0
HPod_4,51,51_dance dance_dance_danced_dances,1.0
HPod_9,28,28_rooster_little bird_chickens_crow,0.60384226
HPod_11,31,31_parish_peasants_young ladies_young gentlemen,1.0
HPod_12,44,44_farm_harvests_harvest_wreath,1.0
HPod_13,0,0_sorrow_loved_wreath_orphan,0.0
HPod_15,31,31_parish_peasants_young ladies_young gentlemen,0.7699336
HPod_16,0,0_sorrow_loved_wreath_orphan,0.0
HPod_18,0,0_sorrow_loved_wreath_orphan,0.0
HPod_19,0,0_sorrow_loved_wreath_orphan,0.0
HPod_21,11,11_chestnuts_chestnut_boiled_boil,0.4592183
HPod_22,48,48_gave mother_mother mother_live mother_gave birth,0.7512817
HPod_23,33,33_street_streets_corner_knife,0.85496813
HPod_24,40,40_trees_spruces_birch forest_birches,0.2427116
HPod_27,34,34_plow_plow field_swords_cranes,0.37781957
HPod_28,0,0_sorrow_loved_wreath_orphan,0.0
HPod_30,25,25_child sleep_night little_slumber_sleep comes,0.7004128
HPod_31,46,46_mistress little_grandmother_old grandmother_little mistress,0.5121749
HPod_32,52,52_titmouse_sparrow_cabbage_tit,0.4069193
HPod_33,44,44_farm_harvests_harvest_wreath,0.6668196
HPod_34,48,48_gave mother_mother mother_live mother_gave birth,0.39137223
HPod_37,0,0_sorrow_loved_wreath_orphan,0.0
HPod_41,0,0_sorrow_loved_wreath_orphan,0.0
HPod_42,3,3_lullaby lullaby_lullaby_baby sleep_sleep baby,0.51379746
HPod_43,45,45_eun_servants_piet_dip,0.5906259
HPod_44,47,47_servant_child goes_maid_little child,0.7528483
HPod_45,47,47_servant_child goes_maid_little child,1.0
HPod_46,0,0_sorrow_loved_wreath_orphan,0.0
HPod_48,14,14_beers_drink beer_beer_drinks,0.7408078
HPod_49,0,0_sorrow_loved_wreath_orphan,0.0
HPod_50,47,47_servant_child goes_maid_little child,1.0
HPod_51,25,25_child sleep_night little_slumber_sleep comes,0.64937884
HPod_52,0,0_sorrow_loved_wreath_orphan,0.0
HPod_53,0,0_sorrow_loved_wreath_orphan,0.0
HPod_54,8,8_brother law_sister law_cousin_older brother,1.0
HPod_55,0,0_sorrow_loved_wreath_orphan,0.0
HPod_56,50,50_cat_paw_cats_little dog,0.3895386
HPod_57,0,0_sorrow_loved_wreath_orphan,0.0
HPod_58,7,7_wander_walk_stepping_climb,1.0
HPod_59,53,53_stork_frogs_frog_reeds,1.0
HPod_60,11,11_chestnuts_chestnut_boiled_boil,0.6792921
HPod_65,52,52_titmouse_sparrow_cabbage_tit,0.64391154
HPod_67,0,0_sorrow_loved_wreath_orphan,0.0
HPod_70,42,42_cuckoo bird_cuckoo_cuckoo calls_little bird,0.96557117
HPod_71,46,46_mistress little_grandmother_old grandmother_little mistress,0.5359108
HPod_72,0,0_sorrow_loved_wreath_orphan,0.0
HPod_75,51,51_dance dance_dance_danced_dances,1.0
HPod_77,51,51_dance dance_dance_danced_dances,0.84118474
HPod_78,0,0_sorrow_loved_wreath_orphan,0.0
HPod_82,44,44_farm_harvests_harvest_wreath,0.6635242
HPod_84,0,0_sorrow_loved_wreath_orphan,0.0
HPod_85,18,18_spinning spinning_wheel spinning_spinning wheel_spinning round,0.6344015
HPod_86,25,25_child sleep_night little_slumber_sleep comes,1.0
HPod_87,0,0_sorrow_loved_wreath_orphan,0.0
HPod_88,50,50_cat_paw_cats_little dog,1.0
HPod_89,0,0_sorrow_loved_wreath_orphan,0.0
HPod_94,7,7_wander_walk_stepping_climb,0.7412697
HPod_95,47,47_servant_child goes_maid_little child,1.0
HPod_97,0,0_sorrow_loved_wreath_orphan,0.0
HPod_98,31,31_parish_peasants_young ladies_young gentlemen,0.536858
HPod_99,0,0_sorrow_loved_wreath_orphan,0.0
HPod_100,25,25_child sleep_night little_slumber_sleep comes,1.0
HPod_101,0,0_sorrow_loved_wreath_orphan,0.0
HPod_102,48,48_gave mother_mother mother_live mother_gave birth,1.0
HPod_107,44,44_farm_harvests_harvest_wreath,1.0
HPod_108,7,7_wander_walk_stepping_climb,1.0
HPod_110,25,25_child sleep_night little_slumber_sleep comes,0.6806894
HPod_112,51,51_dance dance_dance_danced_dances,0.50883824
HPod_115,0,0_sorrow_loved_wreath_orphan,0.0
HPod_116,7,7_wander_walk_stepping_climb,0.50221974
HPod_118,53,53_stork_frogs_frog_reeds,1.0
HPod_122,40,40_trees_spruces_birch forest_birches,1.0
HPod_123,0,0_sorrow_loved_wreath_orphan,0.0
HPod_125,52,52_titmouse_sparrow_cabbage_tit,0.35185197
HPod_126,8,8_brother law_sister law_cousin_older brother,1.0
HPod_127,17,17_ends_little field_little wind_pasture,1.0
HPod_128,0,0_sorrow_loved_wreath_orphan,0.0
HPod_129,51,51_dance dance_dance_danced_dances,0.47194397
HPod_130,7,7_wander_walk_stepping_climb,0.68375164
HPod_131,21,21_hay_midsummer_dear grandmother_little maiden,0.51691407
HPod_132,0,0_sorrow_loved_wreath_orphan,0.0
HPod_133,18,18_spinning spinning_wheel spinning_spinning wheel_spinning round,0.6367613
HPod_134,34,34_plow_plow field_swords_cranes,1.0
HPod_135,34,34_plow_plow field_swords_cranes,0.50095755
HPod_136,40,40_trees_spruces_birch forest_birches,0.561424
HPod_141,42,42_cuckoo bird_cuckoo_cuckoo calls_little bird,1.0
HPod_143,21,21_hay_midsummer_dear grandmother_little maiden,0.32951647
HPod_148,35,35_dung_cow dung_forest dry_reeds,1.0
HPod_149,3,3_lullaby lullaby_lullaby_baby sleep_sleep baby,0.63853925
HPod_150,0,0_sorrow_loved_wreath_orphan,0.0
HPod_151,51,51_dance dance_dance_danced_dances,0.7733616
HPod_155,52,52_titmouse_sparrow_cabbage_tit,0.52124035
HPod_156,40,40_trees_spruces_birch forest_birches,1.0
HPod_159,48,48_gave mother_mother mother_live mother_gave birth,0.6011511
HPod_160,44,44_farm_harvests_harvest_wreath,0.7511912
HPod_162,42,42_cuckoo bird_cuckoo_cuckoo calls_little bird,1.0
HPod_163,51,51_dance dance_dance_danced_dances,1.0
HPod_166,40,40_trees_spruces_birch forest_birches,0.6061061
HPod_167,18,18_spinning spinning_wheel spinning_spinning wheel_spinning round,0.516012
HPod_168,42,42_cuckoo bird_cuckoo_cuckoo calls_little bird,0.53355426
HPod_169,0,0_sorrow_loved_wreath_orphan,0.0
HPod_170,0,0_sorrow_loved_wreath_orphan,0.0
HPod_171,28,28_rooster_little bird_chickens_crow,1.0
HPod_174,40,40_trees_spruces_birch forest_birches,0.54125434
HPod_176,40,40_trees_spruces_birch forest_birches,0.5115286
HPod_177,52,52_titmouse_sparrow_cabbage_tit,0.30212995
HPod_183,48,48_gave mother_mother mother_live mother_gave birth,0.262939
HPod_185,51,51_dance dance_dance_danced_dances,0.78907335
HPod_187,28,28_rooster_little bird_chickens_crow,1.0
HPod_188,52,52_titmouse_sparrow_cabbage_tit,0.2576603
HPod_189,35,35_dung_cow dung_forest dry_reeds,0.57664156
HPod_190,0,0_sorrow_loved_wreath_orphan,0.0
HPod_191,3,3_lullaby lullaby_lullaby_baby sleep_sleep baby,1.0
HPod_192,7,7_wander_walk_stepping_climb,1.0
HPod_194,0,0_sorrow_loved_wreath_orphan,0.0
HPod_195,21,21_hay_midsummer_dear grandmother_little maiden,1.0
HPod_196,40,40_trees_spruces_birch forest_birches,0.54125434
HPod_197,53,53_stork_frogs_frog_reeds,0.8066881
HPod_199,53,53_stork_frogs_frog_reeds,0.33445036
HPod_203,26,26_catch fish_fishing_fish_fish caught,0.29713854
HPod_204,45,45_eun_servants_piet_dip,0.66923064
HPod_205,3,3_lullaby lullaby_lullaby_baby sleep_sleep baby,0.6021902
HPod_206,37,37_gyeongsang province_gyeongsang_hwanghae province_cheongsan,0.7962901
HPod_208,52,52_titmouse_sparrow_cabbage_tit,0.5332575
HPod_209,21,21_hay_midsummer_dear grandmother_little maiden,1.0
