id,assigned_topic,topic_label,top_topic_prob
e000076720019,9,9_wedding_crows_crow_married,0.21289043
e000077690016,5,5_matchmaker_vodka_melody_wedding,0.16689709
e000078640008,16,16_wolf_bear_anne_leg,0.2341435
e000080410027,2,2_beer_beer drink_drank_eating,0.3901258
e000178260013,16,16_wolf_bear_anne_leg,0.21831726
e000536610000,0,0_servant_cat_wreath_horse,0.0
e000595320022,16,16_wolf_bear_anne_leg,0.2963682
e000595340023,16,16_wolf_bear_anne_leg,0.36115235
e000598870000,16,16_wolf_bear_anne_leg,0.35783842
e000683680005,6,6_sparrow_cabbage_pea_chirp,0.46613085
ea00009830014,17,17_crooked_tavern_trembles_straight,0.17849705
ea00009850016,4,4_servants_thousand_soul_book,0.6724816
eks0100240000,16,16_wolf_bear_anne_leg,0.34147426
era200101100001,11,11_apples_tree_sisters_wine,0.35225806
era200101140006,8,8_june_march_saint_day,1.0
era200101370001,16,16_wolf_bear_anne_leg,0.33160314
era200601230001,16,16_wolf_bear_anne_leg,0.32508978
era200703640019,14,14_herd_dog_tail_turning,1.0
era200703650021,16,16_wolf_bear_anne_leg,0.3445927
era200703750047,0,0_servant_cat_wreath_horse,0.0
era201107500009,6,6_sparrow_cabbage_pea_chirp,0.33257163
era201400340008,6,6_sparrow_cabbage_pea_chirp,0.32088724
era201400450006,4,4_servants_thousand_soul_book,0.5538883
era201401710006,16,16_wolf_bear_anne_leg,0.29970384
era201402110004,16,16_wolf_bear_anne_leg,0.31055665
era201402730010,14,14_herd_dog_tail_turning,0.4878641
era201708700000,6,6_sparrow_cabbage_pea_chirp,0.80904204
era202400960005,16,16_wolf_bear_anne_leg,0.36777422
era202403130031,6,6_sparrow_cabbage_pea_chirp,0.3286382
era202403280055,0,0_servant_cat_wreath_horse,0.0
era202404730001,6,6_sparrow_cabbage_pea_chirp,0.3253456
era202404840012,14,14_herd_dog_tail_turning,0.39454737
era202405030001,6,6_sparrow_cabbage_pea_chirp,0.4234071
era202405050003,14,14_herd_dog_tail_turning,0.38052762
era202405410001,16,16_wolf_bear_anne_leg,0.41284984
era202405420003,16,16_wolf_bear_anne_leg,0.2700876
era202500360003,16,16_wolf_bear_anne_leg,0.27727383
era202502010005,14,14_herd_dog_tail_turning,0.35254303
era203102410002,16,16_wolf_bear_anne_leg,0.4935696
era203500180003,16,16_wolf_bear_anne_leg,0.23255241
era204101470006,7,7_legs_calf_reed_nest,0.18115652
era204104630003,4,4_servants_thousand_soul_book,0.3170015
era207100110013,6,6_sparrow_cabbage_pea_chirp,1.0
era207100190006,14,14_herd_dog_tail_turning,0.8210633
era207100210010,6,6_sparrow_cabbage_pea_chirp,0.72479033
era207100230006,14,14_herd_dog_tail_turning,0.9661391
era207100250013,18,18_hats_hat_cap_hay,0.21877122
era207100250015,6,6_sparrow_cabbage_pea_chirp,1.0
era207100350007,14,14_herd_dog_tail_turning,0.9342017
era207100370011,6,6_sparrow_cabbage_pea_chirp,0.8085179
era207100490009,14,14_herd_dog_tail_turning,0.9842111
era207100510016,6,6_sparrow_cabbage_pea_chirp,0.75151587
era207100650012,6,6_sparrow_cabbage_pea_chirp,0.7132135
era207100890013,6,6_sparrow_cabbage_pea_chirp,0.62757885
era207101030022,6,6_sparrow_cabbage_pea_chirp,0.599691
era207101050008,6,6_sparrow_cabbage_pea_chirp,0.86017275
era207101070015,6,6_sparrow_cabbage_pea_chirp,0.75815207
era207101110009,14,14_herd_dog_tail_turning,0.9294291
era207101130016,6,6_sparrow_cabbage_pea_chirp,1.0
era207101130020,2,2_beer_beer drink_drank_eating,1.0
era207101250007,14,14_herd_dog_tail_turning,0.628924
era207101250010,6,6_sparrow_cabbage_pea_chirp,0.8367343
era207101290023,6,6_sparrow_cabbage_pea_chirp,1.0
era207101310005,14,14_herd_dog_tail_turning,0.9339956
era207101450007,14,14_herd_dog_tail_turning,0.7310613
era207101450010,5,5_matchmaker_vodka_melody_wedding,1.0
era207101690005,6,6_sparrow_cabbage_pea_chirp,0.69289726
era207101770017,2,2_beer_beer drink_drank_eating,1.0
era207101790005,14,14_herd_dog_tail_turning,0.35311443
era207101790006,6,6_sparrow_cabbage_pea_chirp,0.7695959
era207101870014,15,15_bow_fall_sail_singing,0.40955576
era207101950005,6,6_sparrow_cabbage_pea_chirp,0.7333421
era207102030007,14,14_herd_dog_tail_turning,0.27570397
era207102050008,6,6_sparrow_cabbage_pea_chirp,0.87476206
era207102090008,14,14_herd_dog_tail_turning,0.9154041
era207102090010,6,6_sparrow_cabbage_pea_chirp,0.7040281
era207102220012,6,6_sparrow_cabbage_pea_chirp,0.73656446
era207102250000,7,7_legs_calf_reed_nest,0.3191108
era207102290006,6,6_sparrow_cabbage_pea_chirp,1.0
era207102310004,6,6_sparrow_cabbage_pea_chirp,1.0
era207102390007,14,14_herd_dog_tail_turning,0.9394792
era207102470012,6,6_sparrow_cabbage_pea_chirp,0.6559033
era207102510004,14,14_herd_dog_tail_turning,0.87732124
era207102530011,6,6_sparrow_cabbage_pea_chirp,0.8709027
era207102650009,14,14_herd_dog_tail_turning,0.7716708
era207102770003,14,14_herd_dog_tail_turning,0.85206455
era207102790008,0,0_servant_cat_wreath_horse,0.0
era207102790009,6,6_sparrow_cabbage_pea_chirp,0.78626573
era207102870011,6,6_sparrow_cabbage_pea_chirp,0.5700082
era207103010008,14,14_herd_dog_tail_turning,0.7291954
era207103110016,6,6_sparrow_cabbage_pea_chirp,0.7038428
era207103210010,6,6_sparrow_cabbage_pea_chirp,0.87353295
era207103270014,6,6_sparrow_cabbage_pea_chirp,0.8410598
era208305750007,7,7_legs_calf_reed_nest,0.6977724
era208401570016,16,16_wolf_bear_anne_leg,0.291869
era208403920023,14,14_herd_dog_tail_turning,0.3254625
era212200320010,6,6_sparrow_cabbage_pea_chirp,0.43399516
era212203650061,0,0_servant_cat_wreath_horse,0.0
era212203670064,16,16_wolf_bear_anne_leg,0.34326735
era213100110002,16,16_wolf_bear_anne_leg,0.43523896
era213100110003,14,14_herd_dog_tail_turning,0.40913692
era213100120004,15,15_bow_fall_sail_singing,0.4504498
era213100140007,16,16_wolf_bear_anne_leg,0.30991355
era217201370004,11,11_apples_tree_sisters_wine,0.64710057
era217201370007,14,14_herd_dog_tail_turning,0.5741754
era217201390006,16,16_wolf_bear_anne_leg,0.33949456
era217201590001,4,4_servants_thousand_soul_book,1.0
era217201720001,7,7_legs_calf_reed_nest,0.44082335
era217201850003,6,6_sparrow_cabbage_pea_chirp,0.7934493
