id,assigned_topic,topic_label,top_topic_prob
e000076720019,7,7_tended herd_servant_plow_shepherd,0.8951243
e000077690016,7,7_tended herd_servant_plow_shepherd,0.88806313
e000078640008,0,0_spirit_flowers_maiden_wind,0.0
e000080410027,0,0_spirit_flowers_maiden_wind,0.0
e000178260013,7,7_tended herd_servant_plow_shepherd,0.47478604
e000536610000,0,0_spirit_flowers_maiden_wind,0.0
e000595320022,7,7_tended herd_servant_plow_shepherd,0.8128047
e000595340023,6,6_village_skirt_autumn_bread,0.5493167
e000598870000,7,7_tended herd_servant_plow_shepherd,1.0
e000683680005,7,7_tended herd_servant_plow_shepherd,0.76459527
ea00009830014,7,7_tended herd_servant_plow_shepherd,0.4863533
ea00009850016,3,3_servant_servants_piet_dip,1.0
eks0100240000,7,7_tended herd_servant_plow_shepherd,0.69443345
era200101100001,0,0_spirit_flowers_maiden_wind,0.0
era200101140006,0,0_spirit_flowers_maiden_wind,0.0
era200101370001,6,6_village_skirt_autumn_bread,1.0
era200601230001,7,7_tended herd_servant_plow_shepherd,1.0
era200703640019,0,0_spirit_flowers_maiden_wind,0.0
era200703650021,7,7_tended herd_servant_plow_shepherd,1.0
era200703750047,0,0_spirit_flowers_maiden_wind,0.0
era201107500009,8,8_bride_wedding_maidens_marriage,0.49034816
era201400340008,7,7_tended herd_servant_plow_shepherd,1.0
era201400450006,6,6_village_skirt_autumn_bread,1.0
era201401710006,7,7_tended herd_servant_plow_shepherd,1.0
era201402110004,6,6_village_skirt_autumn_bread,1.0
era201402730010,0,0_spirit_flowers_maiden_wind,0.0
era201708700000,0,0_spirit_flowers_maiden_wind,0.0
era202400960005,7,7_tended herd_servant_plow_shepherd,1.0
era202403130031,4,4_little birds_horses_horse_poor parish,1.0
era202403280055,3,3_servant_servants_piet_dip,1.0
era202404730001,7,7_tended herd_servant_plow_shepherd,0.8669405
era202404840012,0,0_spirit_flowers_maiden_wind,0.0
era202405030001,7,7_tended herd_servant_plow_shepherd,1.0
era202405050003,0,0_spirit_flowers_maiden_wind,0.0
era202405410001,0,0_spirit_flowers_maiden_wind,0.0
era202405420003,6,6_village_skirt_autumn_bread,0.6021357
era202500360003,0,0_spirit_flowers_maiden_wind,0.0
era202502010005,0,0_spirit_flowers_maiden_wind,0.0
era203102410002,0,0_spirit_flowers_maiden_wind,0.0
era203500180003,7,7_tended herd_servant_plow_shepherd,1.0
era204101470006,6,6_village_skirt_autumn_bread,0.5550402
era204104630003,7,7_tended herd_servant_plow_shepherd,0.64782834
era207100110013,0,0_spirit_flowers_maiden_wind,0.0
era207100190006,0,0_spirit_flowers_maiden_wind,0.0
era207100210010,0,0_spirit_flowers_maiden_wind,0.0
era207100230006,0,0_spirit_flowers_maiden_wind,0.0
era207100250013,0,0_spirit_flowers_maiden_wind,0.0
era207100250015,0,0_spirit_flowers_maiden_wind,0.0
era207100350007,0,0_spirit_flowers_maiden_wind,0.0
era207100370011,0,0_spirit_flowers_maiden_wind,0.0
era207100490009,0,0_spirit_flowers_maiden_wind,0.0
era207100510016,0,0_spirit_flowers_maiden_wind,0.0
era207100650012,0,0_spirit_flowers_maiden_wind,0.0
era207100890013,0,0_spirit_flowers_maiden_wind,0.0
era207101030022,0,0_spirit_flowers_maiden_wind,0.0
era207101050008,0,0_spirit_flowers_maiden_wind,0.0
era207101070015,0,0_spirit_flowers_maiden_wind,0.0
era207101110009,0,0_spirit_flowers_maiden_wind,0.0
era207101130016,0,0_spirit_flowers_maiden_wind,0.0
era207101130020,0,0_spirit_flowers_maiden_wind,0.0
era207101250007,0,0_spirit_flowers_maiden_wind,0.0
era207101250010,0,0_spirit_flowers_maiden_wind,0.0
era207101290023,0,0_spirit_flowers_maiden_wind,0.0
era207101310005,0,0_spirit_flowers_maiden_wind,0.0
era207101450007,0,0_spirit_flowers_maiden_wind,0.0
era207101450010,0,0_spirit_flowers_maiden_wind,0.0
era207101690005,0,0_spirit_flowers_maiden_wind,0.0
era207101770017,0,0_spirit_flowers_maiden_wind,0.0
era207101790005,6,6_village_skirt_autumn_bread,0.7889156
era207101790006,0,0_spirit_flowers_maiden_wind,0.0
era207101870014,8,8_bride_wedding_maidens_marriage,1.0
era207101950005,0,0_spirit_flowers_maiden_wind,0.0
era207102030007,6,6_village_skirt_autumn_bread,1.0
era207102050008,0,0_spirit_flowers_maiden_wind,0.0
era207102090008,0,0_spirit_flowers_maiden_wind,0.0
era207102090010,0,0_spirit_flowers_maiden_wind,0.0
era207102220012,0,0_spirit_flowers_maiden_wind,0.0
era207102250000,7,7_tended herd_servant_plow_shepherd,0.5643744
era207102290006,0,0_spirit_flowers_maiden_wind,0.0
era207102310004,0,0_spirit_flowers_maiden_wind,0.0
era207102390007,0,0_spirit_flowers_maiden_wind,0.0
era207102470012,0,0_spirit_flowers_maiden_wind,0.0
era207102510004,0,0_spirit_flowers_maiden_wind,0.0
era207102530011,0,0_spirit_flowers_maiden_wind,0.0
era207102650009,0,0_spirit_flowers_maiden_wind,0.0
era207102770003,6,6_village_skirt_autumn_bread,1.0
