id,assigned_topic,topic_label,top_topic_prob
HPod_1,6,6_crying_scarf_money_daughter,0.94351655
HPod_4,0,0_beloved_maiden_wreath_song,0.70754975
HPod_9,8,8_coat_dress_wear_peasant,0.48366842
HPod_11,8,8_coat_dress_wear_peasant,0.20508662
HPod_12,1,1_farmer_plowing_sheep_peasant,0.218414
HPod_13,3,3_beer_drink_drank_praise,0.39907256
HPod_15,7,7_rye_barley_saint_wheat,0.31868207
HPod_16,6,6_crying_scarf_money_daughter,0.8216773
HPod_18,0,0_beloved_maiden_wreath_song,0.0
HPod_19,8,8_coat_dress_wear_peasant,0.77622145
HPod_21,2,2_maiden_marry_old woman_woman,0.23880187
HPod_22,7,7_rye_barley_saint_wheat,0.21275042
HPod_23,6,6_crying_scarf_money_daughter,0.50772053
HPod_24,2,2_maiden_marry_old woman_woman,0.4197449
HPod_27,6,6_crying_scarf_money_daughter,0.23742823
HPod_28,0,0_beloved_maiden_wreath_song,0.0
HPod_30,8,8_coat_dress_wear_peasant,0.7768977
HPod_31,5,5_shoes_feet_wear_trousers,0.36407283
HPod_32,6,6_crying_scarf_money_daughter,0.43056938
HPod_33,7,7_rye_barley_saint_wheat,0.26057345
HPod_34,0,0_beloved_maiden_wreath_song,0.45070672
HPod_37,1,1_farmer_plowing_sheep_peasant,0.5467217
HPod_41,0,0_beloved_maiden_wreath_song,0.0
HPod_42,4,4_sunday_saint_day_spring,0.33582756
HPod_43,2,2_maiden_marry_old woman_woman,0.30227312
HPod_44,8,8_coat_dress_wear_peasant,0.55834484
HPod_45,8,8_coat_dress_wear_peasant,0.4190026
HPod_46,8,8_coat_dress_wear_peasant,0.44976422
HPod_48,3,3_beer_drink_drank_praise,0.42082712
HPod_49,3,3_beer_drink_drank_praise,0.5306083
HPod_50,7,7_rye_barley_saint_wheat,0.4558742
HPod_51,6,6_crying_scarf_money_daughter,0.37338328
HPod_52,6,6_crying_scarf_money_daughter,0.27843967
HPod_53,0,0_beloved_maiden_wreath_song,0.62322605
HPod_54,8,8_coat_dress_wear_peasant,0.33071736
HPod_55,0,0_beloved_maiden_wreath_song,0.3806235
HPod_56,0,0_beloved_maiden_wreath_song,0.26441774
HPod_57,0,0_beloved_maiden_wreath_song,0.0
HPod_58,6,6_crying_scarf_money_daughter,0.39864293
HPod_59,6,6_crying_scarf_money_daughter,0.65661395
HPod_60,2,2_maiden_marry_old woman_woman,0.21845202
HPod_65,8,8_coat_dress_wear_peasant,0.37829214
HPod_67,0,0_beloved_maiden_wreath_song,0.4632231
HPod_70,4,4_sunday_saint_day_spring,0.290502
HPod_71,7,7_rye_barley_saint_wheat,0.449131
HPod_72,1,1_farmer_plowing_sheep_peasant,0.49920094
HPod_75,8,8_coat_dress_wear_peasant,0.44536173
HPod_77,6,6_crying_scarf_money_daughter,0.28303215
HPod_78,4,4_sunday_saint_day_spring,0.29591036
HPod_82,2,2_maiden_marry_old woman_woman,0.41566506
HPod_84,0,0_beloved_maiden_wreath_song,0.0
HPod_85,8,8_coat_dress_wear_peasant,0.45753625
HPod_86,2,2_maiden_marry_old woman_woman,0.37297156
HPod_87,1,1_farmer_plowing_sheep_peasant,1.0
HPod_88,2,2_maiden_marry_old woman_woman,1.0
HPod_89,6,6_crying_scarf_money_daughter,0.5513123
HPod_94,7,7_rye_barley_saint_wheat,0.38326517
HPod_95,0,0_beloved_maiden_wreath_song,0.0
HPod_97,0,0_beloved_maiden_wreath_song,0.0
HPod_98,4,4_sunday_saint_day_spring,0.31442878
HPod_99,8,8_coat_dress_wear_peasant,0.6590922
HPod_100,0,0_beloved_maiden_wreath_song,0.0
HPod_101,8,8_coat_dress_wear_peasant,0.45451218
HPod_102,8,8_coat_dress_wear_peasant,0.3533279
HPod_107,0,0_beloved_maiden_wreath_song,0.2673816
HPod_108,6,6_crying_scarf_money_daughter,0.32030743
HPod_110,6,6_crying_scarf_money_daughter,0.28618395
HPod_112,7,7_rye_barley_saint_wheat,0.6157251
HPod_115,4,4_sunday_saint_day_spring,1.0
HPod_116,6,6_crying_scarf_money_daughter,0.3881501
HPod_118,0,0_beloved_maiden_wreath_song,0.18232399
HPod_122,3,3_beer_drink_drank_praise,0.57494056
HPod_123,6,6_crying_scarf_money_daughter,1.0
HPod_125,5,5_shoes_feet_wear_trousers,0.2984906
HPod_126,7,7_rye_barley_saint_wheat,0.4641696
HPod_127,3,3_beer_drink_drank_praise,0.599837
HPod_128,0,0_beloved_maiden_wreath_song,0.0
HPod_129,6,6_crying_scarf_money_daughter,0.5545032
HPod_130,0,0_beloved_maiden_wreath_song,0.5291352
HPod_131,8,8_coat_dress_wear_peasant,0.2282796
HPod_132,8,8_coat_dress_wear_peasant,0.56992793
HPod_133,0,0_beloved_maiden_wreath_song,0.3252715
HPod_134,6,6_crying_scarf_money_daughter,0.73651004
HPod_135,8,8_coat_dress_wear_peasant,0.56067467
HPod_136,2,2_maiden_marry_old woman_woman,0.2422826
HPod_141,2,2_maiden_marry_old woman_woman,0.42570764
HPod_143,2,2_maiden_marry_old woman_woman,0.38412756
HPod_148,6,6_crying_scarf_money_daughter,0.36795714
HPod_149,8,8_coat_dress_wear_peasant,0.67416483
HPod_150,4,4_sunday_saint_day_spring,0.65593594
HPod_151,8,8_coat_dress_wear_peasant,0.27141285
HPod_155,4,4_sunday_saint_day_spring,0.32062972
HPod_156,0,0_beloved_maiden_wreath_song,0.5286921
HPod_159,6,6_crying_scarf_money_daughter,0.50204676
HPod_160,2,2_maiden_marry_old woman_woman,0.385546
HPod_162,7,7_rye_barley_saint_wheat,0.4300709
HPod_163,7,7_rye_barley_saint_wheat,0.3813062
HPod_166,6,6_crying_scarf_money_daughter,0.26749566
HPod_167,0,0_beloved_maiden_wreath_song,0.0
HPod_168,0,0_beloved_maiden_wreath_song,0.5336688
HPod_169,0,0_beloved_maiden_wreath_song,0.50115997
HPod_170,2,2_maiden_marry_old woman_woman,0.30798
HPod_171,8,8_coat_dress_wear_peasant,0.41711083
HPod_174,2,2_maiden_marry_old woman_woman,0.36062822
