id,assigned_topic,topic_label,top_topic_prob
HPod_1,16,16_crying_weep_scarf_skirt,0.6170622
HPod_4,12,12_hunters_farmer_forest_grazing,0.3379105
HPod_9,13,13_marry_married_wife_husband,0.1913918
HPod_11,25,25_peasant_barley_bread_gentlemen,0.3361212
HPod_12,29,29_peasant_carrying_slippers_jičín,0.13351221
HPod_13,22,22_handsome_love dear_jeníček_sweetheart,0.41550758
HPod_15,29,29_peasant_carrying_slippers_jičín,0.2859473
HPod_16,29,29_peasant_carrying_slippers_jičín,0.5131966
HPod_18,4,4_sung_prague_czech_libeň,0.5305877
HPod_19,11,11_bagpipes_musicians_violin_music,0.3465991
HPod_21,15,15_ančička_love dear_want love_golden,0.12405352
HPod_22,25,25_peasant_barley_bread_gentlemen,0.2523213
HPod_23,25,25_peasant_barley_bread_gentlemen,0.7371888
HPod_24,27,27_lend_promised_shall_service,0.25597683
HPod_27,13,13_marry_married_wife_husband,0.19628721
HPod_28,0,0_sorrow_sorrowful_loved_beloved,0.0
HPod_30,20,20_farmer_grazing_chasing_little horses,0.18265435
HPod_31,22,22_handsome_love dear_jeníček_sweetheart,0.2220072
HPod_32,14,14_garden_little garden_pear tree_flower,0.38893613
HPod_33,14,14_garden_little garden_pear tree_flower,0.1664744
HPod_34,22,22_handsome_love dear_jeníček_sweetheart,0.21017304
HPod_37,9,9_black horses_horses_little horses_horse,0.44117153
HPod_41,22,22_handsome_love dear_jeníček_sweetheart,0.38288724
HPod_42,27,27_lend_promised_shall_service,0.20282155
HPod_43,12,12_hunters_farmer_forest_grazing,0.18872339
HPod_44,9,9_black horses_horses_little horses_horse,0.20891473
HPod_45,21,21_priest_altar_rectory_church,0.26746976
HPod_46,28,28_coat_dress_dressed_jacket,0.26460767
HPod_48,2,2_drink_beer_drank_wine,0.24164326
HPod_49,4,4_sung_prague_czech_libeň,0.6241564
HPod_50,24,24_rye_rye little_wheat_barley,0.2849026
HPod_51,5,5_little dove_little flower_little rose_flowers,0.25138214
HPod_52,29,29_peasant_carrying_slippers_jičín,0.16302413
HPod_53,19,19_farmer_farm_sheep_plow,0.48072433
HPod_54,22,22_handsome_love dear_jeníček_sweetheart,0.45676225
HPod_55,17,17_jeníček_castle_nanynka_lords,0.6218064
HPod_56,27,27_lend_promised_shall_service,0.18605053
HPod_57,8,8_maidens_maiden_beautiful maiden_golden maiden,0.74868083
HPod_58,22,22_handsome_love dear_jeníček_sweetheart,0.29728222
HPod_59,11,11_bagpipes_musicians_violin_music,0.476793
HPod_60,14,14_garden_little garden_pear tree_flower,0.15892614
HPod_65,13,13_marry_married_wife_husband,0.23955515
HPod_67,25,25_peasant_barley_bread_gentlemen,0.35744798
HPod_70,12,12_hunters_farmer_forest_grazing,0.40952656
HPod_71,24,24_rye_rye little_wheat_barley,0.21025775
HPod_72,20,20_farmer_grazing_chasing_little horses,0.74877846
HPod_75,18,18_shoemaker_shoe_shoes_feet,0.27348846
HPod_77,12,12_hunters_farmer_forest_grazing,0.15884925
HPod_78,25,25_peasant_barley_bread_gentlemen,0.1729972
