id,assigned_topic,topic_label,top_topic_prob
e000076720019,6,6_dung_wet pine_little bird_reeds,0.32325262
e000077690016,54,54_butter_mistress little_cream_pine,0.23738886
e000078640008,6,6_dung_wet pine_little bird_reeds,0.49290136
e000080410027,1,1_hops_hop_beer_drinks,0.23171398
e000178260013,6,6_dung_wet pine_little bird_reeds,0.4778322
e000536610000,54,54_butter_mistress little_cream_pine,0.6391179
e000595320022,6,6_dung_wet pine_little bird_reeds,0.5271706
e000595340023,54,54_butter_mistress little_cream_pine,0.19860426
e000598870000,6,6_dung_wet pine_little bird_reeds,0.50082666
e000683680005,49,49_barking_goats_goat_goat went,0.19715856
ea00009830014,6,6_dung_wet pine_little bird_reeds,0.53337914
ea00009850016,46,46_twig_young maiden_maiden went_wrapped,0.867202
eks0100240000,6,6_dung_wet pine_little bird_reeds,0.41946164
era200101100001,14,14_barley field_rye field_trees_apple trees,0.35149294
era200101140006,46,46_twig_young maiden_maiden went_wrapped,0.7393599
era200101370001,6,6_dung_wet pine_little bird_reeds,0.2247636
era200601230001,6,6_dung_wet pine_little bird_reeds,0.5213376
era200703640019,49,49_barking_goats_goat_goat went,0.64845115
era200703650021,6,6_dung_wet pine_little bird_reeds,0.5260909
era200703750047,25,25_sleep_sleeping_nap_asleep,0.43667042
era201107500009,6,6_dung_wet pine_little bird_reeds,0.4870705
era201400340008,6,6_dung_wet pine_little bird_reeds,0.32226524
era201400450006,40,40_bride_maiden young_servant_dear young,0.9297535
era201401710006,6,6_dung_wet pine_little bird_reeds,0.47256634
era201402110004,6,6_dung_wet pine_little bird_reeds,0.3540461
era201402730010,59,59_wool_yarn_weaving_spun,0.46658966
era201708700000,62,62_cabbage_oat field_hop_leap,0.30176044
era202400960005,6,6_dung_wet pine_little bird_reeds,0.52644855
era202403130031,6,6_dung_wet pine_little bird_reeds,0.37257174
era202403280055,62,62_cabbage_oat field_hop_leap,0.35367212
era202404730001,6,6_dung_wet pine_little bird_reeds,0.35446808
era202404840012,28,28_piglets_pig_pigs_piglet,0.3826553
era202405030001,6,6_dung_wet pine_little bird_reeds,0.4706554
era202405050003,16,16_sheep_lamb_goat_wolf,0.4487703
era202405410001,25,25_sleep_sleeping_nap_asleep,0.65133685
era202405420003,6,6_dung_wet pine_little bird_reeds,0.40065354
era202500360003,6,6_dung_wet pine_little bird_reeds,0.41516098
era202502010005,45,45_herd_dog_tail_twisting,0.48179916
era203102410002,6,6_dung_wet pine_little bird_reeds,0.514304
era203500180003,6,6_dung_wet pine_little bird_reeds,0.43991154
era204101470006,6,6_dung_wet pine_little bird_reeds,0.5851999
era204104630003,6,6_dung_wet pine_little bird_reeds,0.56213754
era207100110013,33,33_titmouse_sparrow_cabbage_tit,0.78260416
era207100190006,45,45_herd_dog_tail_twisting,0.78313154
era207100210010,33,33_titmouse_sparrow_cabbage_tit,0.4775998
era207100230006,45,45_herd_dog_tail_twisting,0.69315606
era207100250013,17,17_sheep_sheep barn_horse_cow,0.26066518
era207100250015,33,33_titmouse_sparrow_cabbage_tit,1.0
era207100350007,45,45_herd_dog_tail_twisting,0.7608859
era207100370011,62,62_cabbage_oat field_hop_leap,0.5591582
era207100490009,45,45_herd_dog_tail_twisting,0.8153857
era207100510016,62,62_cabbage_oat field_hop_leap,0.613786
era207100650012,33,33_titmouse_sparrow_cabbage_tit,0.57081527
era207100890013,62,62_cabbage_oat field_hop_leap,0.65995383
era207101030022,62,62_cabbage_oat field_hop_leap,0.5660765
era207101050008,62,62_cabbage_oat field_hop_leap,0.81602174
era207101070015,33,33_titmouse_sparrow_cabbage_tit,0.5683761
era207101110009,45,45_herd_dog_tail_twisting,0.7932606
era207101130016,33,33_titmouse_sparrow_cabbage_tit,1.0
era207101130020,30,30_drying_dry_wet_threshing barn,0.60181886
era207101250007,16,16_sheep_lamb_goat_wolf,0.39910075
era207101250010,62,62_cabbage_oat field_hop_leap,0.55886286
era207101290023,33,33_titmouse_sparrow_cabbage_tit,1.0
era207101310005,45,45_herd_dog_tail_twisting,0.72656894
era207101450007,45,45_herd_dog_tail_twisting,0.74975365
era207101450010,54,54_butter_mistress little_cream_pine,0.60982555
era207101690005,62,62_cabbage_oat field_hop_leap,0.61376166
era207101770017,54,54_butter_mistress little_cream_pine,0.41680732
era207101790005,16,16_sheep_lamb_goat_wolf,0.3850623
era207101790006,62,62_cabbage_oat field_hop_leap,0.60816365
era207101870014,41,41_farm daughter_dear daughter_little mother_mother little,0.5002582
era207101950005,62,62_cabbage_oat field_hop_leap,0.58244103
era207102030007,16,16_sheep_lamb_goat_wolf,0.5783927
era207102050008,62,62_cabbage_oat field_hop_leap,0.5657034
era207102090008,45,45_herd_dog_tail_twisting,0.83887833
era207102090010,62,62_cabbage_oat field_hop_leap,0.6001807
era207102220012,33,33_titmouse_sparrow_cabbage_tit,0.59785616
era207102250000,6,6_dung_wet pine_little bird_reeds,0.554192
era207102290006,33,33_titmouse_sparrow_cabbage_tit,1.0
era207102310004,33,33_titmouse_sparrow_cabbage_tit,0.7438232
era207102390007,45,45_herd_dog_tail_twisting,0.5971457
era207102470012,62,62_cabbage_oat field_hop_leap,0.60345423
era207102510004,45,45_herd_dog_tail_twisting,0.77635705
era207102530011,33,33_titmouse_sparrow_cabbage_tit,0.5264567
era207102650009,45,45_herd_dog_tail_twisting,0.66665584
era207102770003,45,45_herd_dog_tail_twisting,0.822856
era207102790008,49,49_barking_goats_goat_goat went,0.34095058
era207102790009,33,33_titmouse_sparrow_cabbage_tit,0.58327407
era207102870011,33,33_titmouse_sparrow_cabbage_tit,0.516376
era207103010008,45,45_herd_dog_tail_twisting,0.7048922
era207103110016,33,33_titmouse_sparrow_cabbage_tit,0.49969783
era207103210010,33,33_titmouse_sparrow_cabbage_tit,0.48573884
era207103270014,33,33_titmouse_sparrow_cabbage_tit,0.5116601
era208305750007,41,41_farm daughter_dear daughter_little mother_mother little,0.37210962
era208401570016,6,6_dung_wet pine_little bird_reeds,0.57878363
era208403920023,49,49_barking_goats_goat_goat went,0.3036073
era212200320010,6,6_dung_wet pine_little bird_reeds,0.3646161
era212203650061,25,25_sleep_sleeping_nap_asleep,0.8974973
era212203670064,8,8_riga_necklace_king_wreath,0.9081517
era213100110002,25,25_sleep_sleeping_nap_asleep,0.37262154
era213100110003,19,19_cuckoo_cuckoo calls_little bird_nightingale,0.8242581
era213100120004,54,54_butter_mistress little_cream_pine,0.8019667
era213100140007,6,6_dung_wet pine_little bird_reeds,0.53614
era217201370004,8,8_riga_necklace_king_wreath,0.3823507
era217201370007,16,16_sheep_lamb_goat_wolf,0.3913552
era217201390006,6,6_dung_wet pine_little bird_reeds,0.38411584
era217201590001,8,8_riga_necklace_king_wreath,1.0
era217201720001,49,49_barking_goats_goat_goat went,0.3975796
era217201850003,62,62_cabbage_oat field_hop_leap,0.45425218
era217201900007,45,45_herd_dog_tail_twisting,0.82020193
era217202080001,16,16_sheep_lamb_goat_wolf,0.36987287
era217202080005,33,33_titmouse_sparrow_cabbage_tit,0.43059027
era217202180004,16,16_sheep_lamb_goat_wolf,0.29831147
era217800300081,53,53_barley_rye_wheat_pea,0.30219445
era217800310083,63,63_crooked_tavern_road_straight,1.0
era217800690049,49,49_barking_goats_goat_goat went,0.52119404
era218304970047,49,49_barking_goats_goat_goat went,0.4495758
era218304980053,16,16_sheep_lamb_goat_wolf,0.36648676
era218305020067,6,6_dung_wet pine_little bird_reeds,0.37691727
era218305060081,18,18_poor parish_parish_parish parish_noble,0.31182787
era218305080087,25,25_sleep_sleeping_nap_asleep,0.5138087
era219903910024,6,6_dung_wet pine_little bird_reeds,0.33050954
era225005460023,49,49_barking_goats_goat_goat went,0.40566427
era225905470002,6,6_dung_wet pine_little bird_reeds,0.581586
estk4000020003,6,6_dung_wet pine_little bird_reeds,0.42904606
estk4000620096,6,6_dung_wet pine_little bird_reeds,0.507062
estk4001020143,6,6_dung_wet pine_little bird_reeds,0.45065993
eys0505750007,62,62_cabbage_oat field_hop_leap,0.52507466
eys0505850064,19,19_cuckoo_cuckoo calls_little bird_nightingale,0.6234301
eys0505920001,6,6_dung_wet pine_little bird_reeds,0.41039392
eys0506240046,0,0_hay_granny_little grandmother_pasture,0.0
eys0506640101,16,16_sheep_lamb_goat_wolf,0.5215741
eys0506650102,6,6_dung_wet pine_little bird_reeds,0.33166987
eys0506820124,45,45_herd_dog_tail_twisting,0.39294952
eys0613780030,44,44_cattle_livestock_pasture_weaving,0.25469092
eys0614580143,6,6_dung_wet pine_little bird_reeds,0.5276535
eys0616020018,25,25_sleep_sleeping_nap_asleep,0.37984097
eys0616280066,14,14_barley field_rye field_trees_apple trees,0.3687937
eys0616320075,6,6_dung_wet pine_little bird_reeds,0.5378592
eys0616840135,25,25_sleep_sleeping_nap_asleep,0.5443419
eys0617060172,25,25_sleep_sleeping_nap_asleep,0.31124255
eys0617240202,14,14_barley field_rye field_trees_apple trees,0.32699051
eys0617400227,59,59_wool_yarn_weaving_spun,0.3959564
eys0617720281,8,8_riga_necklace_king_wreath,0.6566866
eys0715320007,25,25_sleep_sleeping_nap_asleep,0.34156984
eys0715810096,16,16_sheep_lamb_goat_wolf,0.36815
eys0716530201,6,6_dung_wet pine_little bird_reeds,0.48121276
eys0723050072,2,2_ends_harvest_end_grain,0.3407217
eys0725450033,14,14_barley field_rye field_trees_apple trees,0.24290065
eys0900450023,25,25_sleep_sleeping_nap_asleep,0.34730664
eys0900450024,59,59_wool_yarn_weaving_spun,0.5891322
eys0900460026,14,14_barley field_rye field_trees_apple trees,1.0
eys0900460027,49,49_barking_goats_goat_goat went,0.4033705
eys0900790071,25,25_sleep_sleeping_nap_asleep,0.43264055
eys0903490118,46,46_twig_young maiden_maiden went_wrapped,0.2872812
eys0909950081,6,6_dung_wet pine_little bird_reeds,0.2583146
eys1023290166,6,6_dung_wet pine_little bird_reeds,0.5177499
eys1029170108,46,46_twig_young maiden_maiden went_wrapped,1.0
eys1107620338,48,48_peas_wheat_barley_leaves,0.6263845
h10102300097,6,6_dung_wet pine_little bird_reeds,0.55595714
h20102670395,54,54_butter_mistress little_cream_pine,1.0
h21005340308,33,33_titmouse_sparrow_cabbage_tit,0.7702903
h21302300003,5,5_mistress little_servant_little mistress_servants,0.16463475
h21302380011,6,6_dung_wet pine_little bird_reeds,0.51654893
h21303600004,6,6_dung_wet pine_little bird_reeds,0.40312088
h21306500001,54,54_butter_mistress little_cream_pine,0.44783056
h21306500002,45,45_herd_dog_tail_twisting,0.75023246
h21402710012,64,64_harju_harjumaa_rains_rain,0.15616912
h21405080005,45,45_herd_dog_tail_twisting,1.0
h21405080006,0,0_hay_granny_little grandmother_pasture,0.0
h21405090007,25,25_sleep_sleeping_nap_asleep,1.0
h22600930052,0,0_hay_granny_little grandmother_pasture,0.0
h2390907900b,6,6_dung_wet pine_little bird_reeds,0.3652939
h24004040015,45,45_herd_dog_tail_twisting,0.37700114
h25400370001,8,8_riga_necklace_king_wreath,0.28697598
h25401630029,6,6_dung_wet pine_little bird_reeds,0.38058004
h31204460003,6,6_dung_wet pine_little bird_reeds,0.4165992
h31708630018,41,41_farm daughter_dear daughter_little mother_mother little,0.4505069
h40103770022,22,22_tar_black_dark_spilled,0.14737603
hr0401860001,6,6_dung_wet pine_little bird_reeds,0.47899875
hr040186000a,6,6_dung_wet pine_little bird_reeds,0.46482503
e000051820004,15,15_young wife_old women_old woman_woman old,0.39550534
e000051870008,12,12_slaves_walk_wandering_journey,0.5517904
e000051880009,48,48_peas_wheat_barley_leaves,0.17977874
e000070640005,9,9_horse_horses_stallions_stallion,0.53059417
e000072070023,22,22_tar_black_dark_spilled,0.63460255
e000076620004,22,22_tar_black_dark_spilled,0.40457177
e000076630005,45,45_herd_dog_tail_twisting,0.1585061
e000077190023,36,36_cat_meal_breads_bread,0.31846333
e000077340010,32,32_kaie_bride_daughters_anne,0.2407766
e000078260000,44,44_cattle_livestock_pasture_weaving,0.33811572
e000079420031,58,58_sled_wheels_wheel_shafts,0.15574393
e000079460004,41,41_farm daughter_dear daughter_little mother_mother little,0.11516211
e000080510039,57,57_fear_afraid_sword_mothers,0.1589458
e000093460028,9,9_horse_horses_stallions_stallion,0.37518564
e000093490031,62,62_cabbage_oat field_hop_leap,0.2649779
e000093520034,64,64_harju_harjumaa_rains_rain,0.21140318
e000093670047,63,63_crooked_tavern_road_straight,0.27615756
e000093910062,58,58_sled_wheels_wheel_shafts,0.19920686
e000099630001,49,49_barking_goats_goat_goat went,0.17348336
e000099680004,15,15_young wife_old women_old woman_woman old,0.43091324
e000099830014,22,22_tar_black_dark_spilled,0.3381114
e000106310008,50,50_trees_apple tree_tree_dream,0.35652345
e000107390001,49,49_barking_goats_goat_goat went,0.22155553
e000178150003,41,41_farm daughter_dear daughter_little mother_mother little,0.22872852
e000178240011,42,42_wolf_bitten_kaie_bear,0.24795061
e000178310017,21,21_fish_man sea_fishing_sea,0.42884132
e000201380001,22,22_tar_black_dark_spilled,0.42927045
e000201440002,15,15_young wife_old women_old woman_woman old,0.42559487
e00051510000a,45,45_herd_dog_tail_twisting,0.32427824
e000536460000,54,54_butter_mistress little_cream_pine,0.25526285
e000549580000,22,22_tar_black_dark_spilled,0.6155667
e000576550000,22,22_tar_black_dark_spilled,0.5896352
e000616550002,27,27_siim_servant_young maiden_bride,0.23222055
e000617380040,10,10_little grandmother_grandmother_granny_mother dear,0.22542387
e000617510050,28,28_piglets_pig_pigs_piglet,0.19334811
ea00002620025,15,15_young wife_old women_old woman_woman old,0.5480936
ea00006950014,24,24_devil_cursed_peasants_curse,0.19332331
ea00007040023,43,43_apple tree_apple trees_apples_trees,0.12982999
ea00010090007,5,5_mistress little_servant_little mistress_servants,0.13506258
ekms40106250008,39,39_father mother_father_did father_mother,0.33490896
ekms40106430011,60,60_little bird_little golden_bird_lunch,0.19492401
eks0100170000,12,12_slaves_walk_wandering_journey,0.66042423
eks2800030003,5,5_mistress little_servant_little mistress_servants,0.35678354
eks2800070010,21,21_fish_man sea_fishing_sea,0.6890714
era200101380001,15,15_young wife_old women_old woman_woman old,0.41304848
era200101500002,22,22_tar_black_dark_spilled,0.41235366
era200703670031,15,15_young wife_old women_old woman_woman old,0.6865757
era200l01470002,10,10_little grandmother_grandmother_granny_mother dear,0.66185427
era201205650001,15,15_young wife_old women_old woman_woman old,0.19327931
era201402410028,15,15_young wife_old women_old woman_woman old,0.22397693
era202401660005,54,54_butter_mistress little_cream_pine,0.286489
era202500530018,15,15_young wife_old women_old woman_woman old,0.6947271
era204101540015,22,22_tar_black_dark_spilled,0.43186754
era205705370008,57,57_fear_afraid_sword_mothers,0.2346842
era205705380009,15,15_young wife_old women_old woman_woman old,0.26498064
estk3701610001,15,15_young wife_old women_old woman_woman old,0.36607704
estk3701850032,12,12_slaves_walk_wandering_journey,0.63932663
estk4000230047,37,37_stumps_birches_stump_maidens,0.4478315
estk4000450073,15,15_young wife_old women_old woman_woman old,0.5164069
estk4000830120,15,15_young wife_old women_old woman_woman old,0.83288854
estk4000980136,15,15_young wife_old women_old woman_woman old,0.66497624
eys0210620056,44,44_cattle_livestock_pasture_weaving,0.22535516
eys0506000013,22,22_tar_black_dark_spilled,0.31225213
eys0506120029,22,22_tar_black_dark_spilled,0.17937058
eys0506120030,62,62_cabbage_oat field_hop_leap,0.17038317
eys0506260051,25,25_sleep_sleeping_nap_asleep,0.32136682
eys0506290194,41,41_farm daughter_dear daughter_little mother_mother little,0.1578411
eys0506780118,22,22_tar_black_dark_spilled,0.40656033
eys0506830127,12,12_slaves_walk_wandering_journey,0.7244052
eys0506910137,12,12_slaves_walk_wandering_journey,0.2298564
eys0506980145,20,20_young men_weary_hats_stockings,0.31095615
eys0507060158,12,12_slaves_walk_wandering_journey,0.57027274
eys0507100162,38,38_cat_ropes_rope_tangled,0.19631219
eys0507110164,29,29_sorrow_sorrowful_wretched_torment,0.33311334
eys0507130167,57,57_fear_afraid_sword_mothers,0.41491082
eys0507200181,15,15_young wife_old women_old woman_woman old,0.81530505
eys0507270191,60,60_little bird_little golden_bird_lunch,0.2868981
eys0613810033,63,63_crooked_tavern_road_straight,0.11571693
eys0614100068,51,51_hans_harju_harjumaa_jaan,0.38823357
eys0614300096,15,15_young wife_old women_old woman_woman old,0.3085756
eys0614440123,59,59_wool_yarn_weaving_spun,0.6245681
