id,assigned_topic,topic_label,top_topic_prob
aesmt02900040000,5,5_grandmother_servants_birch_maiden,0.8298166
aesmt04900200009,2,2_beers_beer_drank_drink,0.62133443
aesmt06000320019,1,1_trees_lake_swing_rye field,0.8272096
e000051950018,3,3_plow_cranes_oxen_gentlemen,0.45809183
e000071530013,1,1_trees_lake_swing_rye field,0.6144337
e000071570017,1,1_trees_lake_swing_rye field,0.6322283
e000071580019,1,1_trees_lake_swing_rye field,0.5218696
e000071590020,1,1_trees_lake_swing_rye field,0.9115455
e000075910001,5,5_grandmother_servants_birch_maiden,0.6958968
e000075920003,5,5_grandmother_servants_birch_maiden,0.9360399
e000076820011,1,1_trees_lake_swing_rye field,0.55325544
e000077270008,1,1_trees_lake_swing_rye field,0.53246415
e000077350012,1,1_trees_lake_swing_rye field,0.7741188
e000077360014,1,1_trees_lake_swing_rye field,0.7414238
e000078340012,5,5_grandmother_servants_birch_maiden,1.0
e000078890014,1,1_trees_lake_swing_rye field,0.7650722
e00007892017b,1,1_trees_lake_swing_rye field,0.69311404
e000078940020,4,4_riga_mistress_wreath_maidens,0.5671828
e000080300007,1,1_trees_lake_swing_rye field,0.67609453
e000080600047,1,1_trees_lake_swing_rye field,0.90459347
e000080620049,0,0_manor_hay_young maiden_grandmother,0.0
e000093660046,1,1_trees_lake_swing_rye field,0.780935
e000093690049,4,4_riga_mistress_wreath_maidens,0.46969226
e000104130006,6,6_little bird_sing_shouts_bird,0.529774
e000107430008,1,1_trees_lake_swing_rye field,1.0
e000117880009,1,1_trees_lake_swing_rye field,0.6540115
e000151100022,1,1_trees_lake_swing_rye field,0.58759195
e000178290016,5,5_grandmother_servants_birch_maiden,0.59109455
e000239830003,1,1_trees_lake_swing_rye field,0.52933556
e000531940002,5,5_grandmother_servants_birch_maiden,0.7430484
e000546780003,5,5_grandmother_servants_birch_maiden,0.703176
e000546830000,5,5_grandmother_servants_birch_maiden,1.0
e000547680000,5,5_grandmother_servants_birch_maiden,0.8523527
e000592150014,5,5_grandmother_servants_birch_maiden,0.9377236
e000595240009,6,6_little bird_sing_shouts_bird,1.0
e000595250010,5,5_grandmother_servants_birch_maiden,1.0
e000595260013,0,0_manor_hay_young maiden_grandmother,0.0
e000615530000,5,5_grandmother_servants_birch_maiden,0.4947341
e000615540000,5,5_grandmother_servants_birch_maiden,1.0
e000616670009,4,4_riga_mistress_wreath_maidens,0.53712606
e000616790018,1,1_trees_lake_swing_rye field,0.6520201
e000616890005,6,6_little bird_sing_shouts_bird,0.529774
e000723650000,0,0_manor_hay_young maiden_grandmother,0.0
e000796070000,5,5_grandmother_servants_birch_maiden,0.8125487
e000796110000,7,7_sparrow_titmouse_cabbage_lark,0.39630467
e000796140000,5,5_grandmother_servants_birch_maiden,0.66876143
e000796320000,5,5_grandmother_servants_birch_maiden,0.45007607
e000796670000,5,5_grandmother_servants_birch_maiden,1.0
e800V00630254,7,7_sparrow_titmouse_cabbage_lark,0.5189814
e8XII00590190,4,4_riga_mistress_wreath_maidens,0.65359503
ea00002860045,5,5_grandmother_servants_birch_maiden,0.7666491
ekms40504300013,1,1_trees_lake_swing_rye field,0.6090419
ekms40504340017,1,1_trees_lake_swing_rye field,1.0
ekms40504350019,1,1_trees_lake_swing_rye field,1.0
ekms40504360020,1,1_trees_lake_swing_rye field,0.7714043
eks0100110000,1,1_trees_lake_swing_rye field,1.0
eks010011000a,1,1_trees_lake_swing_rye field,0.79308957
eks0100300000,0,0_manor_hay_young maiden_grandmother,0.0
eks010053000a,5,5_grandmother_servants_birch_maiden,0.8614961
eks5001570109,1,1_trees_lake_swing_rye field,0.78586155
era100507130000,1,1_trees_lake_swing_rye field,1.0
era200101190003,1,1_trees_lake_swing_rye field,0.7110767
era200101450003,1,1_trees_lake_swing_rye field,0.45071816
era200703750048,5,5_grandmother_servants_birch_maiden,1.0
era200l01260003,1,1_trees_lake_swing_rye field,0.84617317
era201101880001,1,1_trees_lake_swing_rye field,0.5695113
era201101910004,1,1_trees_lake_swing_rye field,0.7333167
era201101970001,1,1_trees_lake_swing_rye field,0.3938865
era201102010001,5,5_grandmother_servants_birch_maiden,1.0
era201107030001,6,6_little bird_sing_shouts_bird,0.3371349
era201107070002,8,8_herring_fish_fishing_sea,0.44080782
era201107110004,7,7_sparrow_titmouse_cabbage_lark,0.39911902
era201107150005,1,1_trees_lake_swing_rye field,0.8145544
era201107170006,6,6_little bird_sing_shouts_bird,0.5377343
era201400730011,5,5_grandmother_servants_birch_maiden,0.84728855
era201401010007,0,0_manor_hay_young maiden_grandmother,0.0
era201402270015,5,5_grandmother_servants_birch_maiden,1.0
era201402330022,1,1_trees_lake_swing_rye field,0.7538683
era202400930003,5,5_grandmother_servants_birch_maiden,0.9764627
era202401550001,5,5_grandmother_servants_birch_maiden,0.7369022
era202401790014,5,5_grandmother_servants_birch_maiden,0.7841379
era202403180043,5,5_grandmother_servants_birch_maiden,0.6471663
era202403500004,5,5_grandmother_servants_birch_maiden,0.4838934
era202405520009,8,8_herring_fish_fishing_sea,0.36684552
era202405540010,7,7_sparrow_titmouse_cabbage_lark,0.40857187
era202405560011,5,5_grandmother_servants_birch_maiden,0.41937006
era202406170005,0,0_manor_hay_young maiden_grandmother,0.0
era202406990001,5,5_grandmother_servants_birch_maiden,0.48770687
era202500430010,5,5_grandmother_servants_birch_maiden,0.4812206
era202500520017,1,1_trees_lake_swing_rye field,0.7905107
era202500970020,5,5_grandmother_servants_birch_maiden,1.0
era205705610034,1,1_trees_lake_swing_rye field,0.77399176
era205705610035,1,1_trees_lake_swing_rye field,1.0
era208305670003,5,5_grandmother_servants_birch_maiden,0.5006265
era208403870011,1,1_trees_lake_swing_rye field,0.6677391
era208701290020,1,1_trees_lake_swing_rye field,0.5161375
era213102870465,0,0_manor_hay_young maiden_grandmother,0.0
era213202950002,5,5_grandmother_servants_birch_maiden,0.48256537
era217205290065,1,1_trees_lake_swing_rye field,0.7159958
era218305900004,5,5_grandmother_servants_birch_maiden,1.0
era229801510017,0,0_manor_hay_young maiden_grandmother,0.0
era229801510018,2,2_beers_beer_drank_drink,0.84318435
erm16700030001,0,0_manor_hay_young maiden_grandmother,0.0
estk2701320001,1,1_trees_lake_swing_rye field,0.76036656
estk2701320006,0,0_manor_hay_young maiden_grandmother,0.0
estk2701330002,1,1_trees_lake_swing_rye field,0.8874442
estk2701340003,1,1_trees_lake_swing_rye field,0.7791986
estk3701030009,5,5_grandmother_servants_birch_maiden,1.0
estk3701560001,1,1_trees_lake_swing_rye field,0.9733897
estk4000100021,1,1_trees_lake_swing_rye field,0.7663653
estk4000260052,1,1_trees_lake_swing_rye field,1.0
estk4000590092,1,1_trees_lake_swing_rye field,0.92500424
estk4000770112,2,2_beers_beer_drank_drink,0.7570394
estk4001140161,1,1_trees_lake_swing_rye field,0.79816073
eys0203930121,1,1_trees_lake_swing_rye field,0.92576385
eys0206730169,1,1_trees_lake_swing_rye field,0.9881099
eys0206740170,5,5_grandmother_servants_birch_maiden,0.5070051
eys0210330016,1,1_trees_lake_swing_rye field,0.41812146
eys0210360022,6,6_little bird_sing_shouts_bird,0.7071483
eys0210370023,1,1_trees_lake_swing_rye field,0.48314905
eys0210370025,7,7_sparrow_titmouse_cabbage_lark,0.3766447
eys0210380026,1,1_trees_lake_swing_rye field,0.9562818
eys0210510042,1,1_trees_lake_swing_rye field,0.8522139
eys0210520043,1,1_trees_lake_swing_rye field,1.0
eys0300970033,1,1_trees_lake_swing_rye field,0.8661165
eys0401750199,1,1_trees_lake_swing_rye field,0.9259487
eys0506060024,5,5_grandmother_servants_birch_maiden,0.5054071
eys0506730113,7,7_sparrow_titmouse_cabbage_lark,0.5664457
eys0506850129,5,5_grandmother_servants_birch_maiden,0.94065356
eys0507350199,1,1_trees_lake_swing_rye field,1.0
eys0613720024,5,5_grandmother_servants_birch_maiden,0.60598534
eys0613910045,5,5_grandmother_servants_birch_maiden,0.8251226
eys0614000055,3,3_plow_cranes_oxen_gentlemen,1.0
eys0614000056,5,5_grandmother_servants_birch_maiden,0.63651705
eys0614110071,1,1_trees_lake_swing_rye field,0.8941954
eys0614120072,1,1_trees_lake_swing_rye field,0.67306334
eys0614340099,1,1_trees_lake_swing_rye field,0.58239156
eys0614440125,1,1_trees_lake_swing_rye field,1.0
eys0614460128,2,2_beers_beer_drank_drink,1.0
eys0614870186,2,2_beers_beer_drank_drink,0.8592118
eys0614880187,5,5_grandmother_servants_birch_maiden,0.7983029
eys0614930197,2,2_beers_beer_drank_drink,0.6958864
eys0615350280,0,0_manor_hay_young maiden_grandmother,0.0
eys0615490295,5,5_grandmother_servants_birch_maiden,0.847123
eys0615520297,1,1_trees_lake_swing_rye field,0.81832206
eys0616080030,1,1_trees_lake_swing_rye field,0.6216233
eys0616270063,1,1_trees_lake_swing_rye field,0.7052911
eys0617280209,1,1_trees_lake_swing_rye field,0.55767214
eys0617290211,5,5_grandmother_servants_birch_maiden,0.76822877
eys0617710279,1,1_trees_lake_swing_rye field,0.7420129
eys0705580005,0,0_manor_hay_young maiden_grandmother,0.0
eys0706660029,1,1_trees_lake_swing_rye field,0.64257383
eys0706770049,5,5_grandmother_servants_birch_maiden,0.54253995
eys0706970079,1,1_trees_lake_swing_rye field,0.63897836
eys0706970080,5,5_grandmother_servants_birch_maiden,0.6740057
eys0706980081,5,5_grandmother_servants_birch_maiden,1.0
eys0706980082,1,1_trees_lake_swing_rye field,0.9673738
eys0715290003,0,0_manor_hay_young maiden_grandmother,0.0
eys0715390016,1,1_trees_lake_swing_rye field,0.88303363
eys0715580054,5,5_grandmother_servants_birch_maiden,0.6833942
eys0715860104,1,1_trees_lake_swing_rye field,0.7545053
eys0715880106,5,5_grandmother_servants_birch_maiden,0.4405823
eys0715990118,8,8_herring_fish_fishing_sea,0.37713745
eys0716030121,6,6_little bird_sing_shouts_bird,0.4543153
eys0716050123,1,1_trees_lake_swing_rye field,0.6839856
eys0716150142,1,1_trees_lake_swing_rye field,1.0
eys0716410180,1,1_trees_lake_swing_rye field,0.59417915
eys0716750230,5,5_grandmother_servants_birch_maiden,0.82667047
