id,assigned_topic,topic_label,top_topic_prob
e000076720019,3,3_sea_beneath_cuckoo_shore,0.281583
e000077690016,3,3_sea_beneath_cuckoo_shore,0.30121365
e000078640008,6,6_wedding_bride_crows_groom,0.22970016
e000080410027,3,3_sea_beneath_cuckoo_shore,0.45292085
e000178260013,8,8_servant_young maiden_bride_maiden,0.2510901
e000536610000,4,4_evening_night_moon_morning,1.0
e000595320022,1,1_cuckoo_little bird_bird_sparrow,0.2316364
e000595340023,6,6_wedding_bride_crows_groom,0.18178475
e000598870000,2,2_cranes_lords_pasture_oxen,0.26471475
e000683680005,3,3_sea_beneath_cuckoo_shore,0.50366974
ea00009830014,8,8_servant_young maiden_bride_maiden,0.25273123
ea00009850016,3,3_sea_beneath_cuckoo_shore,1.0
eks0100240000,6,6_wedding_bride_crows_groom,0.47566485
era200101100001,0,0_young maiden_maiden_hay_bride,1.0
era200101140006,3,3_sea_beneath_cuckoo_shore,1.0
era200101370001,6,6_wedding_bride_crows_groom,0.77810043
era200601230001,6,6_wedding_bride_crows_groom,0.58263344
era200703640019,0,0_young maiden_maiden_hay_bride,0.0
era200703650021,6,6_wedding_bride_crows_groom,0.37969232
era200703750047,4,4_evening_night_moon_morning,0.6266375
era201107500009,3,3_sea_beneath_cuckoo_shore,0.51130265
era201400340008,1,1_cuckoo_little bird_bird_sparrow,0.4668806
era201400450006,6,6_wedding_bride_crows_groom,1.0
era201401710006,6,6_wedding_bride_crows_groom,0.3893464
era201402110004,6,6_wedding_bride_crows_groom,0.62401855
era201402730010,2,2_cranes_lords_pasture_oxen,1.0
era201708700000,3,3_sea_beneath_cuckoo_shore,0.4597274
era202400960005,6,6_wedding_bride_crows_groom,0.35860723
era202403130031,6,6_wedding_bride_crows_groom,0.39310172
era202403280055,0,0_young maiden_maiden_hay_bride,0.0
era202404730001,1,1_cuckoo_little bird_bird_sparrow,0.45421967
era202404840012,6,6_wedding_bride_crows_groom,0.6787051
era202405030001,3,3_sea_beneath_cuckoo_shore,0.43588257
era202405050003,2,2_cranes_lords_pasture_oxen,0.2940262
era202405410001,4,4_evening_night_moon_morning,0.5789781
era202405420003,6,6_wedding_bride_crows_groom,0.3797021
era202500360003,8,8_servant_young maiden_bride_maiden,0.51676816
era202502010005,6,6_wedding_bride_crows_groom,0.64864516
era203102410002,6,6_wedding_bride_crows_groom,0.3415825
era203500180003,0,0_young maiden_maiden_hay_bride,0.34790525
era204101470006,6,6_wedding_bride_crows_groom,0.37148505
era204104630003,2,2_cranes_lords_pasture_oxen,0.35534912
era207100110013,1,1_cuckoo_little bird_bird_sparrow,1.0
era207100190006,6,6_wedding_bride_crows_groom,1.0
