Topic,Count,Name,Representation,Representative_Docs
-1,1516,-1_village_manor_maiden_barn,"['village', 'manor', 'maiden', 'barn', 'stove', 'place', 'meadow', 'horse', 'grove', 'whip']","['Little Jan \r\nMake me a small wheeled bed \r\nWhich I can roll to the grain \r\nIn winter to the oven stove \r\nJan secretly made a sleigh \r\nTo the berry berry forest \r\nTo the edge-edge claws \r\nEvery noon he struck a plank \r\nEvery day he put on braces \r\nHe finished making the sleigh \r\nTook the sleigh between the village \r\nLook at the village elders \r\nWhat is wrong with that sleigh \r\nThe village women laughed at the sleigh \r\nOh you crazy young men \r\nOh you crazy and foolish \r\nThere are five faults of the sleigh \r\nFirst are the apple wood shafts \r\nSecond are the maple wood rails \r\nThird the curved buckthorn wood \r\nFourth is the gray shaft bar \r\nFifth is the silk maiden inside \r\nBut Jan heard again \r\nSoon he said in response \r\nApple tree oil to the hill \r\nFrom there come the apple wood shafts \r\nMaple tree between village \r\nFrom there come the maple wood rails \r\nBuckthorn tree in the village street \r\nFrom there come the curved buckthorn wood \r\nGray sucks mother’s grain \r\nMaiden swings in the hideout \r\nBends in the weak bow string \r\nUnder the plank in the ribboned place \r\nFrom there comes the silk maiden inside', ""Here is the translation of the text into English:\r\n\r\nWhen I took the pacifier out of the mouth  \r\nFrom behind the teeth of the pike  \r\nFrom there I became a child singer  \r\nFrom there I became a word setter  \r\nI was at the wedding with an old woman  \r\nI was at the wedding with an old man  \r\nWith an elder on the sleeve  \r\nI drank from the singer’s hand  \r\nFrom the piper’s flask  \r\nFrom the maidens' jugs  \r\nThen I became a child singer  \r\nAnd became a word setter  \r\nI used to study in Harju  \r\nTo learn the virus tune  \r\nSisters studied in Harju  \r\nViruses like brothers-in-law  \r\nLet the brewers be healthy  \r\nBrewers of beer, brewers of kvass  \r\nThe keepers of anger and groans  \r\nThe sufferers of great smoke  \r\nWho combined these three  \r\nFirst water, liquid  \r\nSecond coarse flour  \r\nThird crazy hops  \r\nFourth fine junipers  \r\nThen the hops started to go crazy  \r\nMoving their legs in the city  \r\nThat took away men’s wits  \r\nHalf of the boys’ wits  \r\nMen rumbled without hats  \r\nWomen danced without tanuta  \r\nBoys without soap  \r\nAlone, without hats  \r\nTwo jugs without lids  \r\nFive vats to whip  \r\nThen I sang, I shook hands  \r\nI struck my hair on my back  \r\nTo the broad long table  \r\nBeer was made from mikid  \r\nFrom mikid, from makid  \r\nMiki-maki from the meadow of sohust  \r\nFrom the outer yard’s barley  \r\nFrom the middle yard’s fine wheat  \r\nFrom the front yard’s peas."", 'The little huts of Koigi village  \r\nThe patched shoes of Tamsi taku  \r\nThe ones hanging sprats eye to eye  \r\nThe ones knocking down the spinning wheel  \r\nThe fish drying rack legs  \r\nThe rope village’s containers  \r\nWho considers this village insignificant  \r\nThe village of Kahala insignificant  \r\nFrom there came the smell of pigs  \r\nThe smell of pigs, the smell of manure  \r\nThe smell of the earth, the smell of soil  \r\nEven rats were in their barn  \r\nEven in the corner of the stove  \r\nEven on the edge of the tray  \r\nThose were the barn doors made of straw  \r\nThe sagging garden gates  \r\nWho considers this village insignificant  \r\nThe village of Keris insignificant  \r\nThe village smells of caraway  \r\nThe village’s grain smells of sulfur  \r\nThe stove’s pot full of bow-headed lice  \r\nThe trays filled with bread and pastries  \r\nThe sheaves of wheat piled even higher  \r\nThe barn doors silver in color  \r\nThe stove lids golden in color  \r\nThe garden gates made of copper  \r\nThe young men of Keri village  \r\nWent to Viru to bring sprats  \r\nAt that time there was the clattering of fives  \r\nThe clattering of old hats  \r\nThe rattling of bicycle hubs  \r\nThe ringing of spokes  \r\nThe horses gave great beats  \r\nWhen they rode to the shore of Viru  \r\nFrom there they got sprat fish  \r\nThey paid the shore taxes  \r\nThey brought a load of expensive grain  \r\nA hundred puds of sprat fish  \r\nThe shore man gave them a home  \r\nThe hostess ran to the barn  \r\nWhat are you waiting for, wash the horse  \r\nI will give you a sprat bath  \r\nThe hunchbacked women of Köisi village  \r\nCame quickly with sprat trays  \r\nI gave them as a gift without forbidding  \r\nI gave an explanation without stopping  \r\nGo home, give thanks  \r\nTake good care of the family  \r\nStop eating containers  \r\nNow take good care  \r\nEat sprats, sip and eat  \r\nDo your work, then shake it off  \r\nThe girls are quick to spin  \r\nThe boys are cutting wood  \r\nBalls of wives were brought inside  \r\nThe heap of wives was assembled']"
0,1366,0_young maiden_maiden_hay_bride,"['young maiden', 'maiden', 'hay', 'bride', 'grandmother', 'old woman', 'wreath', 'wife', 'servant', 'horse']","['I sing a song about a horse  \r\nWith a lovely mane tuft  \r\nIts head topped with a walnut  \r\nEyes like stars in the sky  \r\nEars like oak leaves  \r\nTail like linen fibers  \r\nMane like dried hay  \r\nBody covered in hay flakes  \r\nTail made of hay products  \r\nLegs under are like forks.  \r\nHorseshoes under are like antlers  \r\nCoat covered in dewy grass  \r\nThen I go to the Sõrve trip  \r\nTo look at the Sõrve maiden  \r\nThe maiden gazes through the fence gate  \r\nIf only she were the honey to me  \r\nWhat is riding past on the road  \r\nRiding along the path  \r\nThe horse is like an oven  \r\nThe rider is like the day itself  \r\nHer belt is like a rainbow  \r\nHat like a king’s crown  \r\nMy dear little brother  \r\nIf you go to take a wife  \r\nGo catch a little sail  \r\nGo court a little sparrow  \r\nTake me under your belt  \r\nTurn me into a six-sleeved coat  \r\nI know a gloomy maiden  \r\nI guess a bad maiden  \r\nGloomy maiden, long hair  \r\nLazy maiden, long braid  \r\nA slender belt dripping  \r\nAngry black eyebrows  \r\nMy dear little brother  \r\nDon’t take a tall wife  \r\nTall ones go to sleep on a bench  \r\nDon’t take a big wife  \r\nBig ones tend to sulk  \r\nTake a very small one  \r\nA tiny little steel one  \r\nA little diligent crazy one.', 'Virgin young maiden  \r\nSlender at her writing desk  \r\nWhy do you hesitate when coming to me  \r\nComing to me; coming to me  \r\nTo me, a young man  \r\nTo me, proud of my good genes  \r\nTo the copper belt, white dawn  \r\nBecause you hesitate when coming to me  \r\nComing to me; being with us  \r\nTo me, a young man  \r\nTo me, proud of my good genes  \r\nTo the copper belt, white dawn  \r\nThat our yard is muddy  \r\nThe cowsheds full of holes  \r\nOxen treading in our yard  \r\nThe cows have slept heavily  \r\nFoals playfully running around  \r\nThe maiden walks with the ox  \r\nThe maiden walks on the dry heath  \r\nWalk along the edge of the garden  \r\nUntil you come to our yard  \r\nBecause you hesitate when coming to me  \r\nComing to me; being with us  \r\nTo me, a young man  \r\nTo me, proud of my good genes  \r\nTo the copper belt, white dawn  \r\nThat our wells are far away  \r\nWater five versts (3.3 km each) away  \r\nDo not complain, maiden  \r\nThe oxen will bring the water  \r\nThe reins will pull the cart  \r\nServants will bring the tub  \r\nWill put the kettle on the fire  \r\nBecause you hesitate when coming to me  \r\nComing to me; being with us  \r\nTo me, a young man  \r\nTo me, proud of my good genes  \r\nTo the copper belt, white dawn  \r\nThat you have many debts  \r\nMore than pearl beads  \r\nYou think to pawn them  \r\nTo borrow bread  \r\nTo waste money  \r\nTo take grains  \r\nTo send salt  \r\nYou will not pawn those  \r\nNo bread will be borrowed  \r\nNo salt will be sent  \r\nWe will be thirsty at the foot  \r\nWhen the harvest is poor  \r\nThe man’s gun will bring catch  \r\nDo not hesitate when coming to me  \r\nComing to me; being with us  \r\nWe have large fields in the fields  \r\nAnd wide strips in the forest  \r\nEdges run down to the brook  \r\nSides reach the sea  \r\nCorners to the gray meadow  \r\nIf you are, if you are a maiden  \r\nIf you are quick to pick  \r\nSwift to take by hands  \r\nThen your crown will carry gold  \r\nYour head will carry a lace cap  \r\nYour neck will carry a golden necklace  \r\nCrown with golden ribbons  \r\nShoulders with pearl beads  \r\nHips with a half skirt  \r\nShins with silk stockings  \r\nFeet with new shoes  \r\nIf you are, if you are a maiden  \r\nIf you are quick to pick  \r\nSwift to take by hands  \r\nThen you will feel the thimbleberries  \r\nYour side will feel the rowans  \r\nShoulder blades the apple trees  \r\nForearms the maples  \r\nThighs like rowan bushes.', 'For I thank my aunt  \r\nShe gave soap to make clearer.  \r\nTo make foam whiter  \r\nThe day gave time to wash the head  \r\nThe moon to dry the hair  \r\nI put the spruce to dry  \r\nTo sway in the apple tree  \r\nTo shine in the pines  \r\nThe spruce dried with golden hair  \r\nThe apple tree with silver hair  \r\nThe pine with gray hair  \r\nThe boys of Albu barked  \r\nThe boys of Sõidla rode around  \r\nThey thought the moon would shine  \r\nThe day gently shine  \r\nThe stars sparkle in the sky  \r\nThose were my white hairs  \r\nThey wanted to crop my head  \r\nTo shorten the flaxen hair  \r\nI gave to crop the head  \r\nTo shorten the flaxen hair  \r\nNow Hans comes from Harju too  \r\nNow Jaak from Järva too  \r\nPeeter from long Piibe too  \r\nThey have scissors in hand  \r\nShears in the pocket too  \r\nBut they crop my head  \r\nShorten the flaxen hair  \r\nHans brings shoes with hooks  \r\nJaan brings shoes with leather straps  \r\nSiim brings shoes with spikes  \r\nI throw Hans’s shoes into the oven  \r\nI throw Siim’s shoes in the shit  \r\nI put Jaan’s shoes on my feet  \r\nThen westward with shoes to the church  \r\nShoes click underfoot  \r\nLaces snap behind  \r\nHair stands on the head  \r\nGoes up to the armpits  \r\nSways over the shoulders  \r\nI pass through the men’s men  \r\nI slip also through the boys  \r\nAlbu boys are kind brothers  \r\nDon’t think  \r\nThat I will become a bad woman  \r\nBecome one bad, stay one bad  \r\nBecome a kind one or maybe old  \r\nNot even a whole parish  \r\nI will become a woman on the Narva road  \r\nA slippery woman on the city road  \r\nA suitable woman in Paide  \r\nMy husband over the seas  \r\nDrinks there at river’s edge  \r\nUnder the bluish-gray bridge  \r\nUnder the watery-gray mill  \r\nUnder the church of lavender  \r\nI cannot ride to say  \r\nTo make a place for him  \r\nTo turn at the pillowcase  \r\nThe wind takes him entirely away  \r\nThe cloud pulls him  \r\nWhat a life I have  \r\nThe life of a mistress I have  \r\nThe daughter of a lady’s lap  \r\nShe comes with a carriage after me  \r\nRides a sledge at seven  \r\nDrives the horse at nine  \r\nAlready from that we get by three  \r\nThat we started well  \r\nLet us finish comfortably']"
1,71,1_cuckoo_little bird_bird_sparrow,"['cuckoo', 'little bird', 'bird', 'sparrow', 'shouts', 'sing', 'pitcher', 'singing', 'little brother', 'hay']","['Cuckoo, cuckoo, little cuckoo  \r\nHelgi, gentle little bird  \r\nThe cuckoo does not cuckoo to me  \r\nThe cuckoo cuckoos to the herdsman  \r\nTo Helgi, the hay cutter  \r\nClacking to the woodpecker  \r\nI am in the forest like a bear cub  \r\nAt the top of the spruce like a titmouse.  \r\nIn the birch top a songbird  \r\nIn the aspen top a leaf bird.', ""Cuckoo, cuckoo little cuckoo  \r\nHelgi gentle little bird,  \r\nThe cuckoo won't cuckoo for me  \r\nThe cuckoo cuckoos to the herder  \r\nTo Helgi the hay cutter  \r\nIt claps for the woodcutter  \r\nI am in the forest like a moose  \r\nAt the top of the spruce like a titmouse  \r\nA songbird in the top of the birch  \r\nA leaf bird in the top of the aspen"", ""Cuckoo, cuckoo, little cuckoo  \r\nHelgi's hay bird  \r\nMy cuckoo does not cuckoo  \r\nThe cuckoo cuckoos to the shepherd boy  \r\nTo Helgi, the hay cutter  \r\nTo the willow branch cracker  \r\nTo the one who takes the meadow  \r\nWhy do you chirp, little bug  \r\nFilthy fly, so dirty  \r\nYou are servant of the bug  \r\nSon of the filthy fly  \r\nFrom your mouth drips urine  \r\nBelow is the row of teeth  \r\nAbove is the long tongue  \r\nLet me sing the flax song  \r\nFrom my mouth drips gold  \r\nBelow is silver of teeth  \r\nAbove is the fine skin of the tongue  \r\nWhere did this singer come from  \r\nCame from here, got from here  \r\nCame from the pigsty  \r\nFrom the pig’s barn with straw  \r\nWhere did the child get these songs,  \r\nI took the stories from the suckerfish’s mouth  \r\nFrom between the teeth of the pike.  \r\nTunes from a crooked tail  \r\nA girl went to some wedding  \r\nRode to the seventh (village)  \r\nCarried me under the belt  \r\nKept the apron strings  \r\nHe drank from the cupboard, drank from the pitcher  \r\nFrom the bottom of the flute  \r\nFrom the pipe-maker’s cup  \r\nHe drank himself, gave me some  \r\nBecause I became a singer  \r\nStories from the girl closing the door  \r\nWords tangled in knots  \r\nI was told to close the reading  \r\nThe singer was my father  \r\nThe singer was my mother  \r\nBoth singer sisters.""]"
2,66,2_cranes_lords_pasture_oxen,"['cranes', 'lords', 'pasture', 'oxen', 'shouts', 'farmhand', 'ditches', 'rake', 'horses', 'village']","['If it were up to me  \r\nSecondly, my doing  \r\nI would know what I would do  \r\nI would make the gentlemen oxen  \r\nKilts cranes  \r\nMaidens as necklaces  \r\nI would go behind to call  \r\nPlow the field, pour the grain  \r\nDo not furrow the old red  \r\nTurn the head of the brindle  \r\nI went on Tuesday to the fair  \r\nI had a piece of hay against the grain  \r\nA patch of bog at the edge  \r\nA patch of wet at the hill’s edge  \r\nI would plow against the grain  \r\nI would not ruin the ridges of the rye  \r\nI would not spoil the shoots of the grass horns', 'If I were to be myself,  \r\nIf I were to become myself,  \r\nOh, I would know what I would do.  \r\nI would make the gentlemen oxen,  \r\nThe ladies would wear bonnets,  \r\nGerman girls would be servant maids,  \r\nThe rowdy ones would be stumblers,  \r\nThe proud ones behind cranes,  \r\nI myself would be the caller behind:  \r\nPlow the furrow, pour the story,  \r\nGo straight, old red one!  \r\nMy plowman plows, the bend bends,  \r\nMy slope plows, the foot slips,  \r\nMy bridle plows, the head trembles,  \r\nThe dark one did lift the land indeed.', 'If it were my being,  \r\nAnd secondly my doing,  \r\nI would surely know what I would know:  \r\nI would make the oxen into oxen,  \r\nThe horses into horses,  \r\nThe helpers into fathers,  \r\nThe boys into proud cranes,  \r\nThe girls into blossoms...  \r\nI myself would be in the field,  \r\nPlowing the furrow in the meadow,  \r\nLetting the songs ring out,  \r\nAnd the words be lovely to hear.  \r\nThen the village would listen,  \r\nThe parish would watch closely,  \r\nThe forest would roar back,  \r\nThe grove would respond,  \r\nYoung women would smile,  \r\nMen would ponder their thoughts,  \r\nChildren would quietly spy,  \r\nSquatting by the village gate,  \r\nNear the backyard of the household.  \r\nOh! If only it were my being,  \r\nAnd secondly my doing;  \r\nSurely I would know what I would know.']"
3,53,3_sea_beneath_cuckoo_shore,"['sea', 'beneath', 'cuckoo', 'shore', 'prayer', 'boat', 'sand', 'fish', 'ring', 'wind']","[""What is here beneath our yard  \r\nThe sea beneath our yard  \r\nWhat is in the middle of the sea  \r\nA well in the middle of the sea  \r\nWhat is on the edge of the well  \r\nA post on the edge of the well  \r\nWhat is at the very end of the post  \r\nA sieve at the very end of the post  \r\nWhat is on the edge of the sieve  \r\nA cuckoo on the edge of the sieve  \r\nWhat is on the cuckoo's hands  \r\nA child was on the cuckoo's hands  \r\nWhat is on the child's chest  \r\nA brooch on the child's chest  \r\nWhat is on the edge of the brooch  \r\nA ring on the edge of the brooch  \r\nEven this is a soldier's ring  \r\nHow did it come to this land  \r\nFrom the knees of a chimney sweep boy  \r\nFrom the shin bones of a German soldier"", 'Rowing boat and reaching boat  \r\nReach beneath our yard:  \r\nWhat is there beneath our yard?  \r\nThe sea is there beneath our yard.  \r\nWhat is there in the middle of the sea?  \r\nA post is there in the middle of the sea.  \r\nWhat is on top of the post?  \r\nA ring is on top of the post.  \r\nWhat is inside the ring?  \r\nCuckoo’s feet are inside the ring.  \r\nWhat messages does the cuckoo bring?  \r\nThe cuckoo brings war messages.  \r\nWho among the three of us goes to war?  \r\nDoes the father go, or does the mother go,  \r\nOr does the eldest son go?  \r\nNeither the father goes, nor the mother,  \r\nNor does the eldest son go.  \r\nThe youngest brother goes to war.  \r\nThe sister went to teach the brother:  \r\n“Don’t always ride ahead of the war  \r\nNor ride behind the war.  \r\nRide into the middle of the war!  \r\nThe first are thrown away,  \r\nThe last are killed,  \r\nThe middle ones return.”  \r\n---------------  \r\nI row beneath father’s door.  \r\n“Hello, father, know your son,  \r\nKnow your son’s gray horse!”  \r\n“Oh my God, I cannot know  \r\nThe son nor the gray horse.”  \r\nI row beneath mother’s door.  \r\n“Hello, mother, know your son,  \r\nKnow your son’s gray horse!”  \r\n“Oh my God, I cannot know  \r\nThe son nor the gray horse!”  \r\nI row beneath brother’s door.  \r\n“Hello, brother, know me,  \r\nKnow my gray horse.”  \r\n“Oh my God, I cannot know  \r\nThe brother nor the gray horse!”  \r\nI row beneath sister’s door.  \r\n“Hello, sister, know your brother,  \r\nKnow your brother’s gray horse.”  \r\n“Oh my God, yes I can know!  \r\nCome inside, sit down,  \r\nTell me stories about the war!”', 'What is there beneath our yard  \r\nThe sea beneath our yard  \r\nWhat is in the middle of the sea  \r\nA pillar in the middle of the sea  \r\nWhat is at the end of the pillar  \r\nA sieve at the end of the pillar  \r\nWhat is inside the sieve  \r\nA ring inside the sieve  \r\nWhat is inside the ring  \r\nA cuckoo inside the ring  \r\nWhat does the cuckoo bring us  \r\nIt brings news of war  \r\nWhose turn is it to go to war  \r\nWill father go, or will mother go  \r\nOr will the one who is swinging hidden go  \r\nSister went to teach brother  \r\nRide to the middle of the war  \r\nThe first are thrown out  \r\nThe last are killed  \r\nThe middle ones come home']"
4,52,4_evening_night_moon_morning,"['evening', 'night', 'moon', 'morning', 'sleep', 'sleeping', 'dark', 'summer', 'pillow', 'day']","['Evening comes, arrives late  \r\nThe day rolls down low,  \r\nEvening comes unexpectedly  \r\nTwilight comes uninvited,  \r\nEvening comes accompanied by the outdoors  \r\nTwilight comes with the grain,  \r\nEvening brings straw to the barn  \r\nTwilight puts to sleep,  \r\nThe spirit awakens,  \r\nTurns up the dawn  \r\nAnd spreads the white wide.  \r\nWhen this sieve stands on its edges,  \r\nThe poles against the white side,  \r\nWhen dawn breaks on the Koigi side  \r\nAnd whitens from the Varangu side,  \r\nThen we are sent to work:  \r\nOne there, another here,  \r\nSome to the manor fields.  \r\nSlave labor is sought  \r\nWage workers are thrown in.  \r\nIf nothing else, to carry mud,  \r\nTo clear stones in the field,  \r\nTo roll stones together,  \r\nTo place stones in position.  \r\nShoes break the stone quarry,  \r\nThe stones place the stones in rows,  \r\nCharcoal remains in the skirt.', ""Sisters, dear ones  \r\nWhere are we going toward the night  \r\nToward the night, toward the day  \r\nLet’s go listen to the moon  \r\nLet’s play all day  \r\nLet’s touch the gentle evening  \r\nDoes the moon serve without oil,  \r\nThe day contemplates pleasure  \r\nThe evening recites a hymn.  \r\nNo, the moon does not serve without oil  \r\nThe day does not contemplate pleasure  \r\nThe evening does not recite a hymn  \r\nThe day plays with necklaces  \r\nPlays the sieve with rings  \r\nThe evening with glass beads  \r\nThe moon with golden rings  \r\nI had three suitors:  \r\nOne was the moon, the second the day  \r\nThe third was full of stars  \r\nI will not go to the moon,  \r\nNor go to the day  \r\nThe moon has three duties:  \r\nSometimes it rises early  \r\nOnce it rises at dawn's gold  \r\nOnce in the middle of dawn  \r\nLet the starry one come  \r\nWith horses full of stars  \r\nWith clothes full of stars  \r\nThe star softly shakes  \r\nRings with golden sparkle  \r\nBring my own tub  \r\nDrive me to Salme’s manor."", 'What lulls this sleep to rest,  \r\nWhat tethers the act of sleeping.  \r\nSleep does not grant new growth to the moon,  \r\nSleeping clothes the earth.  \r\nSleep sends one wandering,  \r\nSleeping sends one marching,  \r\nTreading a path ahead.  \r\nThose who sleep are fire starters,  \r\nThose who sleep are house keepers,  \r\nThe slave child does not sleep soundly:  \r\ncomes tired from work,  \r\ncomes weary from the field,  \r\nwithered from the haystack...']"
5,49,5_prayer_maiden_words_stone,"['prayer', 'maiden', 'words', 'stone', 'crying', 'stones', 'shall', 'lords', 'ditches', 'sing']","['Always I am wretched  \r\nHow many times has my mind been sad  \r\nTo whom do I complain my sorrow  \r\nTo whom do I plant boredom  \r\nTo whom do I place wretchedness  \r\nOn the stone on the church path  \r\nOn the rope on the priest’s field  \r\nThe stone does not understand the maiden’s denial  \r\nThe rock does not heed the maiden’s prayer  \r\nThe proud stone did not speak  \r\nBut the thick rock did not tell.', 'If I were to sing, I would be criticized  \r\nIf I were silent, I would be sworn at,  \r\nIf I sat, it would be boring,  \r\nIf I stepped, it would be pitiful.  \r\nTo those whose minds are sad:  \r\nI complain under the goldfinch,  \r\nI grow like the bluebells,  \r\nOn the stones, on the church path,  \r\nOn the altar of the priest.  \r\nThe stone does not understand the maiden’s mind,  \r\nThe limestone does not heed the maiden’s prayer.  \r\nThe stone does not speak loudly,  \r\nThe thick limestone does not tell tales,  \r\nThe stone does not talk to anyone.', ""Always I am sorrowful  \r\nEvery night is tedious  \r\nEvery day is long  \r\nTo whom do I plant boredom  \r\nTo whom do I set sorrow  \r\nTo whom do I complain a sad mind  \r\nTo the stone on the church path  \r\nTo the rope outside the pasture  \r\nThe stone does not speak  \r\nThe thick limestone does not tell  \r\nThe stone does not understand a maiden's language  \r\nThe limestone does not understand a maiden's prayer  \r\nLittle stone, dear stone  \r\nLittle limestone, thick little one  \r\nYou could roar in the sea  \r\nShout on the seashores  \r\nMove in the sea's sand  \r\nCould bounce on the sea bottom  \r\nBefore you came to our land  \r\nTo our yard for torment  \r\nTo the crook of the arm for suffering  \r\nOur yards are thin  \r\nShoulders are slender  \r\nIf my yards were rowanberry  \r\nShoulders were apple tree  \r\nFingers crushed currants  \r\nThen I should endure the whip  \r\nBear the club  \r\nAnswer with the rod.""]"
6,27,6_wedding_bride_crows_groom,"['wedding', 'bride', 'crows', 'groom', 'sparrow', 'bird', 'eggs', 'pig', 'willow', 'barn']","[""Roiu-roiu, the rats' wedding,\r\nthe youngest daughter got married\r\nto the youngest son of Nirgi.\r\nThere were proud wedding guests:\r\nthe rooster with golden spurs,\r\nthe crow with copper boots,\r\nthe tit with a tin bell,\r\nthe nightingale with a steel bow,\r\nthe pig was in chintz clothes..."", ""Oiu-roiu rat's wedding  \r\nThe mouse's daughter got married  \r\nTo Nirgi's younger son  \r\nWho was invited to the wedding?  \r\nThere were proud wedding guests:  \r\nThe wolf came with a new violin  \r\nThe bear with two kantele (Finnish zithers)  \r\nThe crane with golden spurs  \r\nThe crow with copper boots  \r\nThe titmouse with a tin hat  \r\nThe woodpecker wore iron clothes  \r\nThe titmouse brewed beer  \r\nThe swallow broke wood  \r\nThe weasel twisted a whip  \r\nThe poor hen carried water  \r\nThe rooster followed on crutches  \r\nThe sparrow cooked soup  \r\nThe moorhen brewed sour beer  \r\nThe magpie's beard was shaved  \r\nThe crow's pain was taken away  \r\nThe duck's rear was patched  \r\nAnd the bells were cut off from the jaws."", ""Mists and fogs, the rat's wedding,\r\nThe mouse's daughter got married,\r\nTo the youngest son of Nirk,\r\nThe wedding guests were proud,\r\nAll were golden-haired!\r\nThe pig went in a spotted dress,\r\nThe crow with copper boots,\r\nThe magpie with a gray bull,\r\nI came in a little sled.\r\nI came from behind, I went ahead.""]"
7,25,7_kaie_bride_daughters_anne,"['kaie', 'bride', 'daughters', 'anne', 'daughter', 'wedding', 'wife', 'young maiden', 'maiden', 'dear brothers']","['Little boy, little rascal,  \r\nWhen you go to take a wife,  \r\nCome ask me for permission;  \r\nI will give you a new coat from the barn,  \r\nBring a stick from the lantern,  \r\nA wooden spoon from the totter.  \r\nThen go to Koigi to court.  \r\nOn the mound of Koigi are three daughters;  \r\nOne was Anne, the second Kaie,  \r\nThe third slippery little Liisuke.  \r\nAnne was given to me,  \r\nKaie was traded to me,  \r\nLiisuke I infused myself.', ""Oh our dear brothers or we brothers-in-law  \r\nTogether we are stepbrothers  \r\nWe eat the same food  \r\nWe drink the same drink  \r\nWe do not take the same wife  \r\nOne takes another wife  \r\nOne takes another old woman's daughter  \r\nOne takes another old man's daughter  \r\nYou take Maie, I take Kaie  \r\nKaie was quick with work  \r\nMai was clumsy with her foot  \r\nAnne was assigned to me  \r\nAnd Kaie was traded to me  \r\nI do not take Anne as a wife  \r\nNor do I take Kaie as a wife  \r\nAnne was given torn shirts  \r\nKaie had broken sleeves  \r\nI flirted around Liisu  \r\nHad to go to Pilla  \r\nI ended up sleeping with Malle  \r\nMalle was sweeter to me  \r\nThan those Pilla's milk cakes."", ""Let's go to the Koiki bride's meadow\r\nDaughters of the Koigi smith\r\nThe smith of Koigi had three daughters\r\nOne was Anne - the second Kaie\r\nThe third slippery Liisukene\r\nAnne was naked by the stove\r\nKaie was bare-legged by the ironing board\r\nLiisu was under the flax bundle\r\nAnne was meant for me\r\nAnd Kaie was also bargained for me\r\nI will not take Anne as a wife\r\nNor do I want to marry Kaie\r\nAnne had torn shirt sleeves\r\nKaie had broken stockings\r\nI crawled around Liisu\r\nLiisu had beautiful linen.""]"
8,25,8_servant_young maiden_bride_maiden,"['servant', 'young maiden', 'bride', 'maiden', 'comes', 'groom', 'shall', 'beauty', 'silk', 'dear man']","[""Here comes Siim, here comes Siim's servant;  \r\nWhat is Siim looking for,  \r\nWhat is Siim's servant?  \r\nA two-headed heel,  \r\nA tuft of hair,  \r\nA linen-winged little bird,  \r\nA dutiful father among all the others."", 'Here comes Siim, here Siim’s servant,  \r\na noble father among all others.  \r\nHere comes the young maiden,  \r\na beauty with curly hair,  \r\na spark in her hair,  \r\na little bird with a linen cap.  \r\nHere sits Siim, here Siim’s servant,  \r\na noble father among all others.  \r\nHere sits the young maiden,  \r\na beauty with curly hair,  \r\na spark in her hair,  \r\na little bird with a linen cap.  \r\nHere walks Siim, here Siim’s servant,  \r\na noble father among all others.  \r\nHere walks the young maiden,  \r\na beauty with curly hair,  \r\na spark in her hair,  \r\na little bird with a linen cap.  \r\nHere greets Siim, here Siim’s servant,  \r\na noble father among all others.  \r\nSilent stands the young maiden,  \r\na beauty with curly hair,  \r\na spark in her hair,  \r\na little bird with a linen cap.  \r\nSiim offers his hand, Siim’s servant’s hand,  \r\na noble father among all others,  \r\nthe young maiden rejects the hand,  \r\na beauty with curly hair,  \r\na spark in her hair,  \r\na little bird with a linen cap.  \r\nHere leaves Siim, here Siim’s servant,  \r\na noble father among all others.  \r\nHere leaves the young maiden,  \r\na beauty with curly hair,  \r\na spark in her hair,  \r\na little bird with a linen cap.', 'Here comes Siim, here comes Siim’s servant  \r\nWho wants Siim, who is Siim’s servant  \r\nLooking for a young maiden  \r\nA curly-haired beauty  \r\nWith shining hair  \r\nWith flaxen locks like a little bird  \r\nIf he cannot  \r\nSiim cannot, nor Siim’s servant  \r\nHow sadly, how sadly  \r\nSiim dances here as Siim’s servant.  \r\nIf he can.  \r\nHere Siim succeeds, here Siim’s servant  \r\nSo joyfully, so joyfully  \r\nSiim dances as Siim’s servant.']"
