id,assigned_topic,topic_label,top_topic_prob
goheung-0203,0,0_river_dragon_moon_water,0.25131866
euiseong-0708,4,4_rice field_seedlings_rice_plant,0.4120575
gumi-0104,7,7_seedling_tray_seedlings_plant seedlings,0.29307958
jincheon-0207,6,6_bird_broken_house_caught,0.2653429
sangju-0120,0,0_river_dragon_moon_water,0.31506157
sangju-1444,1,1_house_parents_life_bed,0.40787667
haenam-0136,6,6_bird_broken_house_caught,0.44712868
jinyang-0425,4,4_rice field_seedlings_rice_plant,0.26883668
goheung-0512,4,4_rice field_seedlings_rice_plant,0.23012008
yeongdong-0104,6,6_bird_broken_house_caught,1.0
sangju-1034,5,5_gold_yellow__,1.0
cheolwon-1105,3,3_quickly_steps_step_sound,0.2258765
sancheong-0603,8,8_white hair_hair_youth_young,0.3308343
gyeongju-0413,1,1_house_parents_life_bed,0.33722934
cheongsong-0416,0,0_river_dragon_moon_water,0.0
euiryeong-0208,8,8_white hair_hair_youth_young,0.28541622
yeongil-0719,8,8_white hair_hair_youth_young,0.2594301
bukjeju-1406,6,6_bird_broken_house_caught,0.21175769
hwacheon-0217,8,8_white hair_hair_youth_young,0.23833239
sangju-0605,8,8_white hair_hair_youth_young,0.4379596
hongseong-0127,5,5_gold_yellow__,0.29468232
chuncheon-0714,0,0_river_dragon_moon_water,0.20390975
taean-0404,8,8_white hair_hair_youth_young,0.3659996
samcheok-0704,0,0_river_dragon_moon_water,0.79019535
yangyang-1612,1,1_house_parents_life_bed,0.30844945
cheongdo-0511,1,1_house_parents_life_bed,0.3524678
changnyeong-0320,8,8_white hair_hair_youth_young,0.38662785
seongju-0662,2,2_hot_day__,0.5906033
yeongil-0655,2,2_hot_day__,0.4818286
yeongdeok-0526,0,0_river_dragon_moon_water,1.0
changnyeong-0203,3,3_quickly_steps_step_sound,0.517756
sangju-1121,0,0_river_dragon_moon_water,1.0
daegu-0430,4,4_rice field_seedlings_rice_plant,0.35292986
naju-0409,6,6_bird_broken_house_caught,0.22066475
geumreung-0313,1,1_house_parents_life_bed,0.33599237
yeongcheon-0216,3,3_quickly_steps_step_sound,0.40816796
gunwi-0225,6,6_bird_broken_house_caught,0.40976274
gangjin-0318,0,0_river_dragon_moon_water,0.0
