id,assigned_topic,topic_label,top_topic_prob
goheung-0203,3,3_brother law_sister law_married life_younger brother,0.28861034
euiseong-0708,20,20_fruit_pear_seed_grows,0.27757683
gumi-0104,15,15_seedling_tray_seedlings_plant seedlings,0.48901653
jincheon-0207,5,5_hot_day_hee_ha,0.3594469
sangju-0120,18,18_seventy_eighty_eighty thousand_thirty,0.16294175
sangju-1444,8,8_lotus_rice seedling_seeds_seed,0.4967354
haenam-0136,18,18_seventy_eighty_eighty thousand_thirty,0.21666677
jinyang-0425,17,17_rain_southeast wind_wind_wind blow,0.35541123
goheung-0512,3,3_brother law_sister law_married life_younger brother,0.21676101
yeongdong-0104,9,9_teeth_branch_pumpkin_missing,0.5735513
sangju-1034,24,24_fish_catch_bite_sea,0.4810726
cheolwon-1105,6,6_dance_dancing_quickly quickly_quickly,0.5780647
sancheong-0603,21,21_blow hard_blow blow_blow_wind blow,0.28716397
gyeongju-0413,16,16_smoke_tobacco_smoking_cigarette,0.19808616
cheongsong-0416,0,0_mountains_dragon_jade_sky,0.0
euiryeong-0208,19,19_white hair_hair_live years_youth,0.3035008
yeongil-0719,13,13_crows_black crow_crow_jujube,0.1252606
bukjeju-1406,23,23_watermelon_husband_daughter law_dish,0.6548371
hwacheon-0217,3,3_brother law_sister law_married life_younger brother,0.33287823
sangju-0605,5,5_hot_day_hee_ha,0.6362824
hongseong-0127,17,17_rain_southeast wind_wind_wind blow,0.23702966
chuncheon-0714,5,5_hot_day_hee_ha,0.15650076
taean-0404,17,17_rain_southeast wind_wind_wind blow,0.3569049
samcheok-0704,24,24_fish_catch_bite_sea,0.6800427
yangyang-1612,9,9_teeth_branch_pumpkin_missing,0.30408603
cheongdo-0511,6,6_dance_dancing_quickly quickly_quickly,0.7139693
changnyeong-0320,19,19_white hair_hair_live years_youth,0.49945828
seongju-0662,2,2_spinning wheel_spinning_wheel_turning,0.31906918
yeongil-0655,5,5_hot_day_hee_ha,0.69816977
yeongdeok-0526,7,7_black crow_crow crow_crow_rooster,0.70507723
changnyeong-0203,17,17_rain_southeast wind_wind_wind blow,0.4838968
sangju-1121,2,2_spinning wheel_spinning_wheel_turning,0.48105752
daegu-0430,0,0_mountains_dragon_jade_sky,0.0
naju-0409,5,5_hot_day_hee_ha,0.1953274
geumreung-0313,3,3_brother law_sister law_married life_younger brother,0.55544686
yeongcheon-0216,19,19_white hair_hair_live years_youth,0.5144738
