id,assigned_topic,topic_label,top_topic_prob
goheung-0203,5,5_sister law_brother law_married life_older brother,1.0
euiseong-0708,6,6_street_corner_neighborhood_knife,1.0
gumi-0104,5,5_sister law_brother law_married life_older brother,0.6802425
jincheon-0207,7,7_hot day_blazing_ha_ha ha,1.0
sangju-0120,5,5_sister law_brother law_married life_older brother,0.34633237
sangju-1444,5,5_sister law_brother law_married life_older brother,1.0
haenam-0136,0,0_jade_spirit_afterlife_born,0.0
jinyang-0425,2,2_plow_ho ho_cattle_cow,1.0
goheung-0512,3,3_mother law_sister law_daughter law_mother mother,0.523501
yeongdong-0104,5,5_sister law_brother law_married life_older brother,0.5210203
sangju-1034,0,0_jade_spirit_afterlife_born,0.0
cheolwon-1105,2,2_plow_ho ho_cattle_cow,1.0
sancheong-0603,1,1_children_grandchild_jade_sleeps,1.0
gyeongju-0413,2,2_plow_ho ho_cattle_cow,1.0
cheongsong-0416,7,7_hot day_blazing_ha_ha ha,1.0
euiryeong-0208,0,0_jade_spirit_afterlife_born,0.0
yeongil-0719,7,7_hot day_blazing_ha_ha ha,0.8754175
bukjeju-1406,0,0_jade_spirit_afterlife_born,0.0
hwacheon-0217,5,5_sister law_brother law_married life_older brother,0.49096552
sangju-0605,7,7_hot day_blazing_ha_ha ha,0.85849357
hongseong-0127,2,2_plow_ho ho_cattle_cow,1.0
chuncheon-0714,7,7_hot day_blazing_ha_ha ha,0.5878575
taean-0404,1,1_children_grandchild_jade_sleeps,1.0
samcheok-0704,4,4_weave_weaving_hemp cloth_sewing,1.0
yangyang-1612,5,5_sister law_brother law_married life_older brother,0.6530747
cheongdo-0511,2,2_plow_ho ho_cattle_cow,0.6852504
changnyeong-0320,8,8_lyrics transcribed_lyrics_planting_song,0.4603037
seongju-0662,5,5_sister law_brother law_married life_older brother,0.8793539
yeongil-0655,6,6_street_corner_neighborhood_knife,1.0
yeongdeok-0526,0,0_jade_spirit_afterlife_born,0.0
changnyeong-0203,0,0_jade_spirit_afterlife_born,0.0
sangju-1121,4,4_weave_weaving_hemp cloth_sewing,0.7202923
daegu-0430,0,0_jade_spirit_afterlife_born,0.0
naju-0409,7,7_hot day_blazing_ha_ha ha,1.0
geumreung-0313,5,5_sister law_brother law_married life_older brother,0.80729604
yeongcheon-0216,2,2_plow_ho ho_cattle_cow,1.0
