id,assigned_topic,topic_label,top_topic_prob
young_anti_dbnl_1,0,0_farmer_dear_joyful_spirit,0.3115135
young_anti_dbnl_2,0,0_farmer_dear_joyful_spirit,0.244879
young_anti_dbnl_3,0,0_farmer_dear_joyful_spirit,0.2424591
young_anti_dbnl_4,0,0_farmer_dear_joyful_spirit,0.28186342
young_anti_dbnl_5,0,0_farmer_dear_joyful_spirit,0.29859674
young_anti_dbnl_6,0,0_farmer_dear_joyful_spirit,0.21650757
young_anti_dbnl_7,0,0_farmer_dear_joyful_spirit,0.34104604
young_anti_dbnl_8,0,0_farmer_dear_joyful_spirit,0.24581073
young_anti_dbnl_9,0,0_farmer_dear_joyful_spirit,0.0
young_anti_dbnl_11,2,2_spirit_lord_thief_soul,0.48213068
young_anti_dbnl_12,1,1_soul_seven_bread_thief,0.45078158
young_anti_dbnl_13,4,4_legs_farmer_10_sees,0.46862736
young_anti_dbnl_14,8,8_song_singing_away_,0.22596177
young_anti_dbnl_15,4,4_legs_farmer_10_sees,0.24571754
young_anti_dbnl_16,8,8_song_singing_away_,0.37967435
young_anti_dbnl_17,2,2_spirit_lord_thief_soul,0.3571209
young_anti_dbnl_18,0,0_farmer_dear_joyful_spirit,0.21565576
young_anti_dbnl_19,0,0_farmer_dear_joyful_spirit,0.34171316
young_anti_dbnl_20,6,6_child_dear_jan_beautiful,0.32766342
young_anti_dbnl_21,0,0_farmer_dear_joyful_spirit,0.25612724
young_anti_dbnl_22,4,4_legs_farmer_10_sees,0.2550073
young_anti_dbnl_24,0,0_farmer_dear_joyful_spirit,0.26550207
young_anti_dbnl_25,6,6_child_dear_jan_beautiful,0.36848786
young_anti_dbnl_26,6,6_child_dear_jan_beautiful,0.47013846
young_anti_dbnl_27,6,6_child_dear_jan_beautiful,0.4603006
young_anti_dbnl_28,6,6_child_dear_jan_beautiful,0.46832424
young_anti_dbnl_29,6,6_child_dear_jan_beautiful,0.4890122
young_anti_dbnl_30,6,6_child_dear_jan_beautiful,0.46832424
young_anti_dbnl_31,6,6_child_dear_jan_beautiful,0.46832424
young_anti_dbnl_32,6,6_child_dear_jan_beautiful,0.45854408
young_anti_dbnl_33,6,6_child_dear_jan_beautiful,0.48324972
young_anti_dbnl_34,6,6_child_dear_jan_beautiful,0.47803396
young_anti_dbnl_35,6,6_child_dear_jan_beautiful,0.4639809
young_anti_dbnl_36,6,6_child_dear_jan_beautiful,0.4639809
young_anti_dbnl_37,6,6_child_dear_jan_beautiful,0.46832424
young_anti_dbnl_38,6,6_child_dear_jan_beautiful,0.4890122
young_anti_dbnl_39,6,6_child_dear_jan_beautiful,0.46832424
young_anti_dbnl_40,0,0_farmer_dear_joyful_spirit,0.26012197
young_anti_dbnl_41,0,0_farmer_dear_joyful_spirit,0.30340993
young_anti_dbnl_43,2,2_spirit_lord_thief_soul,0.22427881
young_anti_dbnl_44,0,0_farmer_dear_joyful_spirit,0.25888515
young_anti_dbnl_45,6,6_child_dear_jan_beautiful,0.39867744
young_anti_dbnl_47,5,5_happy_bells_cake_sweet little,0.2854954
young_anti_dbnl_49,0,0_farmer_dear_joyful_spirit,0.35630053
young_anti_txt_0,8,8_song_singing_away_,0.32584915
young_anti_txt_1,8,8_song_singing_away_,0.23978019
young_anti_txt_2,8,8_song_singing_away_,0.22967842
young_birthday_dbnl_0,0,0_farmer_dear_joyful_spirit,0.24251023
young_birthday_dbnl_1,2,2_spirit_lord_thief_soul,0.296995
young_birthday_dbnl_2,2,2_spirit_lord_thief_soul,0.3095889
young_birthday_dbnl_3,0,0_farmer_dear_joyful_spirit,0.35688764
young_birthday_dbnl_4,0,0_farmer_dear_joyful_spirit,0.3040062
young_birthday_dbnl_5,0,0_farmer_dear_joyful_spirit,0.25040445
young_birthday_dbnl_6,8,8_song_singing_away_,0.24973612
young_birthday_dbnl_10,2,2_spirit_lord_thief_soul,0.31652495
young_birthday_dbnl_12,0,0_farmer_dear_joyful_spirit,0.24782443
young_birthday_dbnl_13,0,0_farmer_dear_joyful_spirit,0.22214985
young_birthday_dbnl_15,3,3_cake_soul_joyful_,0.40054175
young_birthday_dbnl_16,4,4_legs_farmer_10_sees,0.5054467
young_birthday_dbnl_17,3,3_cake_soul_joyful_,0.2821154
young_birthday_dbnl_18,0,0_farmer_dear_joyful_spirit,0.22980526
young_birthday_dbnl_19,0,0_farmer_dear_joyful_spirit,0.30634233
young_birthday_dbnl_20,0,0_farmer_dear_joyful_spirit,0.354683
young_birthday_dbnl_21,0,0_farmer_dear_joyful_spirit,0.26267067
young_birthday_dbnl_22,0,0_farmer_dear_joyful_spirit,0.28649703
young_birthday_dbnl_23,5,5_happy_bells_cake_sweet little,0.28389084
young_birthday_dbnl_24,0,0_farmer_dear_joyful_spirit,0.4047816
young_birthday_dbnl_25,0,0_farmer_dear_joyful_spirit,0.25518107
young_birthday_dbnl_26,0,0_farmer_dear_joyful_spirit,0.24692883
young_birthday_dbnl_28,2,2_spirit_lord_thief_soul,0.5169956
young_birthday_dbnl_29,0,0_farmer_dear_joyful_spirit,0.24048375
young_birthday_dbnl_30,0,0_farmer_dear_joyful_spirit,0.23688586
young_birthday_dbnl_31,0,0_farmer_dear_joyful_spirit,0.29000092
young_birthday_dbnl_32,0,0_farmer_dear_joyful_spirit,0.33535442
young_birthday_dbnl_33,7,7_seven_10__,0.230688
young_birthday_dbnl_34,0,0_farmer_dear_joyful_spirit,0.21543705
young_birthday_dbnl_35,0,0_farmer_dear_joyful_spirit,0.33241075
young_birthday_dbnl_36,8,8_song_singing_away_,0.5624062
young_birthday_dbnl_37,0,0_farmer_dear_joyful_spirit,0.33366776
young_birthday_dbnl_38,0,0_farmer_dear_joyful_spirit,0.23504362
young_birthday_dbnl_39,0,0_farmer_dear_joyful_spirit,0.23186225
young_birthday_dbnl_40,0,0_farmer_dear_joyful_spirit,0.3214036
young_birthday_dbnl_41,0,0_farmer_dear_joyful_spirit,0.5483743
