id,assigned_topic,topic_label,top_topic_prob
young_anti_dbnl_1,0,0_sorrow_spirit_beloved_distress,0.36481264
young_anti_dbnl_2,0,0_sorrow_spirit_beloved_distress,0.28000975
young_anti_dbnl_3,0,0_sorrow_spirit_beloved_distress,0.2131504
young_anti_dbnl_4,0,0_sorrow_spirit_beloved_distress,0.29650804
young_anti_dbnl_5,3,3_legs_10_farmer_sees,0.19525917
young_anti_dbnl_6,9,9_song_singing_away_,0.22897834
young_anti_dbnl_7,0,0_sorrow_spirit_beloved_distress,0.33523676
young_anti_dbnl_8,5,5_piece_saint_father mother_father,0.2175492
young_anti_dbnl_9,0,0_sorrow_spirit_beloved_distress,0.0
young_anti_dbnl_11,10,10_saint nicholas_nicholas_saint_spirit,0.30345905
young_anti_dbnl_12,1,1_soul_bread_seven_thief,0.45344296
young_anti_dbnl_13,2,2_cake_piece_soul_,0.26372102
young_anti_dbnl_14,3,3_legs_10_farmer_sees,0.20138997
young_anti_dbnl_15,3,3_legs_10_farmer_sees,0.23117062
young_anti_dbnl_16,9,9_song_singing_away_,0.45791265
young_anti_dbnl_17,4,4_saint nicholas_nicholas_saint_sorrow,0.21828644
young_anti_dbnl_18,0,0_sorrow_spirit_beloved_distress,0.2766772
young_anti_dbnl_19,0,0_sorrow_spirit_beloved_distress,0.40961465
young_anti_dbnl_20,7,7_beloved_child_dear_jan,0.31285632
young_anti_dbnl_21,0,0_sorrow_spirit_beloved_distress,0.18496813
young_anti_dbnl_22,3,3_legs_10_farmer_sees,0.30398083
young_anti_dbnl_24,0,0_sorrow_spirit_beloved_distress,0.2968073
young_anti_dbnl_25,7,7_beloved_child_dear_jan,0.39581642
young_anti_dbnl_26,7,7_beloved_child_dear_jan,0.5492479
young_anti_dbnl_27,7,7_beloved_child_dear_jan,0.52058643
young_anti_dbnl_28,7,7_beloved_child_dear_jan,0.5355215
young_anti_dbnl_29,7,7_beloved_child_dear_jan,0.51670814
young_anti_dbnl_30,7,7_beloved_child_dear_jan,0.5355215
young_anti_dbnl_31,7,7_beloved_child_dear_jan,0.5355215
young_anti_dbnl_32,7,7_beloved_child_dear_jan,0.45897785
young_anti_dbnl_33,7,7_beloved_child_dear_jan,0.4959217
young_anti_dbnl_34,7,7_beloved_child_dear_jan,0.5451713
young_anti_dbnl_35,7,7_beloved_child_dear_jan,0.54623175
young_anti_dbnl_36,7,7_beloved_child_dear_jan,0.54623175
young_anti_dbnl_37,7,7_beloved_child_dear_jan,0.5247295
young_anti_dbnl_38,7,7_beloved_child_dear_jan,0.49936152
young_anti_dbnl_39,7,7_beloved_child_dear_jan,0.5355215
young_anti_dbnl_40,7,7_beloved_child_dear_jan,0.19500712
young_anti_dbnl_41,0,0_sorrow_spirit_beloved_distress,0.32011577
young_anti_dbnl_43,0,0_sorrow_spirit_beloved_distress,0.22740176
young_anti_dbnl_44,0,0_sorrow_spirit_beloved_distress,0.27695942
young_anti_dbnl_45,5,5_piece_saint_father mother_father,0.29470292
young_anti_dbnl_47,0,0_sorrow_spirit_beloved_distress,0.20943901
young_anti_dbnl_49,0,0_sorrow_spirit_beloved_distress,0.3341557
young_anti_txt_0,9,9_song_singing_away_,0.21837981
young_anti_txt_1,0,0_sorrow_spirit_beloved_distress,0.20470396
young_anti_txt_2,5,5_piece_saint_father mother_father,0.24035053
young_birthday_dbnl_0,1,1_soul_bread_seven_thief,0.1423088
young_birthday_dbnl_1,10,10_saint nicholas_nicholas_saint_spirit,0.18519345
young_birthday_dbnl_2,4,4_saint nicholas_nicholas_saint_sorrow,0.20071664
young_birthday_dbnl_3,0,0_sorrow_spirit_beloved_distress,0.22535081
young_birthday_dbnl_4,0,0_sorrow_spirit_beloved_distress,0.27752778
young_birthday_dbnl_5,0,0_sorrow_spirit_beloved_distress,0.16536911
young_birthday_dbnl_6,0,0_sorrow_spirit_beloved_distress,0.190332
young_birthday_dbnl_10,10,10_saint nicholas_nicholas_saint_spirit,0.20044503
young_birthday_dbnl_12,0,0_sorrow_spirit_beloved_distress,0.1611263
young_birthday_dbnl_13,0,0_sorrow_spirit_beloved_distress,0.1640395
young_birthday_dbnl_15,6,6_happy_bells_cake_sweet little,0.3855642
young_birthday_dbnl_16,3,3_legs_10_farmer_sees,0.7070578
young_birthday_dbnl_17,6,6_happy_bells_cake_sweet little,0.22264147
young_birthday_dbnl_18,0,0_sorrow_spirit_beloved_distress,0.20626618
young_birthday_dbnl_19,0,0_sorrow_spirit_beloved_distress,0.15774111
young_birthday_dbnl_20,0,0_sorrow_spirit_beloved_distress,0.25565696
young_birthday_dbnl_21,0,0_sorrow_spirit_beloved_distress,0.14127757
young_birthday_dbnl_22,0,0_sorrow_spirit_beloved_distress,0.33177283
young_birthday_dbnl_23,7,7_beloved_child_dear_jan,0.27635816
young_birthday_dbnl_24,0,0_sorrow_spirit_beloved_distress,0.4936977
young_birthday_dbnl_25,0,0_sorrow_spirit_beloved_distress,0.29494172
young_birthday_dbnl_26,0,0_sorrow_spirit_beloved_distress,0.25837722
young_birthday_dbnl_28,5,5_piece_saint_father mother_father,0.33641186
young_birthday_dbnl_29,0,0_sorrow_spirit_beloved_distress,0.21524145
young_birthday_dbnl_30,3,3_legs_10_farmer_sees,0.15785895
young_birthday_dbnl_31,0,0_sorrow_spirit_beloved_distress,0.26637587
young_birthday_dbnl_32,0,0_sorrow_spirit_beloved_distress,0.3180296
young_birthday_dbnl_33,0,0_sorrow_spirit_beloved_distress,0.22017673
