id,assigned_topic,topic_label,top_topic_prob
young_anti_dbnl_1,4,4_comes_make_bread_don,0.36679715
young_anti_dbnl_2,3,3_bread_comes_children_went,0.25929734
young_anti_dbnl_3,4,4_comes_make_bread_don,0.26502857
young_anti_dbnl_4,4,4_comes_make_bread_don,0.4040963
young_anti_dbnl_5,1,1_children_10_seven_,0.4240323
young_anti_dbnl_6,2,2_seven_bread_11_away,0.34586027
young_anti_dbnl_7,4,4_comes_make_bread_don,0.36735377
young_anti_dbnl_8,0,0_bread___,0.0
young_anti_dbnl_9,0,0_bread___,0.0
young_anti_dbnl_11,0,0_bread___,0.0
young_anti_dbnl_12,0,0_bread___,0.0
young_anti_dbnl_13,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_14,4,4_comes_make_bread_don,0.3296574
young_anti_dbnl_15,4,4_comes_make_bread_don,0.3174958
young_anti_dbnl_16,2,2_seven_bread_11_away,0.3705981
young_anti_dbnl_17,2,2_seven_bread_11_away,0.29681575
young_anti_dbnl_18,2,2_seven_bread_11_away,0.3705981
young_anti_dbnl_19,0,0_bread___,0.39606807
young_anti_dbnl_20,4,4_comes_make_bread_don,0.58563125
young_anti_dbnl_21,4,4_comes_make_bread_don,0.37027806
young_anti_dbnl_22,1,1_children_10_seven_,0.35581687
young_anti_dbnl_24,4,4_comes_make_bread_don,0.32506227
young_anti_dbnl_25,4,4_comes_make_bread_don,0.48954502
young_anti_dbnl_26,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_27,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_28,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_29,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_30,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_31,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_32,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_33,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_34,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_35,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_36,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_37,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_38,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_39,4,4_comes_make_bread_don,0.5856268
young_anti_dbnl_40,2,2_seven_bread_11_away,0.37965983
young_anti_dbnl_41,4,4_comes_make_bread_don,0.32506227
young_anti_dbnl_43,2,2_seven_bread_11_away,0.3304758
young_anti_dbnl_44,4,4_comes_make_bread_don,0.3473171
young_anti_dbnl_45,4,4_comes_make_bread_don,1.0
young_anti_dbnl_47,2,2_seven_bread_11_away,0.32351953
young_anti_dbnl_49,1,1_children_10_seven_,0.30568627
young_anti_txt_0,0,0_bread___,0.0
young_anti_txt_1,4,4_comes_make_bread_don,0.27027205
young_anti_txt_2,4,4_comes_make_bread_don,1.0
young_birthday_dbnl_0,4,4_comes_make_bread_don,0.5856268
young_birthday_dbnl_1,3,3_bread_comes_children_went,0.32051396
young_birthday_dbnl_2,3,3_bread_comes_children_went,0.3534614
young_birthday_dbnl_3,4,4_comes_make_bread_don,0.50489223
young_birthday_dbnl_4,4,4_comes_make_bread_don,0.37079784
young_birthday_dbnl_5,4,4_comes_make_bread_don,0.3202183
young_birthday_dbnl_6,4,4_comes_make_bread_don,0.3707312
young_birthday_dbnl_10,3,3_bread_comes_children_went,0.33848783
young_birthday_dbnl_12,4,4_comes_make_bread_don,0.33947334
young_birthday_dbnl_13,4,4_comes_make_bread_don,0.3294623
young_birthday_dbnl_15,0,0_bread___,0.0
young_birthday_dbnl_16,1,1_children_10_seven_,0.4240323
young_birthday_dbnl_17,4,4_comes_make_bread_don,0.5856268
young_birthday_dbnl_18,2,2_seven_bread_11_away,0.28646487
young_birthday_dbnl_19,4,4_comes_make_bread_don,0.31793755
young_birthday_dbnl_20,4,4_comes_make_bread_don,0.40232044
young_birthday_dbnl_21,4,4_comes_make_bread_don,0.3558223
young_birthday_dbnl_22,3,3_bread_comes_children_went,0.37129375
young_birthday_dbnl_23,4,4_comes_make_bread_don,0.3394854
young_birthday_dbnl_24,4,4_comes_make_bread_don,0.5856268
young_birthday_dbnl_25,4,4_comes_make_bread_don,0.28812286
