id,assigned_topic,topic_label,top_topic_prob
Pod_0,3,3_bread_loaf_bride_guests,1.0
Pod_1,6,6_candle_flower_bright_little wreath,0.55772835
Pod_2,8,8_field plow_plow_wreath_horse,0.57270277
Pod_3,8,8_field plow_plow_wreath_horse,0.38827696
Pod_4,2,2_danube_ivan_bathed_children,0.74798006
Pod_5,0,0_loved_dove_fell_beloved,0.0
Pod_6,8,8_field plow_plow_wreath_horse,0.7858517
Pod_7,8,8_field plow_plow_wreath_horse,0.7858517
Pod_8,4,4_little wreath_wreath_wreath wreath_periwinkle,0.8196312
Pod_10,1,1_little wreath_wreath_wreath wreath_flowers,1.0
Pod_11,5,5_drink vodka_vodka_wine_honey wine,1.0
Pod_12,5,5_drink vodka_vodka_wine_honey wine,1.0
Pod_13,3,3_bread_loaf_bride_guests,0.38647202
Pod_14,7,7_jumped_little legs_jumping_jump,0.3624211
Pod_15,7,7_jumped_little legs_jumping_jump,1.0
Pod_16,7,7_jumped_little legs_jumping_jump,0.5464549
Pod_17,3,3_bread_loaf_bride_guests,1.0
Pod_18,3,3_bread_loaf_bride_guests,0.7582628
Pod_19,5,5_drink vodka_vodka_wine_honey wine,0.3906807
Pod_20,8,8_field plow_plow_wreath_horse,0.45202526
Pod_21,1,1_little wreath_wreath_wreath wreath_flowers,0.4448076
Pod_23,4,4_little wreath_wreath_wreath wreath_periwinkle,1.0
Pod_24,4,4_little wreath_wreath_wreath wreath_periwinkle,0.5412684
Pod_25,5,5_drink vodka_vodka_wine_honey wine,0.2927571
Pod_26,0,0_loved_dove_fell_beloved,0.0
Pod_27,8,8_field plow_plow_wreath_horse,0.57270277
Pod_28,0,0_loved_dove_fell_beloved,0.0
Pod_29,0,0_loved_dove_fell_beloved,0.0
Pod_30,8,8_field plow_plow_wreath_horse,1.0
Pod_31,7,7_jumped_little legs_jumping_jump,0.9020602
Pod_32,3,3_bread_loaf_bride_guests,1.0
Pod_33,5,5_drink vodka_vodka_wine_honey wine,0.7823139
Pod_34,3,3_bread_loaf_bride_guests,0.32825798
Pod_35,7,7_jumped_little legs_jumping_jump,0.8054556
Pod_36,5,5_drink vodka_vodka_wine_honey wine,0.5118834
Pod_37,0,0_loved_dove_fell_beloved,1.0
Pod_38,0,0_loved_dove_fell_beloved,0.0
Pod_39,5,5_drink vodka_vodka_wine_honey wine,0.8550072
Pod_40,7,7_jumped_little legs_jumping_jump,0.772637
Pod_41,8,8_field plow_plow_wreath_horse,0.5576924
Pod_42,1,1_little wreath_wreath_wreath wreath_flowers,1.0
Pod_43,8,8_field plow_plow_wreath_horse,0.6403522
Pod_44,1,1_little wreath_wreath_wreath wreath_flowers,0.386391
Pod_45,8,8_field plow_plow_wreath_horse,0.36422807
Pod_46,6,6_candle_flower_bright_little wreath,0.51909745
Pod_47,6,6_candle_flower_bright_little wreath,0.5583547
Pod_48,0,0_loved_dove_fell_beloved,0.30568606
Pod_49,1,1_little wreath_wreath_wreath wreath_flowers,0.27523553
Pod_50,2,2_danube_ivan_bathed_children,0.2509187
Pod_51,2,2_danube_ivan_bathed_children,0.3735287
Pod_52,4,4_little wreath_wreath_wreath wreath_periwinkle,0.31586483
Pod_53,2,2_danube_ivan_bathed_children,0.2927573
Pod_54,6,6_candle_flower_bright_little wreath,0.3462755
Pod_55,0,0_loved_dove_fell_beloved,0.31938943
Pod_56,7,7_jumped_little legs_jumping_jump,0.22905932
Pod_57,8,8_field plow_plow_wreath_horse,0.3822035
Pod_58,8,8_field plow_plow_wreath_horse,0.37051275
Pod_59,7,7_jumped_little legs_jumping_jump,0.24250126
Pod_60,0,0_loved_dove_fell_beloved,0.49057725
Pod_61,3,3_bread_loaf_bride_guests,0.28225353
Pod_62,8,8_field plow_plow_wreath_horse,0.25961718
Pod_64,5,5_drink vodka_vodka_wine_honey wine,0.2701516
Pod_65,6,6_candle_flower_bright_little wreath,0.55633044
Pod_66,5,5_drink vodka_vodka_wine_honey wine,0.21143398
Pod_67,0,0_loved_dove_fell_beloved,0.26315728
Pod_71,0,0_loved_dove_fell_beloved,0.35340613
Pod_72,8,8_field plow_plow_wreath_horse,0.46850705
Pod_73,7,7_jumped_little legs_jumping_jump,0.1877785
Pod_75,8,8_field plow_plow_wreath_horse,0.7539195
Pod_76,0,0_loved_dove_fell_beloved,0.3727728
Pod_84,7,7_jumped_little legs_jumping_jump,0.27856588
Pod_85,7,7_jumped_little legs_jumping_jump,0.39433601
Pod_86,2,2_danube_ivan_bathed_children,0.28973156
Pod_87,2,2_danube_ivan_bathed_children,0.3591812
Pod_88,7,7_jumped_little legs_jumping_jump,0.36969444
Pod_89,6,6_candle_flower_bright_little wreath,0.47226337
Pod_90,0,0_loved_dove_fell_beloved,0.22804451
Pod_91,0,0_loved_dove_fell_beloved,0.24127524
Pod_92,0,0_loved_dove_fell_beloved,0.25998628
Pod_93,4,4_little wreath_wreath_wreath wreath_periwinkle,0.24609926
Pod_94,3,3_bread_loaf_bride_guests,0.6710431
Pod_95,3,3_bread_loaf_bride_guests,0.3826858
Pod_96,3,3_bread_loaf_bride_guests,0.68620294
Pod_97,0,0_loved_dove_fell_beloved,0.2650876
Pod_98,7,7_jumped_little legs_jumping_jump,0.22328149
Pod_99,8,8_field plow_plow_wreath_horse,0.24730404
Pod_100,8,8_field plow_plow_wreath_horse,0.42312473
Pod_101,8,8_field plow_plow_wreath_horse,0.31525254
Pod_102,8,8_field plow_plow_wreath_horse,0.37787533
Pod_103,8,8_field plow_plow_wreath_horse,0.34717572
Pod_104,0,0_loved_dove_fell_beloved,0.19753209
Pod_105,8,8_field plow_plow_wreath_horse,0.43991777
Pod_106,5,5_drink vodka_vodka_wine_honey wine,0.3013067
Pod_107,5,5_drink vodka_vodka_wine_honey wine,0.62339985
Pod_108,6,6_candle_flower_bright_little wreath,0.31610832
Pod_109,4,4_little wreath_wreath_wreath wreath_periwinkle,0.26150578
Pod_110,4,4_little wreath_wreath_wreath wreath_periwinkle,0.4142998
Pod_111,4,4_little wreath_wreath_wreath wreath_periwinkle,0.3349978
Pod_112,8,8_field plow_plow_wreath_horse,0.3660849
Pod_114,6,6_candle_flower_bright_little wreath,0.2756311
Pod_115,8,8_field plow_plow_wreath_horse,0.30015337
Pod_116,8,8_field plow_plow_wreath_horse,0.2618485
Pod_117,7,7_jumped_little legs_jumping_jump,0.1985675
Pod_118,4,4_little wreath_wreath_wreath wreath_periwinkle,0.375742
Pod_119,8,8_field plow_plow_wreath_horse,0.234227
Pod_120,8,8_field plow_plow_wreath_horse,0.28263736
Pod_123,8,8_field plow_plow_wreath_horse,0.27203608
Pod_124,3,3_bread_loaf_bride_guests,0.30788276
Pod_125,2,2_danube_ivan_bathed_children,0.43451262
