id,assigned_topic,topic_label,top_topic_prob
Erb_1809,9,9_altar_servant_maiden_dearest,0.22247143
Erb_1811,4,4_horses_horse_ride_barn,0.19119883
Erb_1814,9,9_altar_servant_maiden_dearest,0.48160118
Erb_1815,12,12_beer_drink_bring_chamber,0.19900274
Erb_1816,4,4_horses_horse_ride_barn,0.44371796
Erb_1817,4,4_horses_horse_ride_barn,0.59094524
Erb_1818,5,5_older brother_brother brother_cousin_brother,0.27008915
Erb_1819,1,1_wedding_bride_marriage_groom,1.0
Erb_1820,18,18_maiden_mistress_bride_grandmother,0.27108303
Erb_1821,11,11_cheerful_joyful_dear mother_house,0.17706159
Erb_1823,7,7_wreath_bride_flower_ribbon,0.33152124
Erb_1824,8,8_firewood_barn_stove_inside,0.20968552
Erb_1827,4,4_horses_horse_ride_barn,0.42579907
Erb_1828,12,12_beer_drink_bring_chamber,0.24982136
Erb_1829,12,12_beer_drink_bring_chamber,0.17930126
Erb_1831,22,22_father law_father_mother law_mother,0.3359897
Erb_1833,21,21_rooster_pillow_neck_handkerchief,0.33067515
Erb_1834,7,7_wreath_bride_flower_ribbon,0.54205793
Erb_1836,9,9_altar_servant_maiden_dearest,0.45160994
Erb_1838,18,18_maiden_mistress_bride_grandmother,0.28185853
Erb_1839,20,20_road_cross_path_family,0.24188623
Erb_1840,11,11_cheerful_joyful_dear mother_house,0.10916425
Erb_1843,0,0_grandmother_mother law_sister law_father mother,0.0
Erb_1844,23,23_cheerful_village_forest_trees,0.3502886
Erb_1848,21,21_rooster_pillow_neck_handkerchief,0.36627007
Erb_1858,12,12_beer_drink_bring_chamber,0.16135849
Erb_1860,12,12_beer_drink_bring_chamber,0.3114396
Erb_1861,9,9_altar_servant_maiden_dearest,0.18949205
Erb_1864,23,23_cheerful_village_forest_trees,0.61400044
Erb_1865,9,9_altar_servant_maiden_dearest,0.51154584
Erb_1866,11,11_cheerful_joyful_dear mother_house,0.30348912
Erb_1867,9,9_altar_servant_maiden_dearest,0.67181563
Erb_1868,11,11_cheerful_joyful_dear mother_house,0.39869097
Erb_1872,1,1_wedding_bride_marriage_groom,0.47892126
Erb_1873,12,12_beer_drink_bring_chamber,0.2917229
Erb_1874,18,18_maiden_mistress_bride_grandmother,0.2454762
Erb_1875,17,17_wedding_bride_garden_meadow,0.35799974
Erb_1876,20,20_road_cross_path_family,0.4262678
Erb_1877,22,22_father law_father_mother law_mother,0.19112976
Erb_1878,11,11_cheerful_joyful_dear mother_house,0.23502262
Erb_1879,9,9_altar_servant_maiden_dearest,0.42133
Erb_1882,9,9_altar_servant_maiden_dearest,0.6303441
Erb_1883,9,9_altar_servant_maiden_dearest,0.25951344
Erb_1884,17,17_wedding_bride_garden_meadow,0.16392191
Erb_1887,9,9_altar_servant_maiden_dearest,0.42595786
Erb_1890,9,9_altar_servant_maiden_dearest,0.531077
Erb_1893,4,4_horses_horse_ride_barn,0.318575
Erb_1894,1,1_wedding_bride_marriage_groom,0.19161864
Erb_1895,1,1_wedding_bride_marriage_groom,0.43400967
Erb_1896,23,23_cheerful_village_forest_trees,1.0
Erb_1897,20,20_road_cross_path_family,0.620911
Erb_1898,6,6_bride_wedding_getting married_guests,0.28902093
Erb_1905,13,13_maiden_thirty_honey_wife,0.28535694
Erb_1907,7,7_wreath_bride_flower_ribbon,0.19998345
Erb_1909,7,7_wreath_bride_flower_ribbon,0.77283424
Erb_1910,4,4_horses_horse_ride_barn,0.30658048
Erb_1915,9,9_altar_servant_maiden_dearest,0.27883995
Erb_1917,13,13_maiden_thirty_honey_wife,0.19605263
Erb_1918,7,7_wreath_bride_flower_ribbon,0.1297987
Erb_1924,1,1_wedding_bride_marriage_groom,0.32131585
Erb_1928,16,16_apron_bride_wear_groom,0.14178035
Erb_1929,11,11_cheerful_joyful_dear mother_house,0.29832706
Erb_1930,7,7_wreath_bride_flower_ribbon,0.3128357
Erb_1931,9,9_altar_servant_maiden_dearest,0.33719203
Erb_1932,9,9_altar_servant_maiden_dearest,0.2557418
Erb_1934,9,9_altar_servant_maiden_dearest,0.1545175
Erb_1940,16,16_apron_bride_wear_groom,0.32390675
Erb_1942,12,12_beer_drink_bring_chamber,0.3180328
Erb_1943,11,11_cheerful_joyful_dear mother_house,0.51899076
Erb_1944,5,5_older brother_brother brother_cousin_brother,0.20113134
Erb_1945,23,23_cheerful_village_forest_trees,0.12710783
Erb_1946,4,4_horses_horse_ride_barn,0.56016505
Erb_1948,4,4_horses_horse_ride_barn,0.3542868
Erb_1950,6,6_bride_wedding_getting married_guests,0.22749247
Erb_1951,12,12_beer_drink_bring_chamber,0.22479609
Erb_1952,11,11_cheerful_joyful_dear mother_house,0.30157617
Erb_1955,22,22_father law_father_mother law_mother,0.31029546
Erb_1957,1,1_wedding_bride_marriage_groom,0.4577423
Erb_1958,11,11_cheerful_joyful_dear mother_house,0.4094366
Erb_1959,13,13_maiden_thirty_honey_wife,0.20168568
Erb_1967,9,9_altar_servant_maiden_dearest,0.16201973
Erb_1968,11,11_cheerful_joyful_dear mother_house,0.3916189
Erb_1969,21,21_rooster_pillow_neck_handkerchief,0.18457331
Erb_1970,6,6_bride_wedding_getting married_guests,0.16518448
Erb_1972,22,22_father law_father_mother law_mother,0.29037556
Erb_1973,13,13_maiden_thirty_honey_wife,0.31815735
Erb_1974,2,2_married life_marriage_sister law_married,0.279936
Erb_1978,14,14_wind_bamboo_parents_drum,0.23266326
Erb_1979,11,11_cheerful_joyful_dear mother_house,0.26378435
Erb_1980,6,6_bride_wedding_getting married_guests,0.23645343
Erb_1981,9,9_altar_servant_maiden_dearest,0.32569617
Erb_1982,21,21_rooster_pillow_neck_handkerchief,0.22836523
Erb_1984,4,4_horses_horse_ride_barn,0.21308023
Erb_1987,4,4_horses_horse_ride_barn,0.31841925
Erb_1988,4,4_horses_horse_ride_barn,0.48586175
Erb_1989,20,20_road_cross_path_family,0.37597743
Erb_1991,13,13_maiden_thirty_honey_wife,0.44638315
Erb_1992,9,9_altar_servant_maiden_dearest,0.38639113
Erb_1993,9,9_altar_servant_maiden_dearest,0.17603935
Erb_1994,13,13_maiden_thirty_honey_wife,0.3171684
Erb_1995,4,4_horses_horse_ride_barn,0.54809314
Erb_1997,4,4_horses_horse_ride_barn,0.6185926
Erb_1999,9,9_altar_servant_maiden_dearest,0.286623
Erb_2003,4,4_horses_horse_ride_barn,0.7940311
Erb_2004,4,4_horses_horse_ride_barn,0.5271413
Erb_2005,18,18_maiden_mistress_bride_grandmother,0.19275768
Erb_2009,23,23_cheerful_village_forest_trees,0.2491199
Erb_2013,20,20_road_cross_path_family,0.17646033
Erb_2016,9,9_altar_servant_maiden_dearest,0.30984718
Erb_2017,11,11_cheerful_joyful_dear mother_house,0.27057493
Erb_2018,11,11_cheerful_joyful_dear mother_house,0.18743381
Erb_2020,23,23_cheerful_village_forest_trees,0.4043089
Erb_2022,23,23_cheerful_village_forest_trees,1.0
Erb_2023,13,13_maiden_thirty_honey_wife,0.34182066
Erb_2024,18,18_maiden_mistress_bride_grandmother,0.37159172
Erb_2025,9,9_altar_servant_maiden_dearest,0.32174549
Erb_2026,7,7_wreath_bride_flower_ribbon,0.5594632
Erb_2027,1,1_wedding_bride_marriage_groom,0.21136674
Erb_2034,17,17_wedding_bride_garden_meadow,0.2566407
Erb_2036,22,22_father law_father_mother law_mother,0.13196532
Erb_2039,13,13_maiden_thirty_honey_wife,0.5908735
Erb_2040,1,1_wedding_bride_marriage_groom,1.0
Erb_2041,21,21_rooster_pillow_neck_handkerchief,0.55231947
Erb_2044,23,23_cheerful_village_forest_trees,0.29860052
Erb_2048,3,3_bread_guests_wedding_flowers,0.55982995
Erb_2049,17,17_wedding_bride_garden_meadow,0.7126411
Erb_2051,18,18_maiden_mistress_bride_grandmother,1.0
Erb_2052,12,12_beer_drink_bring_chamber,0.20678651
Erb_2054,13,13_maiden_thirty_honey_wife,0.34094262
Erb_2055,7,7_wreath_bride_flower_ribbon,0.54039395
Erb_2056,7,7_wreath_bride_flower_ribbon,0.6368191
Erb_2057,7,7_wreath_bride_flower_ribbon,0.48360053
Erb_2058,22,22_father law_father_mother law_mother,0.73910683
Erb_2059,7,7_wreath_bride_flower_ribbon,0.38284177
Erb_2060,21,21_rooster_pillow_neck_handkerchief,0.4829924
Erb_2061,9,9_altar_servant_maiden_dearest,0.287456
Erb_2062,22,22_father law_father_mother law_mother,0.20530044
Erb_2063,7,7_wreath_bride_flower_ribbon,0.2946608
Erb_2065,7,7_wreath_bride_flower_ribbon,0.49343732
Erb_2067,6,6_bride_wedding_getting married_guests,1.0
Erb_2068,4,4_horses_horse_ride_barn,0.45499545
Erb_2069,18,18_maiden_mistress_bride_grandmother,0.27049813
Erb_2070,7,7_wreath_bride_flower_ribbon,0.56737995
Erb_2072,9,9_altar_servant_maiden_dearest,0.29732433
Erb_2074,21,21_rooster_pillow_neck_handkerchief,0.3601829
Erb_2075,17,17_wedding_bride_garden_meadow,0.25282544
Erb_2077,7,7_wreath_bride_flower_ribbon,0.5805748
Erb_2082,19,19_dance_apron_young girl_beautifully,0.37772083
Erb_2083,19,19_dance_apron_young girl_beautifully,0.44322133
Erb_2084,19,19_dance_apron_young girl_beautifully,0.37953332
Erb_2086,6,6_bride_wedding_getting married_guests,0.17374054
Erb_2088,23,23_cheerful_village_forest_trees,0.23635927
Erb_2089,3,3_bread_guests_wedding_flowers,1.0
Erb_2090,3,3_bread_guests_wedding_flowers,0.61846626
Erb_2091,22,22_father law_father_mother law_mother,0.55278814
Erb_2092,19,19_dance_apron_young girl_beautifully,1.0
Erb_2093,18,18_maiden_mistress_bride_grandmother,0.25609046
Erb_2095,7,7_wreath_bride_flower_ribbon,0.29160082
Erb_2097,7,7_wreath_bride_flower_ribbon,0.2747702
Erb_2099,11,11_cheerful_joyful_dear mother_house,0.5466705
Erb_2100,18,18_maiden_mistress_bride_grandmother,0.36966762
Erb_2102,17,17_wedding_bride_garden_meadow,0.14776339
Erb_2104,6,6_bride_wedding_getting married_guests,0.1859411
Erb_2106,6,6_bride_wedding_getting married_guests,0.44777814
Erb_2107,6,6_bride_wedding_getting married_guests,0.2621415
Erb_2108,6,6_bride_wedding_getting married_guests,0.50537246
Erb_2109,17,17_wedding_bride_garden_meadow,0.26687285
Erb_2110,15,15_rice_husband_cousin_family,0.18569636
Erb_2112,5,5_older brother_brother brother_cousin_brother,0.46110743
Erb_2113,17,17_wedding_bride_garden_meadow,0.24059223
Erb_2114,4,4_horses_horse_ride_barn,0.61240333
Erb_2116,11,11_cheerful_joyful_dear mother_house,0.22940095
Erb_2117,8,8_firewood_barn_stove_inside,0.2693928
Erb_2119,23,23_cheerful_village_forest_trees,0.27117953
Erb_2120,18,18_maiden_mistress_bride_grandmother,0.28600255
Erb_2121,11,11_cheerful_joyful_dear mother_house,0.21604751
Erb_2124,11,11_cheerful_joyful_dear mother_house,0.40501451
Erb_2126,6,6_bride_wedding_getting married_guests,0.5611973
Erb_2127,18,18_maiden_mistress_bride_grandmother,0.56150377
Erb_2128,21,21_rooster_pillow_neck_handkerchief,0.38402647
Erb_2130,11,11_cheerful_joyful_dear mother_house,0.48411503
Erb_2131,23,23_cheerful_village_forest_trees,0.42720404
Erb_2134,16,16_apron_bride_wear_groom,1.0
Erb_2135,1,1_wedding_bride_marriage_groom,0.23722056
Erb_2137,13,13_maiden_thirty_honey_wife,0.2852237
Erb_2138,22,22_father law_father_mother law_mother,0.6616444
Erb_2141,22,22_father law_father_mother law_mother,0.3446824
Erb_2143,9,9_altar_servant_maiden_dearest,0.48643136
Erb_2145,12,12_beer_drink_bring_chamber,0.2390367
Erb_2146,13,13_maiden_thirty_honey_wife,0.41968763
Erb_2150,3,3_bread_guests_wedding_flowers,0.21525538
Erb_2151,13,13_maiden_thirty_honey_wife,0.29297256
Erb_2153,4,4_horses_horse_ride_barn,0.18443395
Erb_2154,13,13_maiden_thirty_honey_wife,0.5529002
Erb_2159,16,16_apron_bride_wear_groom,0.5135169
Erb_2160,16,16_apron_bride_wear_groom,0.59152895
Erb_2163,13,13_maiden_thirty_honey_wife,0.2204018
Erb_2166,18,18_maiden_mistress_bride_grandmother,0.22429992
Erb_2169,13,13_maiden_thirty_honey_wife,0.34260944
Erb_2170,13,13_maiden_thirty_honey_wife,0.28715122
Erb_2171,2,2_married life_marriage_sister law_married,0.5760039
Erb_2175,22,22_father law_father_mother law_mother,0.20352872
Erb_2177,22,22_father law_father_mother law_mother,0.6452899
Erb_2180,18,18_maiden_mistress_bride_grandmother,0.2163452
THB_40,7,7_wreath_bride_flower_ribbon,0.24973205
THB_100,18,18_maiden_mistress_bride_grandmother,0.23464954
THB_101,9,9_altar_servant_maiden_dearest,0.43143705
THB_102,16,16_apron_bride_wear_groom,0.41699547
THB_103,6,6_bride_wedding_getting married_guests,0.19782881
THB_104,1,1_wedding_bride_marriage_groom,0.425873
THB_105,22,22_father law_father_mother law_mother,0.5026896
h21305000012,8,8_firewood_barn_stove_inside,0.1039872
e000151070015,18,18_maiden_mistress_bride_grandmother,0.47292835
eys0617770000,16,16_apron_bride_wear_groom,0.12531434
eys0617830287,13,13_maiden_thirty_honey_wife,0.13725014
h21304930008,17,17_wedding_bride_garden_meadow,0.14609319
e000076970008,19,19_dance_apron_young girl_beautifully,0.52847254
eys0807390339,16,16_apron_bride_wear_groom,0.37566206
h21305400049,12,12_beer_drink_bring_chamber,0.19758222
e000093390023,16,16_apron_bride_wear_groom,0.11347294
e000099700006,18,18_maiden_mistress_bride_grandmother,0.12148452
e000138100007,16,16_apron_bride_wear_groom,0.12548894
eys0910530166,22,22_father law_father_mother law_mother,0.14211889
h21400660083,17,17_wedding_bride_garden_meadow,0.28585282
eks1500010001,13,13_maiden_thirty_honey_wife,0.17837879
h31703830047,4,4_horses_horse_ride_barn,0.5763856
e000093890060,22,22_father law_father_mother law_mother,0.14077714
e000123260005,18,18_maiden_mistress_bride_grandmother,0.43523082
e000598850000,9,9_altar_servant_maiden_dearest,0.16915505
e000613860003,21,21_rooster_pillow_neck_handkerchief,1.0
ea00006930012,19,19_dance_apron_young girl_beautifully,0.49046355
eks1500040003,11,11_cheerful_joyful_dear mother_house,0.40445885
ekse00380000,4,4_horses_horse_ride_barn,0.37718275
era200101440001,11,11_cheerful_joyful_dear mother_house,0.471849
era201101840004,4,4_horses_horse_ride_barn,0.6718734
era201103470003,4,4_horses_horse_ride_barn,0.20245546
era201400770017,4,4_horses_horse_ride_barn,0.39377603
era201402870024,4,4_horses_horse_ride_barn,0.5909956
era202401570002,8,8_firewood_barn_stove_inside,0.27293473
era202403540008,3,3_bread_guests_wedding_flowers,0.13393842
era202403770004,19,19_dance_apron_young girl_beautifully,0.4866738
era203201730004,19,19_dance_apron_young girl_beautifully,0.15482971
estk4000600094,4,4_horses_horse_ride_barn,0.5754964
eys0506170036,13,13_maiden_thirty_honey_wife,0.1326062
eys0506300060,16,16_apron_bride_wear_groom,0.27628142
eys0610680228,8,8_firewood_barn_stove_inside,0.23408502
eys0614410114,3,3_bread_guests_wedding_flowers,0.34583932
eys0614660155,12,12_beer_drink_bring_chamber,0.44981313
eys0614760170,8,8_firewood_barn_stove_inside,0.5101152
eys0614860183,18,18_maiden_mistress_bride_grandmother,0.24041978
eys0615110244,22,22_father law_father_mother law_mother,0.23134479
eys0616190047,22,22_father law_father_mother law_mother,0.33756003
eys0706630026,18,18_maiden_mistress_bride_grandmother,0.25637168
eys0706800056,8,8_firewood_barn_stove_inside,0.26910344
eys0715340010,20,20_road_cross_path_family,0.25857288
eys0715460027,4,4_horses_horse_ride_barn,0.44952652
