id,assigned_topic,topic_label,top_topic_prob
Erb_1809,13,13_dove_flowers_meadow_beloved,0.71941996
Erb_1811,18,18_family_wealth_coming_rich,0.15441678
Erb_1814,10,10_church_servant_maiden_dearest,0.22163017
Erb_1815,9,9_vodka_wine_drink_bring,0.18526907
Erb_1816,4,4_horses_horse_ride_horns,0.36724958
Erb_1817,4,4_horses_horse_ride_horns,0.49053118
Erb_1818,5,5_brother brother_sister_meal_cousin,0.33527246
Erb_1819,1,1_wedding_bride_getting married_groom,1.0
Erb_1820,16,16_maiden_groom_young lad_servant,0.43208474
Erb_1821,15,15_morning_sleeping_jeníček_sing,0.23636349
Erb_1823,6,6_wreath_flower_tear_bride,0.3499839
Erb_1824,7,7_inside_stove_room_kitchen,0.27731758
Erb_1827,4,4_horses_horse_ride_horns,0.37534648
Erb_1828,9,9_vodka_wine_drink_bring,0.18560527
Erb_1829,16,16_maiden_groom_young lad_servant,0.23086184
Erb_1831,13,13_dove_flowers_meadow_beloved,0.36706245
Erb_1833,14,14_dance_apron_young girl_beautifully,0.24621305
Erb_1834,6,6_wreath_flower_tear_bride,0.6924036
Erb_1836,11,11_vodka_maiden_wedding_stove,0.29862905
Erb_1838,16,16_maiden_groom_young lad_servant,0.20862046
Erb_1839,19,19_road_cross_path_family,0.2829052
Erb_1840,13,13_dove_flowers_meadow_beloved,0.34090096
Erb_1843,0,0_rice_mother law_household_wash,0.0
Erb_1844,15,15_morning_sleeping_jeníček_sing,0.3400176
Erb_1848,0,0_rice_mother law_household_wash,0.0
Erb_1858,7,7_inside_stove_room_kitchen,0.25859037
Erb_1860,17,17_braid_hair_tears_mother,0.63254297
Erb_1861,6,6_wreath_flower_tear_bride,0.27708694
Erb_1864,17,17_braid_hair_tears_mother,0.48720714
Erb_1865,4,4_horses_horse_ride_horns,0.3434564
Erb_1866,8,8_heaven_dear mother_family_father mother,0.36011696
Erb_1867,10,10_church_servant_maiden_dearest,0.42001688
Erb_1868,8,8_heaven_dear mother_family_father mother,0.3667656
Erb_1872,15,15_morning_sleeping_jeníček_sing,0.5043092
Erb_1873,13,13_dove_flowers_meadow_beloved,0.29090762
Erb_1874,1,1_wedding_bride_getting married_groom,0.3051443
Erb_1875,18,18_family_wealth_coming_rich,0.21681929
Erb_1876,19,19_road_cross_path_family,0.34003338
Erb_1877,6,6_wreath_flower_tear_bride,0.24673195
Erb_1878,8,8_heaven_dear mother_family_father mother,0.23567387
Erb_1879,10,10_church_servant_maiden_dearest,0.5318662
Erb_1882,10,10_church_servant_maiden_dearest,0.37984413
Erb_1883,11,11_vodka_maiden_wedding_stove,0.37583187
Erb_1884,8,8_heaven_dear mother_family_father mother,0.1823114
Erb_1887,10,10_church_servant_maiden_dearest,0.35419863
Erb_1890,10,10_church_servant_maiden_dearest,0.44262937
Erb_1893,4,4_horses_horse_ride_horns,0.43586633
Erb_1894,1,1_wedding_bride_getting married_groom,0.2256832
Erb_1895,1,1_wedding_bride_getting married_groom,0.33477682
Erb_1896,16,16_maiden_groom_young lad_servant,0.56429446
Erb_1897,19,19_road_cross_path_family,0.5099315
Erb_1898,6,6_wreath_flower_tear_bride,0.32883966
Erb_1905,11,11_vodka_maiden_wedding_stove,0.40454704
Erb_1907,15,15_morning_sleeping_jeníček_sing,0.2992953
Erb_1909,6,6_wreath_flower_tear_bride,0.7244554
Erb_1910,4,4_horses_horse_ride_horns,0.19800906
Erb_1915,10,10_church_servant_maiden_dearest,0.29262426
Erb_1917,6,6_wreath_flower_tear_bride,0.35523668
Erb_1918,6,6_wreath_flower_tear_bride,0.18967232
Erb_1924,1,1_wedding_bride_getting married_groom,0.40293565
Erb_1928,18,18_family_wealth_coming_rich,0.13387609
Erb_1929,13,13_dove_flowers_meadow_beloved,0.5951317
Erb_1930,6,6_wreath_flower_tear_bride,0.52507657
Erb_1931,1,1_wedding_bride_getting married_groom,0.53155184
Erb_1932,15,15_morning_sleeping_jeníček_sing,0.47366303
Erb_1934,15,15_morning_sleeping_jeníček_sing,0.546254
Erb_1940,6,6_wreath_flower_tear_bride,0.35313186
Erb_1942,9,9_vodka_wine_drink_bring,0.39120814
Erb_1943,8,8_heaven_dear mother_family_father mother,0.61577284
Erb_1944,13,13_dove_flowers_meadow_beloved,0.20766117
Erb_1945,15,15_morning_sleeping_jeníček_sing,0.3491529
Erb_1946,4,4_horses_horse_ride_horns,0.45369065
Erb_1948,13,13_dove_flowers_meadow_beloved,0.3592847
Erb_1950,14,14_dance_apron_young girl_beautifully,0.34260914
Erb_1951,17,17_braid_hair_tears_mother,0.21722127
Erb_1952,8,8_heaven_dear mother_family_father mother,0.37886062
Erb_1955,15,15_morning_sleeping_jeníček_sing,0.43836772
Erb_1957,18,18_family_wealth_coming_rich,0.39056328
Erb_1958,8,8_heaven_dear mother_family_father mother,0.39845553
Erb_1959,5,5_brother brother_sister_meal_cousin,0.1459898
Erb_1967,10,10_church_servant_maiden_dearest,0.2540192
Erb_1968,8,8_heaven_dear mother_family_father mother,0.6246392
Erb_1969,14,14_dance_apron_young girl_beautifully,0.21986505
Erb_1970,3,3_bread_bride_guests_wedding,0.21367975
Erb_1972,8,8_heaven_dear mother_family_father mother,0.640861
Erb_1973,11,11_vodka_maiden_wedding_stove,0.34100366
Erb_1974,17,17_braid_hair_tears_mother,0.274034
Erb_1978,18,18_family_wealth_coming_rich,0.3882094
Erb_1979,10,10_church_servant_maiden_dearest,0.3279332
Erb_1980,10,10_church_servant_maiden_dearest,0.37731445
Erb_1981,10,10_church_servant_maiden_dearest,0.21180488
Erb_1982,17,17_braid_hair_tears_mother,0.36842513
Erb_1984,4,4_horses_horse_ride_horns,0.22654518
Erb_1987,4,4_horses_horse_ride_horns,0.25788254
Erb_1988,4,4_horses_horse_ride_horns,0.47937408
Erb_1989,19,19_road_cross_path_family,0.40886998
Erb_1991,11,11_vodka_maiden_wedding_stove,0.36218467
Erb_1992,10,10_church_servant_maiden_dearest,0.44001862
Erb_1993,13,13_dove_flowers_meadow_beloved,0.22354859
Erb_1994,10,10_church_servant_maiden_dearest,0.45431033
Erb_1995,4,4_horses_horse_ride_horns,0.501814
Erb_1997,4,4_horses_horse_ride_horns,0.51356834
Erb_1999,10,10_church_servant_maiden_dearest,0.30868766
Erb_2003,4,4_horses_horse_ride_horns,0.48584026
Erb_2004,4,4_horses_horse_ride_horns,0.34756392
Erb_2005,10,10_church_servant_maiden_dearest,0.17867063
Erb_2009,18,18_family_wealth_coming_rich,0.27866888
Erb_2013,18,18_family_wealth_coming_rich,0.22590147
Erb_2016,16,16_maiden_groom_young lad_servant,0.64580756
Erb_2017,8,8_heaven_dear mother_family_father mother,0.25530913
Erb_2018,18,18_family_wealth_coming_rich,0.19998585
Erb_2020,12,12_rice_husband_cousin_family,0.35312083
Erb_2022,15,15_morning_sleeping_jeníček_sing,1.0
Erb_2023,15,15_morning_sleeping_jeníček_sing,0.25755242
Erb_2024,10,10_church_servant_maiden_dearest,0.24232689
Erb_2025,10,10_church_servant_maiden_dearest,0.398932
Erb_2026,6,6_wreath_flower_tear_bride,0.575788
Erb_2027,11,11_vodka_maiden_wedding_stove,0.20411026
Erb_2034,10,10_church_servant_maiden_dearest,0.37378624
Erb_2036,11,11_vodka_maiden_wedding_stove,0.14183836
Erb_2039,15,15_morning_sleeping_jeníček_sing,0.3820352
Erb_2040,1,1_wedding_bride_getting married_groom,0.65574086
Erb_2041,0,0_rice_mother law_household_wash,0.0
Erb_2044,18,18_family_wealth_coming_rich,0.34728366
Erb_2048,3,3_bread_bride_guests_wedding,0.8476476
Erb_2049,5,5_brother brother_sister_meal_cousin,0.3462053
Erb_2051,18,18_family_wealth_coming_rich,0.7631749
Erb_2052,9,9_vodka_wine_drink_bring,0.22206084
Erb_2054,1,1_wedding_bride_getting married_groom,0.25678658
Erb_2055,6,6_wreath_flower_tear_bride,0.5295088
Erb_2056,6,6_wreath_flower_tear_bride,0.63238674
Erb_2057,6,6_wreath_flower_tear_bride,0.5466767
Erb_2058,17,17_braid_hair_tears_mother,0.30358842
Erb_2059,6,6_wreath_flower_tear_bride,0.47139707
Erb_2060,17,17_braid_hair_tears_mother,0.2844191
Erb_2061,17,17_braid_hair_tears_mother,0.22512919
Erb_2062,7,7_inside_stove_room_kitchen,0.21296239
Erb_2063,6,6_wreath_flower_tear_bride,0.25082228
Erb_2065,6,6_wreath_flower_tear_bride,0.5545916
Erb_2067,0,0_rice_mother law_household_wash,0.0
Erb_2068,4,4_horses_horse_ride_horns,0.5148081
Erb_2069,16,16_maiden_groom_young lad_servant,0.30496374
Erb_2070,6,6_wreath_flower_tear_bride,0.724909
Erb_2072,6,6_wreath_flower_tear_bride,0.48168597
Erb_2074,6,6_wreath_flower_tear_bride,1.0
Erb_2075,13,13_dove_flowers_meadow_beloved,0.38476232
Erb_2077,6,6_wreath_flower_tear_bride,0.56421286
Erb_2082,14,14_dance_apron_young girl_beautifully,0.61126786
