item_id,label,translation
HPod_1,MILOSTNÉ,"1. And I always, whenever my little head aches, and I always, whenever my head hurts? My little head aches, my darling forgets, and I always, whenever my head hurts?  
2. But I surely will not fall ill for you, but I surely will not suffer for you. I will not fall ill if I don’t get you, girl, but I surely will not suffer for you."
HPod_4,MILOSTNÉ,"1. Oh little path, worn path, oh little path to my beloved, when I used to come to you, I desired your daughter, others came to you.  
2. A pity of the journey I walked, a pity of a single step, my golden Nanynka, dear little dove, a pity of youth.  
3. If there were in the beautiful sky as many beautiful stars as my dear, charming girl, gave me kisses.  
4. If there were in the whole world as many beautiful monasteries as my dear, charming girl, gave me lodgings."
HPod_9,MILOSTNÉ,"1. Oh, what a nice thing it is that I was a hunter, I shot a little dove, it fell on the juniper, I shot a little dove, it fell on the juniper.  
2. My dear saw it, immediately ran there for it, come on, my dear, escort me all the way to our yard.  
3. And I will not go with you, I know I will not be yours, you are the son of rich parents and I have only poverty.  
4. Don't worry about the fact that I am the son of a rich man, I will marry you, just don't be mad at me."
HPod_11,MILOSTNÉ,"1. Oh my God, I feel worse, I am tormented, no one knows what hurts me, and I won't tell. My faint heart hurts, and that, my darling, is for you. We loved each other faithfully, but we will not anymore.  
2. Our landlord told me that I am poor, that your father will not give you to me as a husband. You were courting once, I didn't know about it until my friend hinted it to me.  
3. She came to me and said: Dear Mařenka, I will tell you a piece of news I saw. Your beloved is unfaithful to you, he was courting another. If I were you, I would return his golden ring.  
4. That ring you gave me, I will not wear it, I will throw it into the water and swim after it. As cold as the water is, so is our love disappointed; another girl can love you."
HPod_12,MILOSTNÉ,"1. Oh my dear God, listen to what I dreamed today, that six fellows were standing under our windows, that six fellows were standing under our windows.  
2. Six fellows were standing, among them my Pepíček, who took away my green wreath.  
3. It wasn’t, my darling, it wasn’t because of you, when you used to come to our room at night.  
4. At night to the room, that was at one o’clock, wait until I tell you this one news.  
5. Little lacer, my skirts are getting shorter, what will my dear mother probably say about that?  
6. My dear mother, my friends, that my black dresses are getting shorter.  
7. She went to the little grove, sat on the grass, called out in a sad voice: Come, my darling!  
8. To this call, the darling came to her: Why do you cry and lament, my delight?  
9. How could I not cry and lament to myself, when I can no longer tie my skirts?  
10. He took his hat off his head, tore off the ribbon from it, here, my delight, set your skirt!  
11. I will set my skirt, but I will still be sad, I will never go to the grove again until death."
HPod_13,MILOSTNÉ,"1. Andulka, my child, I like you very much, Andulka, my child, I love you. Those people don’t wish me well because I go after you, those people don’t wish me well because I love you.  
2. Defiance against defiance to someone at your house, defiance against defiance to someone at your gate. Two roses are growing there, no one can, no one can love them.  
3. I just sneaked in once, I was beaten like a dog, I just sneaked in once, I received a lot. Those people don’t wish me well because I go after you, those people don’t wish me well because I love you."
HPod_15,MILOSTNÉ,"1. My little parakeet, don’t go away from me, my little parakeet, don’t go away from me, wait for me there, in the pink orchard, there we will meet again, my little parakeet.  
2. My little parakeet, you must be mine, I will buy you shoes, and two dresses. The shoes are small, the skirt is getting short, we will go together to ask your mother.  
3. Dear Pepíček, don’t blame me for saying that we were together in the garden at night. We will go together to the parish to ask the reverend to tie our hands together, I will be your wife."
HPod_16,MILOSTNÉ,"My little parrot, come to the room, I'll give you a kiss, you will be mine."
HPod_18,MILOSTNÉ,"1. Neither you, my parents, think that I would take for myself what I do not like, but what you want. 2. But what I want, my parents, wish for me, after all, you will not be with me until death, my parents."
HPod_19,MILOSTNÉ,"1. When the dry linden tree at Limburk turns green, come to me, my dear Pepíček, come to see me.  
2. My darling is angry with me, he doesn’t even speak to me; if it lasts long, let him kiss my kapec.  
3. My darling is angry with me, he’s looking at me from the dormer window; if it lasts long, let him lick my kapec.  

It was said to be sung previously during dancing; now it is played by brass bands at funerals. Interludes recorded according to the lead part."
HPod_21,MILOSTNÉ,"1. It was the first of May, and I wanted to go to my lover. She went to the grove to pick flowers so she could weave wreaths, [refrain] there in that meadow, on a green blanket.  
2. Oh daughter, daughter, dear daughter, where were you walking for so long yesterday? And I was at confession, the maltsters know about it.  
3. When I had picked enough flowers, I saw a handsome young man there, he was sitting under a little tree, and I glanced at him out of the corner of my eye.  
4. That older gentleman was the one who questioned me, and the young man gave absolution, and the worker who dried malt was lifting his shirt up.  
5. And the older gentleman is the best, that’s why he is the biggest of all, he talks little and works a lot, he doesn’t make much fuss with words.  

hvozda = worker who dries malt; tůra (colloquial) = effort, exertion"
HPod_22,MILOSTNÉ,"1. It was once on a Sunday, father and mother went away, it was raining, there was a lot of lightning, and I was lonely by myself.  
2. A little bagpiper came to our window, he was so soaked, poor thing, shaking all over with cold, I covered him with a quilt.  
3. It lasted a little moment, he wanted a sweet little kiss from me, when he got it, he immediately wanted another one, as the time happily passed for us.  
4. If mother knew, she would invite father to me, he would no longer be allowed to come to us, poor thing, that charming little bagpiper.  
5. Father and mother came back, and they immediately noticed on the daughter that she had a lover, Pepík or Frantík."
HPod_23,MILOSTNÉ,"What used to be, will no longer be, times are changing, it's lost, dear boys, my pleasure. The water took it from me, it's no loss, boys, we still have plenty of time for marriage."
HPod_24,MILOSTNÉ,"1. How much I have walked, stepped through mud, all for you, dear Mařenko. I stepped through mud, but did not get you, all else I endured for you.  
2. Your parents are tyrants, they did not want me to love you, they did not wish me to have you, they gave you to another and murdered my young body.  
3. When my young body lies in the coffin, you will pass by, stop by me, you will cry, lament to yourself and blame me for the sorrow.  
4. When my young body is carried to the grave, sad relics will sing, on trombones will sound mournful notes so that crying and wailing cannot be heard.  
5. Now I am abandoned like a pear tree in the field, the pears have been picked, it stands there sadly. Oh dear God, give me strength so that another young man may love me.  
6. Now I am abandoned like a dove that has lost its mate. Oh dear God, give me strength so that another young man may love me.  
7. Now I am abandoned like an orphan who wanders the world, looking for bread. Oh dear God, give me strength so that another young man may love me.  
8. Now I am abandoned like a maple tree in the forest, no one will believe what love carries. Oh dear God, give me strength so that another young man may love me."
