item_id,label,purpose,sub_purpose,download_link,translation
goheung-0203,Work_agricultural,Work,agricultural,http://urisori.co.kr/sound/origin/jn/goheung/goheung-0203.mp3,"@Eheya Eheiyo, it is the sound of Bangae-ankae

- Eheya Eheiyo, it is the sound of Bangae-ankae  
- Like cherry blossoms on Namsan, blooming or not  
- Like us going to get married, going or not  
- When we meet at the hearth in the field, warmly  
- I meet my beloved warmly in my heart too  
- This river and mountain, that river and mountain, let’s not leave  
- Even a cloud on the river ferry comes close to the moon  
- It comes well, it really does come well  

"
euiseong-0708,Work_construction,Work,construction,http://urisori.co.kr/sound/origin/gb/euiseong/euiseong-0708.mp3,"A: Oh, Deolguya  
B: Oh, Deolguyeo  

A: Since the creation of heaven and earth  
B: Oh, Deolguyeo  

A: The sun and moon have come into view  
B: Oh, Deolguyeo  

A: All things are changing  
B: Oh, Deolguyeo  

A: Our lives are truly fleeting  
B: Oh, Deolguyeo  

A: We become travelers of the yellow heavens (the afterlife)  
B: Oh, Deolguyeo"
gumi-0104,Work_agricultural,Work,agricultural,http://urisori.co.kr/sound/origin/gb/gumi/gumi-0104.mp3,"(The echo repeats the previous sound)

Plant the seedlings, plant the seedlings, plant the seedlings in this seedling bed  
Lift it up, lift it up, lift up this seedling bed  
On the vast field of endless waves, lift up this seedling bed  
There’s a tiger on the back hill, let it take away this seedling bed  

In the field of one and a half mal, plant the seedlings, plant the seedlings  
In this one and a half mal field, plant the seedlings properly  
We planted pine trees at our parents’ graves properly  
Breaking down this water and that water, where has the master gone?  
At the gate holding abalone in hand, he went to visit the concubine’s room  
The concubine’s house is a flower garden, our house is a pond  
At the tip of the washed away field, the sister-in-law has fallen  
Look at the behavior, look at the behavior, older brother, look at the behavior  
Step on my wrist, catch the sister-in-law’s hand  
I too shall die and go to the afterlife, and serve my husband once more"
jincheon-0207,Work_construction,Work,construction,http://urisori.co.kr/sound/origin/cb/jincheon/jincheon-0207.mp3,"""Ehe Dalgigo""

- Ehei Dalgigo  
- The ridges of Taebaeksan Mountain sharply drop down  
- The peak of Mesaibong sharply drops down  
- Here, settle on this ancestral site  
- Ehei Dalgigo  
- If you use this site for an ancestral grave  
- Your descendants for generations will enjoy wealth and honor  
- This is a place where you can have that  
- Ehei Dalgigo  
- Ehei Dalgigo  

(Quick rhythm)  
""Ehe Dalgoo""

- Ehe Dalgoo  
- Ehe Dalgoo  
- Descendants, come here  
- Relatives, come as well  
- Where is this place?  
- Wife, come here too  
- Ehei Dalgoo  
- Ehee Dalgoo  
""Let's have one more drink.""

"
sangju-0120,etc_minstrel,etc,minstrel,http://urisori.co.kr/sound/origin/gb/sangju/sangju-0120.mp3,"Sigu sigu sigu is coming in, definitely sigu sigu sigu is coming in.  
The wandering performer who came last year has come again, not having starved to death.  
Holding one stroke or one character, looking closely, the months are clear and sparkling.  
In the middle of the night, the morning star is bright and clear, driving away the troublesome spirits.  
Holding two strokes or one character, listen— this sound of drumming on this heated metal.  
The entertainers from all eight provinces are dancing. Holding three strokes or one character, look.  
The brass candlesticks stand high in front of the stage like deer resting.  
Ah, just chasing them away again, holding four strokes or one character, look.  

The essence of the heart comes in; hold five strokes or one character, look.  
On the road, the long market is a tough place, ride the words deeply.  
At this street, I am going to find the teacher; holding six strokes or one character and see.  
In ’46, the house was burned down. What is this life living on the streets?  
Hold seven strokes or one character and look. After seven years of spring,  
If a single drop of rain falls, all ten thousand people dance.  
Hold eight strokes or one character and look. Sons and brothers, eight brothers,  
They teach writing together in one school, but they cannot pronounce a single Chinese character or Korean letter.  
They only try hard to overdo it. Hold nine strokes or one character and look.  
At ninety-two years old, she could not get married, and comes to me.  
Holding ten strokes or one character, look. Tigers are in the tall forest,  
Hunters pair up from all over, but they cannot catch a single tiger,  
They only drink and tease."
sangju-1444,Work_agricultural,Work,agricultural,http://urisori.co.kr/sound/origin/gb/sangju/sangju-1444.mp3,"@Saying this and that

-Saying this and that  
-Saying this and that  
-Too many seeds and too many stones  
-Too many seeds and too many stones  
-Are because you are not here  
-We, too, when will we meet our beloved again  
-Shall we try eating rice without seeds or stones  
-Saying this and that  
-Oh, Korean rose of famous psychological significance  
-Don’t grieve because the flowers wither  
-When the spring of early March comes  
-You will bloom again  
-Saying this and that  
-Once we part in this life  
-It is hard to meet again  
-Saying this and that  

"
haenam-0136,etc_minstrel,etc,minstrel,http://urisori.co.kr/sound/origin/jn/haenam/haenam-0136.mp3,"Hey, the pitch goes in  
Hey, the pitch goes in  
If you do well, my son  
If I don’t, your father  
Seosang gangsoe, Buk gangsoe  
Your father’s gangsoe is my gangsoe  
Pumba, Pumba does well  
The nose blew, Heundeokjang  
Too messy to watch  
Reddish Jujuchang  
Want to eat but can’t watch  
Jimi playing the drum, Daemaengjang  
Too bothersome to watch  
Eh hey, Pumba does well  
Crunchy, crispy, sagjeon  
Broken, can’t watch  
Pumba, Pumba does well  
Eh, Pumba does well"
jinyang-0425,Work_agricultural,Work,agricultural,http://urisori.co.kr/sound/origin/gn/jinyang/jinyang-0425.mp3,"@ To the supervisors

Let’s weed the rice field together
At the edge of the field, 
Do not lean on your front hand and pull,
Use both hands to weed.
Even the edge of the field
Only a crescent-shaped part remains.
Weed the rice field together,
Who would have known it would turn out like this?
Ehehehehehehehe
Uruururururururu
When our farmers weed the rice field,
Even if they are thirsty, they don’t stop planting.
If I carry the load and do it,
It will be a job well done.
Was it really like that?
That job well done, oh yes,
Even just a little, take a breath,
Slowly, steadily, weed the rice field well (weeding sound included)
If we make the sound “ehei hi u” together,
Let’s do it together and see.
Since the task is done,
Let’s loudly make the sound “ihi hi hi u”
Ihihihi huuuuuu"
goheung-0512,Lament_lament,Lament,lament,http://urisori.co.kr/sound/origin/jn/goheung/goheung-0512.mp3,"Mother, mother, why did you give birth to me?
When raising me, wasn’t the land scarce and rough?
Wasn’t food scarce and hard to find, yet you raised me with just rice?
Though the family is good and the surroundings peaceful, I struggle to grow.
You sent me away, and like fire in the sunlight, I am a strong weed in the field.
Wearing shoes every day in the heat, mother, I become like an ox.
Mother, mother, please take me back; if I go out, I won’t survive in this place.
They tell me not to come back and to stay away, so I keep returning.
With a bundle of clothes, I hide in the tree shade without a trace.
When I opened the pot, my sister-in-law took everything, leaving nothing.
There was no scorched rice, so I sat on the hearth, just cleaning the embers.
No matter how I try to live, I can’t survive in this place.
I need to go hoe the field again tomorrow, but I’m too hungry to go.
Wind from the east, wind from the north, frost wind, and the elders’ strict words—
Mother, mother, when I was born, I had no sister-in-law or elder sister, but now I have to grow. / Sophal"
yeongdong-0104,Lament_lament,Lament,lament,http://urisori.co.kr/sound/origin/cb/yeongdong/yeongdong-0104.mp3,"-The broken leg is the father-in-law

"
