item_id,label,purpose,sub_purpose,download_link,translation
andong-0613,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/andong/andong-0613.mp3,"A: Have you seen it?  
B: I have seen it too.  

A: Have you seen the moon?  
B: I have seen it too.  

A: Have you seen the seeds falling in Andong, Gyeongbuk?  
B: I have seen them too.  

A: Have you seen Bibong Mountain when you come up to Geumso?  
B: I have seen it too.  

A: Turn around.  
B: Why?  

A: The spinning wheel is turning inside.  
B: Why?"
euiseong-0247,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/euiseong/euiseong-0247.mp3,"If your front tooth falls out, don't go to the branch.
Don't go under the hill.
The baby bird is startled.
Don't go to the mountain hut.
The mischievous baby is startled.
Don't go to the stable.
The baby is startled.
Don't go to the latrine.
The baby is startled."
jinyang-0708,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gn/jinyang/jinyang-0708.mp3,"This street, that street, Gat Street, Jinju Manggeun, Tto Manggeun, Jjakbari, Heiyanggeun, Doraejumeoni, Jangdokgan"
jeongseon-1306,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/jeongseon/jeongseon-1306.mp3,"This street, that street, each street, a thousand heads, a made knife, a made stone pouch, a spearhead, a sword"
namwon-0225,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/jb/namwon/namwon-0225.mp3,"This street, that street, the street of gods, jingge, maengge, domeanggeun, with a pigeon-toed step, hianggeun  
Dorijumchi, sariryuk, yukdoyukdo, Jeollaryuk, rising to the sky, swallow beans  
One bean, one red bean, a clatter, a janggi, karakchi, falling over four times, gamakkokchi, winged tube"
daejeon-0509,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/cn/daejeon/daejeon-0509.mp3,"This street, that street, various streets  
King, silver coin, small silver coin  
The swallow ate the tip  
High slope, belt  

This street, that street, various streets  
King, silver coin, small silver coin  
The swallow ate the tip  
High slope, belt  

-The third time is called quickly  
 >"
gw.goseong-0512,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/gw.goseong/gw.goseong-0512.mp3,"One dot outside 가자, two dots outside 갸자  
One dot inside 거자, two dots inside 겨자  
One dot inside 고자, two dots inside 교자  
One dot inside 구자알루, two dots inside 규자알로  
그자 has a horizontal stroke, 기자 has a downward stroke  
One dot below 가자  

One dot outside 나자, two dots outside 냐자  
One dot inside 너자, two dots inside 녀자  
One dot inside 노자, two dots inside 뇨자  
One dot inside 누자알루, two dots inside 뉴자알루  
느자 has a horizontal stroke, 니자 has a downward stroke  
One dot below 나자  

One dot outside 다자, two dots outside 댜자  
One dot inside 더자, two dots inside 뎌자  
One dot inside 도자, two dots inside 됴자  
One dot inside 두자알루, two dots inside 듀자알루  
드자 has a horizontal stroke, 디자 has a downward stroke  
One dot below 다자  

One dot outside 라자, two dots outside 라자  
One dot inside 러자, two dots inside 려자  
One dot inside 로자, two dots inside 료자  
One dot inside 루자알루, two dots inside 류자알로  
르자 has a horizontal stroke, 리자 has a downward stroke  
One dot below 라자  

One dot outside 마자, two dots outside 먀자  
One dot inside 머자, two dots inside 며자  
One dot inside 모자, two dots inside 묘자  
One dot inside 무자알루, two dots inside 뮤자알루  
므자 has a horizontal stroke, 미자 has a downward stroke  
One dot below 마자  

One dot outside 바자, two dots outside 뱌자  
One dot inside 버자, two dots inside 벼자  
One dot inside 보자, two dots inside 뵤자  
One dot inside 부자알루, two dots inside 뷰자알로  
브자 has a horizontal stroke, 비자 has a downward stroke  
One dot below 바자  

»"
uljin-0117,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/uljin/uljin-0117.mp3,"This street, that street, every street  
Hand fire pavilion, root of the temple  
Thumb, sunny side, seasoned vermicelli, ornament, mulberry"
yecheon-0522,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/yecheon/yecheon-0522.mp3,"- The respected ancestor

"
geumreung-0421,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/geumreung/geumreung-0421.mp3,"Aigubae, Jikubae  
Meoseon jip, Jarabae  
Meoseon jarae, Eopjarae  
Meoseon eop, Jeonju eop  
Meoseon jeonju, Nojeonju  
Meoseon no, Samno  
Meoseon sam, Jilsam  
Meoseon jil, Baneujil  
Meoseon baneul, Cheongbaneul  
Meoseon cheong, Ttalcheong  
Meoseon ttal, Meongdeok ttal  
Meoseon meongdeok, Durimeongdeok  
Meoseon duri, Tteokduri  
Meoseon tteok, Daechutteok  
Meoseon daechu, Bildaechu  
Meoseon bil, Chokbil  
Meoseon chok, Hwalchok  
Meoseon hwal, Ppongnam hwal  
Meoseon ppong, Julppong  
Meoseon jul, Gangdae jul  
Meoseon gangdae, Doldae gangdae  
Meoseon dol, Sul dol  
Meoseon sul, When thirsty for a drink  
Here comes the drink that you keep sucking down continuously"
