item_id,label,label_nl,song_url,translation
young_anti_dbnl_1,anti-marriage,anti-huwelijkslied,https://www.liederenbank.nl/liedpresentatie.php?zoek=180216&lan=en,"When I behold the bright rays,  
That fall from my Love's eye,  
I am again pierced by Love,  
Bacchus soon flees from my eyes,  
My Philis has even greater power,  
Each has their taste; this is my preference.  
Away with drunks, wiser than beasts,  
Yes, worse than the hellish spirits,  
You swore off drink immediately,  
Did you know how I wooed my Philis,  
While I rested on her bosom,  
And surrendered my love to her.  
I want to love my Philis forever,  
She who is mistress of my senses,  
And let another with the wine:  
When I am then drunk with love,  
By all the sweetness she offers,  
And I say, Dearest, your sweet countenance.  
When I then hear my Philis sing,  
Then I call cowardly young men,  
I love reason far above beauty,  
Reason will always last forever,  
Beauty lasts but a short hour—  
Time plainly shows this to us."
young_anti_dbnl_2,anti-marriage,anti-huwelijkslied,https://www.liederenbank.nl/liedpresentatie.php?zoek=180219&lan=en,"When I behold the bright rays  
That from the bottle fall into the glass,  
I am soaked by Bacchus’ drink,  
Away Venus, away with your lustful eyes,  
My Bacchus has much more power  
When he sprinkles me with his drink.  
Away Venus with your lustful glances,  
I prefer to get drunk daily,  
And I swear to you immediately,  
If you knew how I kissed my Bacchus  
When I lay to rest on his barrel,  
And he gave his drink at its best.  
I want to love my Bacchus forever  
And banish Venus from my thoughts,  
I prefer to stick with the wine:  
When I am drunk from his cup,  
Then I quietly go to bed and snore,  
And wait again for the sunshine.  
Then I hear Bacchus sing again,  
Away Venus heroes, young men,  
Beware of Venus, and love my drink  
For know it will last forever,  
And Venus lasts for too little time,  
Therefore avoid her for Bacchus’ sake.  
Girl, may I once please you,  
Even to clean your chicken coop,  
Even with a broom of a single sound:  
No, no, you will not have me like that,  
That you will fill my chicken coop,  
Even if your broom were six feet long.  
Farewell daughters young of years,  
Do not want to mate in the chicken coop,  
For you will fall into great sorrow,  
Just as May went to play,  
Hup came in mourning with the dogs,  
Because she let them kiss her too much."
young_anti_dbnl_3,anti-marriage,anti-huwelijkslied,https://www.liederenbank.nl/liedpresentatie.php?zoek=180322&lan=en,"I side with Wine,  
And laughed at the Game of Love,  
I side with Wine,  
Love that causes us pain,  
Tell me, what does Loyalty give?  
Nothing but worries:  
I prefer to remain a free Bachelor,  
Loyalty breeds torment.  
There comes a child, two, three,  
Daddy has to provide,  
There comes a child, two, three,  
Oh, what a burden!  
It’s a man, hey, pull the cradle:  
Our little Jan is crying,  
How the little guy weeps,  
He’s tearing out his eyes.  
The chamber pot over the house,  
The head is about to burst,  
The chamber pot over the house,  
There is great turmoil,  
Mama is in it,  
Like a dirty rag,  
The baby in the pram,  
Food for the lamb.  
I still say love  
Does not brew like foolish whims,  
I still say love  
Doesn’t fall like disasters,  
If it goes well, it’s just well,  
If once badly, it turns out,  
Then the brain is robbed;  
Alas! one loses one’s head.  
Happy then, when  
Papa goes to the East Indies;  
Happy then, when  
He attains such an honor,  
There sits Mama, gazing,  
Like Stephen towards Heaven,  
Thus love brews the sweet,  
With bitter gall and soot.  
Who is still crazy?  
And seeks to marry?  
Who is still crazy?  
To such a sad fate?  
As long as I live,  
I will cherish the Free State,  
Once again the Free State,  
That surpasses all."
young_anti_dbnl_4,anti-marriage,anti-huwelijkslied,https://www.liederenbank.nl/liedpresentatie.php?zoek=180244&lan=en,"What use is it to lie with another,  
Is it so lovely and so sweet?  
And to take a breath from one another?  
I love the only one to lie with.  
I give no status or noble descent,  
For the offense of a bare foot:  
I cherish money and gold hems:  
I love the only one to lie with.  
I am assured that all my knowledge  
Faithfully remains in my mind;  
That no one speaks of my tears  
I love the only one to lie with.  
By day I know how to increase my status,  
Greeted well by all who see me,  
And reveal myself unbothered:  
I love the only one to lie with.  
If I find pleasure in yells and whistles,  
I never ask for a maiden’s procession;  
Whether I go hunting or sailing outside,  
I love the only one to lie with.  
If before my eyes come beautiful maidens,  
I think I always see you well;  
But still, I keep the freedom hedge:  
I love the only one to lie with.  
I am hindered by no dream  
That raves suddenly or rages wildly;  
No eager will diminishes my success:  
I love the only one to lie with.  
If I am cold, I let myself be covered,  
That I am as warm as a glow;  
If I want to get up early, I let myself be woken;  
I love the only one to lie with.  
If I once visit my friend,  
No one says, go in haste;  
I see no ghost with children’s cloths:  
I love the only one to lie with.  
I choose freedom here on earth,  
From freedom deprived is bitter soot,  
And I hold freedom in high regard:  
I love the only one to lie with."
young_anti_dbnl_5,anti-marriage,anti-huwelijkslied,https://www.liederenbank.nl/liedpresentatie.php?zoek=189614&lan=en,"Oh roads! Full of dangers and disaster,
Where we often embrace a deadly calamity;
At the service of vain illusion, born from a wind,
That is called love, but lovelessly blinds the eye.
Thus one misses, where one strives the most,
And as long as one keeps running in a fearful night,
One gains nothing but worry, sorrow, and discomfort,
Then the earth grants its tears, but virtue shares pearls.

Oh foolishness always seeks with Narcissus,
That which, although charming, is nothing but a shadow.
Sail freely with him your desire, and feed your zealous nose,
You seek a joyful life, but find a sad death.

As soon as you have reached your goal according to desire,
And you think you will rightly know what has disturbed you,
Reason returns again to folly as before,
Breeding hatred, killing love, and marring joy and glory."
young_anti_dbnl_6,anti-marriage,anti-huwelijkslied,https://www.liederenbank.nl/liedpresentatie.php?zoek=189634&lan=en,"Go away, go away, I laugh at marriage,  
I shun it like death,  
I choose wine over women,  
Then I escape distress.  
For every day and night,  
A wife with her stubborn head,  
Constantly to wait on,  
I give the nun the boot,  
That's certain, that's certain.

If I marry a sweet angel,  
Then I have the sorrow,  
That a gallant rascal  
Pipes through my reed,  
You cannot escape the horns  
With angel wings,  
If I marry an ugly fox  
I cannot even look at her  
Away, away, away, away.

If I marry a wife with plates (discs, maybe inflexible rules),  
Then I have the reproach,  
Go away, go away, what do you want to say,  
You stay where you are.  
And if the wife has no slices (parts, perhaps attributes),  
Then it is not good either,  
Who can stay unmarried,  
Is crazy, if he does not do it,  
That's certain, that's certain."
young_anti_dbnl_7,anti-marriage,anti-huwelijkslied,https://www.liederenbank.nl/liedpresentatie.php?zoek=189762&lan=en,"Although all is sweet in love,
That love's desire promises.
Yet I do not want to begin it,
It is not believed by me.
Yet I do not want to begin it,
Not begin.

I love generous freedom,
And own sovereignty
Shuts out the eager desires:
Decides my wish within me.
Shuts out the eager desires,
Eager desires.

The servants may talk,
Her talk I do not understand,
Her flattery I do not value,
Her actions I do not observe.
Her flattery I do not value,
I do not value.

If they promise with folly,
Her faith she does not bind,
Her love is but words,
Her words win nothing.
Her love is but words,
Are words.

Love is truly madness,
An imagined whim.
A child of lust and emptiness,
A playful voluptuous will.
A child of lust and emptiness,
Lust and emptiness.

As long as reason
Rules the brain,
Never in my young heart
Will that guest be welcome.
Never in my young heart,
My young heart.

For why would I wish,
That if all goes best,
I make myself of loose commands,
I bind myself to a marriage block.
I make myself loosely bound,
Yes, bound.

So let me safely flee,
The nickname of a woman,
Bought with brief pleasures,
Paid with long regret.
Bought with brief pleasures,
Brief pleasures."
young_anti_dbnl_8,anti-marriage,anti-huwelijkslied,https://www.liederenbank.nl/liedpresentatie.php?zoek=112267&lan=en,"There are so few pious men,  
Even fewer women nowadays:  
For they keep for pleasure,  
Yes to say; no to mean:  
Each one suffers bruises,  
When one hopes for marital joy.  
There are so few pious men,  
Even fewer women nowadays.  

2. Who would wish for the girl  
Whose gall is concealed  
In the sweetness of words;  
Whose learned glances  
Received the heart with love;  
But poison the blood.  
There are so few pious men,  
Even fewer women nowadays.  

3. For as soon as you are married  
The spirited wife grows bold.  
She takes over the household management.  
She is Mistress of the keys:  
That you foolishly stay out late,  
She is glad because of this release.  
There are so few pious men,  
Even fewer women nowadays.  

4. When you see good friends  
There is wine, but not for you,  
The wife holds the keys fast,  
You may curse, you may jump,  
She goes to sit singing for you,  
And invites neighbor Smul as guest.  
There are so few pious men,  
Even fewer women nowadays.  

5. She tells how everything goes there,  
And how bad the crown looks on you.  
Well, says Smeersmul, well, one still has  
A comforting little Barneveld  
With our Teetje, for the money  
He spends on the wine.  
There are so few pious men,  
Even fewer women nowadays.  

6. When the wife wants to go out  
You are left with the child;  
Whether it suits you well or poorly.  
You must sing sujo, sujo child  
Because someone wants to drink a pint elsewhere  
In the evening.  
There are so few pious men,  
Even fewer women nowadays.  

7. Therefore, young men, never be so foolish  
And exchange your liberty to your mockery,  
Marry for your freedom.  
The carefree life of a suitor  
Will never be given back to you,  
Once you are lost to the wife.  
There are so few pious men,  
Even fewer women nowadays.  

8. But one finds (do you still like marriage)  
Here and there a good woman,  
Of good morals, love, and virtue.  
If you manage to get such a woman,  
Otherwise, it would be better to remain silent  
And quietly bear your displeasure.  
There are so few pious men,  
Even fewer women nowadays."
young_anti_dbnl_9,anti-marriage,anti-huwelijkslied,https://www.liederenbank.nl/liedpresentatie.php?zoek=188421&lan=en,No one approaches Red Eye love to serve her: Everyone tries to flee from her like the plague. No one lends her their eyes. That is the reason she cries.
young_anti_dbnl_11,anti-marriage,anti-huwelijkslied,https://www.liederenbank.nl/liedpresentatie.php?zoek=188512&lan=en,"My husband has gone out today. Come girl, immediately, Go around now And tell it to my friends. Well then, I wave the broom. Now his money is being spent by me I always have to sit - in the mood. And that bores me. Now I am frank and free."
young_anti_dbnl_12,anti-marriage,anti-huwelijkslied,https://www.liederenbank.nl/liedpresentatie.php?zoek=188533&lan=en,"Living alone is my purpose, marriage cannot please me,  
I live like a priestess; I nourish my soul with heavenly love.  
I avoid what can disturb my peace. Marriage cannot please me."
