item_id,Filename,translation
Pod_0,Vinnytsia_001_Oi khodyv Son kolo vikon,"1. Oh, Sleep was walking by the windows,  
And Drowsiness by the fence.  
2. Sleep asks Drowsiness:  
– Where will we spend the night?  
3. Where will we spend the night?  
What will we have for dinner?  
4. – There we will spend the night,  
Where the little child is,  
Where the little house is warm.  
5. There we will spend the night,  
Rocking the little child.  
Eh, eh, eh!"
Pod_1,Vinnytsia_002_Oi khodyt Son kolo vikon,"1. Oh, Sleep walks by the windows,  
And Drowsiness by the fence.  
2. Sleep asks Drowsiness:  
– Where will we spend the night?  
3. – Where the little house is warm,  
Where the small child is.  
4. There we will spend the night,  
Rocking the little child."
Pod_2,Vinnytsia_003_Oi khodyt Son kolo vikon,"1. Oh, the Sleep walks by the windows,  
And the Drowsiness by the fence.  
2. Sleep asks Drowsiness:  
– Where shall we spend the night?  
3. – Where the little house is warm,  
Where the little child is small."
Pod_3,Vinnytsia_004_Oi khodyt Son kolo vikon,"1. Oh, the Sleep walks by the windows,  
And the Drowsiness by the fence.  
2. Sleep asks Drowsiness:  
– Where shall we spend the night?  
3. – Where the little house is warm,  
Where the little child is.  
4. There we will spend the night,  
Rocking the little child.  
       *       *       *  
To the same melody:  
1. Oh, sleep, child, I am rocking you,  
When you fall asleep, I will leave you.  
2. I will leave you by the water,  
Cover you with dock leaves.  
3. Oh, lul-lu, I will rock you,  
When you fall asleep, I will leave.  
4. I will leave you, you will sleep,  
And I will go to the field to reap.  
5. And I will go to work,  
And will return only on Saturday.  
6. Oh li, lul-lu, lul-lu,  
Oh ni, lul-lu, lul-lu."
Pod_4,"Vinnytsia_005_A-a, a-a, liuli","1. [Ah-ah, ah-ah, lullaby,  
To other children, nonsense,]  
2. But to my son, kalachi,  
So that he sleeps day and night."
Pod_5,"Vinnytsia_006_Oi nu, liuli, liuli","1. Oh well, lullaby, lullaby,  
The hoots have flown in,  
2. They began to coo..."
Pod_6,Vinnytsia_007_Kotyku sirenkii,"1. Gray kitty,  
White kitty,  
Don’t walk around the house,  
Don’t wake the baby.  
2. The baby will sleep,  
The kitty will purr.  
And the cat purrs,  
And the baby dozes.  
Ah, ah, ah!"
Pod_7,Vinnytsia_008_Kotyku sirenkyi,"Gray kitty,  
White kitty,  
Don’t walk around the house,  
Don’t wake the baby."
Pod_8,"Vinnytsia_009_A-a, kotochok","1. Ah, kitty  
Stole a ball of yarn from Sashko  
2. And carried it outside the forest,  
All the way to Petya.  
3. Petya started to hit the cat,  
He began to teach the kitty:  
4. – Don’t learn to steal, cat,  
Learn to work –  
To sew little boots.  
5. Boots made of bulrush  
Are not afraid of water."
Pod_10,Vinnytsia_011_Upav kit iz vorit,"1. The cat fell from the gate,
And also injured its belly.
2. The kitty fell from the stove
And bruised its shoulders."
Pod_11,"Vinnytsia_012_Koty dva, koty dva","1. Two cats, two cats,  
Both gray and white,  
2. They walked around the pantry,  
Causing harm to people.  
Ah-ah-ah!"
Pod_12,"Vinnytsia_013_Liuli, liuli, liulechki","1. Luli, luli, little lullabies,  
Silky little chains,  
2. A flaxen cradle,  
And a noble child. Ah, ah, ah!  
3. To rock the cradle,  
To lull the child to sleep. Ah!"
Pod_13,"Vinnytsia_014_A-a, a-a, dytyna","1. Ah-ah, ah-ah, a child  
With black eyes,  
2. And the cradle is a lady’s,  
And the child is a noble’s.  
3. Luli, luli, luleshki,  
The little chains broke.  
4. The new chain broke,  
The little child cried.  
5. I do not grieve for the new chain,  
But I grieve for the little child.  
6. Ah-ah, ah-ah, oh daughter.  
Ah-ah, luli, luli, luleshki."
Pod_14,"Vinnytsia_015_Oi nu, dytia, spaty","1. Oh well, child, go to sleep,  
Because mother has gone somewhere.  
She went to the valley  
To pick viburnum.  
2. To pick viburnum,  
To give the child drink,  
So that the child is healthy,  
Has dark eyebrows,  
Rosy cheeks,  
Oh, sleep a little more.  
Ah, ah, ah!"
Pod_15,"Vinnytsia_016_Liuli, liuli","Luli, luli,  
Grandfather went to get some onions,  
And grandfather went to get some parsley  
To season Maria’s soup."
