item_id,Filename
Pod_395,Kmeln_440_Shchaslyvaia taia put
Pod_396,Kmeln_441_ yA v novomu Rusalymu
Pod_1404,Kmeln_322_U subotonku za sontsia
Pod_1405,Kmeln_323_U subotonku za sontsia
Pod_1406,Kmeln_324_Na dobryi den tomu
Pod_1407,Kmeln_325_Zdorovenki buly
Pod_1408,Kmeln_326_Na dobryi den tomu
Pod_1409,Kmeln_327_Pryishla Hannusia z sela
Pod_1410,"Kmeln_328_V dolynu, druzhechky, [v dolynu]"
Pod_1411,Kmeln_329_Oi skochu ya v stinku
Pod_1412,Kmeln_330_Skochu ya ya v horodets
Pod_1413,"Kmeln_331_Треба, ненько, до віночка"
Pod_1414,"Kmeln_332_Oi vinku mii, vinku"
Pod_1415,"Kmeln_333_Ziidy, Bozhe, z neba"
Pod_1416,"Kmeln_334_Oi sosno, sosno, de zh ty rosla"
Pod_1417,"Kmeln_335_Matinochko, sertse"
Pod_1418,Kmeln_336_Teche horilochka
Pod_1419,Kmeln_337_Na horodechku
Pod_1420,Kmeln_338_Naistarshaia korovainytso
Pod_1421,Kmeln_340_Virunina matinka
Pod_1422,Kmeln_343_Ya na korovai ishla
Pod_1423,"Kmeln_344_Blahoslovy, Bozhe"
Pod_1424,"Kmeln_345_Misit, misit korovainychki"
Pod_1425,Kmeln_350_Nad dveryma dvi kvitochky vysyt
Pod_1426,Kmeln_355_Nashi svanechky
Pod_1427,Kmeln_356_Nash korovai ochi maie
Pod_1428,Kmeln_359_Nasha pich rehoche
Pod_1429,Kmeln_360_Oi u poli krynytsia
Pod_1430,Kmeln_361_Kotyvsia misiats do zirky
Pod_1431,Kmeln_362_Oi zatsvyly fiialochky
Pod_1432,Kmeln_363_Oi letily bili husy
Pod_1433,"Kmeln_367_Ya v subotu, ya v subotonku"
Pod_1434,Kmeln_368_Ta pereidu ya khatu y siny
Pod_1435,"Kmeln_369_Proshu, brattia, do khaty"
Pod_1436,Kmeln_370_Oi daite nam stiltsia
Pod_1437,"Kmeln_371_Masla, matinko, masla"
Pod_1438,Kmeln_372_Posadyv brat sestru na stilets
Pod_1439,"Kmeln_374_Da y povii, vitre, z yaru"
Pod_1440,Kmeln_375_Ta tuman po dolyni
Pod_1441,"Kmeln_376_Oi mamuniu, mamunenku"
Pod_1442,"Kmeln_378_Kropy nas, maty"
Pod_1443,"Kmeln_379_Okropy nas, maty"
Pod_1444,"Kmeln_380_Skropliai nas, matinonko"
Pod_1445,Kmeln_381_Maty dochku liubyla
Pod_1446,Kmeln_382_Oi sosonka
Pod_1447,"Kmeln_384_З дороги, вороги, з дороги"
Pod_1448,"Kmeln_385_Z dorohy, vorohy, z dorohy"
